area,taxonomy_papers,taxonomy_share,oral_enrichment,award_count,public_attention_enrichment,votes_per_paper,historical_delta_vs_baseline,historical_relative_to_baseline,arxiv_2025_vs_2024_growth,github_url_share,benchmark_mention_share,metric_mention_share,likely_code_share,manual_check_artifact_share,signal_tags,representative_papers
"LLM Reasoning, Post-Training, and RLVR",1099,0.1658,1.29,2,2.03,18.55,0.0286,1.29,0.5988,0.3212,0.0928,0.5077,0.3185,0.0027,large_area; program_overweight; public_overweight; venue_overweight; fast_arxiv_growth; high_artifact_visibility,How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | Learning to Theorize the World from Observation
"Multimodal, Vision, and Perception",889,0.1341,0.58,1,0.8,7.25,-0.0312,0.82,0.9459,0.2981,0.1125,0.3521,0.2936,0.0045,large_area; venue_underweight; fast_arxiv_growth,Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal | Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust? | DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection
"Theory, Optimization, and Algorithms",737,0.1112,1.45,1,0.46,4.21,0.0081,1.07,0.3001,0.1194,0.0122,0.2578,0.1194,0.0,large_area; program_overweight,To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Non-Euclidean Gradient Descent Operates at the Edge of Stability | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | Optimal Decision-Making Based on Prediction Sets | Rational Transductors | On the Convergence Rate of LoRA Gradient Descent | Focus and Dilution: The Multi-stage Learning Process of Attention
"AI for Science, Health, and Neuro",587,0.0886,1.08,0,0.33,3.01,0.0088,1.1,0.1494,0.1959,0.0204,0.3612,0.1942,0.0017,,Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Orthogonal Concept Erasure for Diffusion Models | LASER: Learning Active Sensing for Continuum Field Reconstruction | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Protein Fold Classification at Scale: Benchmarking and Pretraining | Training-Free Bayesian Filtering with Generative Emulators | Scalable Event Cloud Network for Event-based Classification
"Data-Centric, Causal, and Federated ML",526,0.0794,0.75,0,0.64,5.82,-0.0049,0.89,0.2792,0.1635,0.0361,0.3042,0.1635,0.0,,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Exact Functional ANOVA Decomposition for Categorical Inputs | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference
Systems and Efficient Foundation Models,515,0.0777,0.69,0,1.31,11.97,0.0215,1.68,0.433,0.2466,0.0524,0.5922,0.2466,0.0,public_overweight; venue_overweight,Controlled LLM Training on Spectral Sphere | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training | Faster Activation Functions at the Edge for Post-Training Speedups
"Safety, Governance, Privacy, and Society",502,0.0757,1.41,3,0.51,4.64,0.0132,1.17,0.5362,0.2012,0.0558,0.2669,0.1992,0.002,program_overweight; fast_arxiv_growth,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence | Position: Stop Automating Peer Review Without Rigorous Evaluation | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking | Quantifying Frontier LLM Capabilities for Container Sandbox Escape | When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models
"Agents, Code, and Tool Use",496,0.0748,1.19,0,1.52,13.87,0.0208,1.44,0.3296,0.3286,0.1552,0.3589,0.3266,0.002,public_overweight; venue_overweight; high_artifact_visibility; benchmark_heavy,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | daVinci-Dev: Agent-native Mid-training for Software Engineering | Monitoring Monitorability | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration
"Graphs, Geometry, and Representation Learning",391,0.059,0.61,0,0.38,3.51,0.0123,1.2,0.2926,0.1969,0.0179,0.2327,0.1969,0.0,,Which Algorithms Can Graph Neural Networks Learn? | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Necessary Conditions for Compositional Generalization of Embedding Models | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear?
Generative Modeling,379,0.0572,0.83,2,0.96,8.76,0.0047,1.07,0.3211,0.3113,0.0396,0.2718,0.3087,0.0026,high_artifact_visibility,A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy sampling for diffusion models and log-concave distributions | High-accuracy and dimension-free sampling with diffusions | Transforming Weather Data from Pixel to Latent Space | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models | Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions
Reinforcement Learning and Control,312,0.0471,0.76,0,0.66,6.01,0.0092,1.13,0.4206,0.2051,0.0513,0.3718,0.2051,0.0,,"On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | Distributional Inverse Reinforcement Learning | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning | Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification | Stabilizing MoE Reinforcement Learning by Aligning Training and Inference Routers"
"Robotics, Embodiment, and World Models",195,0.0294,0.81,0,2.11,19.19,0.0038,1.27,0.2369,0.3795,0.0564,0.3385,0.359,0.0205,public_overweight; high_artifact_visibility,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies | From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models | XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | Learning Latent Action World Models In The Wild | Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies | Temporal Straightening for Latent Planning | LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries
