audience,phase,rank,title,why_read,award,is_oral,public_total_votes,visits_last_7_days,github_stars,reading_score,themes,cluster_id,cluster_label,official_topic,sector_mix,authors,canonical_institutions,url,alphaxiv_url,github_url
LLM Reasoning Researcher,start_here,1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: reasoning, policy optimization, grpo; official award",Outstanding Paper Award,true,92,588,212,12.1298,"Diffusion language models; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia; Industry,Zanlin Ni; Shenzhi Wang; Yang Yue; Tianyu Yu; Weilin Zhao; Yeguo Hua; Tianyi Chen; Jun Song; YuCheng; Bo Zheng; Gao Huang,Alibaba; Tsinghua University,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165,https://github.com/LeapLabTHU/JustGRPO
LLM Reasoning Researcher,start_here,2,Process Reward Models That Think,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: reasoning, test-time, process reward, chain-of-thought",,false,1815,361,89,9.9505,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Industry,Muhammad Khalifa; Rishabh Agarwal; Lajanugen Logeswaran; Jaekyeom Kim; Hao Peng; Moontae Lee; Honglak Lee; Lu Wang,Google DeepMind; LG AI Research; NVIDIA; University of Illinois Chicago; University of Illinois Urbana-Champaign; University of Michigan,https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828,https://github.com/mukhal/thinkprm
LLM Reasoning Researcher,start_here,3,Reinforcement Learning with Evolving Rubrics for Deep Research,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: verifiable, rubric; oral",,true,201,154,682,8.8409,"AI for science, health, and biology; Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia; Industry; Research institute,Rulin Shao; Akari Asai; Shannon Shen; Hamish Ivison; Varsha Kishore; Jingming Zhuo; Xinran Zhao; Molly Park; Samuel Finlayson; David Sontag; Tyler Murray; Sewon Min; Pradeep Dasigi; Luca Soldaini; Faeze Brahman; Scott Yih; Sherry Wu; Luke Zettlemoyer; Yoon Kim; Hannaneh Hajishirzi; Pang Wei Koh,Allen Institute for AI; Carnegie Mellon University; Cornell University; MIT; Meta; Microsoft; UC Berkeley; University of Washington,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399,https://github.com/rlresearch/dr-tulu
LLM Reasoning Researcher,start_here,4,ThreadWeaver: Adaptive Threading for Efficient Parallel Reasoning in Language Models,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 13 scaling / test time / test / time; topic: Large Language Models; keywords: reasoning, chain-of-thought; oral",,true,12,27,66,8.5614,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",13,scaling / test time / test / time,Deep Learning->Large Language Models,Academia; Industry; Other / unknown,Long (Tony) Lian; Sida Wang; Felix Juefei-Xu; Tsu-Jui Fu; Xiuyu Li; Adam Yala; Trevor Darrell; Alane Suhr; Yuandong Tian; Xi Victoria Lin,Apple; Electrical Engineering & Computer Science Department; Google DeepMind; Meta; Recursive Superintelligence; Thinking Machines Lab; UC Berkeley,https://icml.cc/virtual/2026/poster/65330,https://www.alphaxiv.org/abs/2512.07843,https://github.com/facebookresearch/threadweaver
LLM Reasoning Researcher,start_here,5,"Characterizing, Evaluating, and Optimizing Complex Reasoning","theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: reasoning, test time; oral",,true,13,8,17,8.5421,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia; Research institute,Haoran Zhang; Yafu Li; Zhi Wang; Zhilin Wang; Shunkai Zhang; Xiaoye Qu; Yu Cheng,Nanjing University; Peking University; Shanghai AI Laboratory; Shanghai Jiao Tong University; The Chinese University of Hong Kong; University of Science and Technology of China,https://icml.cc/virtual/2026/poster/64958,https://www.alphaxiv.org/abs/2602.08498,https://github.com/zzzhr97/TRM
LLM Reasoning Researcher,core_depth,6,Not All Rollouts are Useful: Down-Sampling Rollouts in LLM Reinforcement Learning,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: reasoning, verifiable, policy optimization, grpo",,false,281,39,0,8.4656,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia,Yixuan Xu; Yash Savani; Fei Fang; Zico Kolter,Carnegie Mellon University,https://icml.cc/virtual/2026/poster/68826,https://www.alphaxiv.org/abs/2504.13818,
LLM Reasoning Researcher,core_depth,7,Plan Then Action: High-Level Planning Guidance Reinforcement Learning for LLM Reasoning,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: reasoning, chain-of-thought, cot, policy optimization",,false,13,0,0,8.3395,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia; Other / unknown,Zhihao Dou; Qinjian Zhao; Zhongwei Wan; Zhang Dinggen; Weida Wang; Benteng Chen; Towsif Raiyan; Qingtao Pan; Yang Ouyang; Chaoda Song; Zhiqiang Gao; shufei zhang; Sumon Biswas,"Case Western Reserve University; Fudan University; Kean University; North Carolina State Univeristy; Ohio State University, Columbus; University of Hong Kong; Wenzhou-Kean University",https://icml.cc/virtual/2026/poster/63817,https://www.alphaxiv.org/abs/2510.01833,
LLM Reasoning Researcher,core_depth,8,DecepChain: Inducing Deceptive Reasoning in Large Language Models,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: reasoning, chain-of-thought, cot, policy optimization",,false,6,1,6,8.332,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia,Wei Shen; Han Wang; Haoyu Li; Huan Zhang,University of Illinois Urbana-Champaign; Wuhan University,https://icml.cc/virtual/2026/poster/63170,https://www.alphaxiv.org/abs/2510.00319,https://github.com/ASTRAL-Group/DecepChain
LLM Reasoning Researcher,core_depth,9,SmartThinker: Progressive Chain-of-Thought Length Calibration for Efficient Large Language Model Reasoning,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: reasoning, chain-of-thought, cot, policy optimization",,false,9,4,16,8.3301,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia,Chenzhi Hu; Qinzhe Hu; yuhang xu; Junyi Chen; Ruijie Wang; Shengzhong Liu; Jianxin Li; Fan Wu; Guihai Chen,Beihang University; Shanghai Jiao Tong University,https://icml.cc/virtual/2026/poster/64022,https://www.alphaxiv.org/abs/2603.08000,https://github.com/SJTU-RTEAS/SmartThinker
LLM Reasoning Researcher,core_depth,10,Why Tree-Style Branching Matters for Thought Advantage Estimation in GRPO,"theme: LLM reasoning and test-time compute, RL for LLMs and verifiable rewards; cluster: 6 reasoning / reinforcement / rl / reinforcement learning; topic: Large Language Models; keywords: reasoning, verifiable, chain-of-thought, policy optimization",,false,12,0,0,8.3288,"Diffusion, flow, and generative modeling; Interpretability and mechanistic analysis; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,Deep Learning->Large Language Models,Academia; Other / unknown,Hongcheng Wang; Yinuo Huang; Sukai Wang; Guanghui Ren; Hao Dong,AGIBOT; AgiBot; Peking University,https://icml.cc/virtual/2026/poster/64680,https://www.alphaxiv.org/abs/2509.24494,
