event_id,title,topic_group,topic,themes,cluster_id,cluster_label,audience_paths,is_oral,award,public_total_votes,visits_last_7_days,github_url,github_repo,github_stars,has_github_url,artifact_confidence,needs_manual_check_reason,alphaxiv_url,icml_url
68817,Process Reward Models That Think,Deep Learning,Deep Learning->Large Language Models,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",13,scaling / test time / test / time,Agents and Tool-Use Researcher; LLM Reasoning Researcher,false,,1815,361,https://github.com/mukhal/thinkprm,mukhal/thinkprm,89,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2504.16828,https://icml.cc/virtual/2026/poster/68817
64121,Reinforcement Learning via Self-Distillation,Deep Learning,Deep Learning->Algorithms,"AI for science, health, and biology; Agents, tools, and computer use; Diffusion, flow, and generative modeling; Interpretability and mechanistic analysis; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,,false,,718,334,https://github.com/lasgroup/SDPO,lasgroup/SDPO,1008,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2601.20802,https://icml.cc/virtual/2026/poster/64121
61870,mHC: Manifold-Constrained Hyper-Connections,Deep Learning,Deep Learning->Large Language Models,"LLM reasoning and test-time compute; Systems, efficiency, and compression; Theory, optimization, and sampling",17,representation / machine learning / machine / general,,false,,696,173,https://github.com/tokenbender/mHC-manifold-constrained-hyper-connections,tokenbender/mHC-manifold-constrained-hyper-connections,367,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2512.24880,https://icml.cc/virtual/2026/poster/61870
61434,Self-Distillation Enables Continual Learning,Other,,RL for LLMs and verifiable rewards,12,tuning / fine tuning / fine / lora,,false,,590,311,https://github.com/idanshen/Self-Distillation,idanshen/Self-Distillation,653,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2601.19897,https://icml.cc/virtual/2026/poster/61434
64488,Agent Learning via Early Experience,Deep Learning,Deep Learning->Large Language Models,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Robotics and world models",11,agent / agents / multi agent / multi,Agents and Tool-Use Researcher,false,,532,122,https://github.com/jettbrains/-L-,jettbrains/-L-,148,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2510.08558,https://icml.cc/virtual/2026/poster/64488
65888,Learning to Discover at Test Time,Other,,"AI for science, health, and biology; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards",13,scaling / test time / test / time,,false,,529,174,https://github.com/sayantann11/all-classification-templetes-for-ML,sayantann11/all-classification-templetes-for-ML,297,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2601.16175,https://icml.cc/virtual/2026/poster/65888
63436,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,Deep Learning,Deep Learning->Large Language Models,"LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Systems, efficiency, and compression",21,quantization / kv / memory / cache,Systems and Efficiency Builder,false,,518,48,https://github.com/abdelfattah-lab/xKV,abdelfattah-lab/xKV,52,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2503.18893,https://icml.cc/virtual/2026/poster/63436
63333,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,Deep Learning,Deep Learning->Large Language Models,"Agents, tools, and computer use; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,,false,,507,79,https://github.com/NVlabs/GDPO,NVlabs/GDPO,489,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2601.05242,https://icml.cc/virtual/2026/poster/63333
63850,"On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models",Deep Learning,Deep Learning->Large Language Models,"Agents, tools, and computer use; Causality and data-centric ML; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",6,reasoning / reinforcement / rl / reinforcement learning,,false,,456,67,https://github.com/Interplay-LM-Reasoning/Interplay-LM-Reasoning,Interplay-LM-Reasoning/Interplay-LM-Reasoning,160,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2512.07783,https://icml.cc/virtual/2026/poster/63850
65206,PaperBanana: Automating Academic Illustration for AI Scientists,Deep Learning,Deep Learning->Large Language Models,"Agents, tools, and computer use; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Multimodal, vision-language, and video",20,code / anonymous / 4open science / 4open,,false,,420,123,https://github.com/dwzhu-pku/PaperBanana,dwzhu-pku/PaperBanana,6765,true,github_url_with_stars,,https://www.alphaxiv.org/abs/2601.23265,https://icml.cc/virtual/2026/poster/65206
