event_id,semantic_cluster_id,semantic_cluster_label,lexical_cluster_id,lexical_cluster_label,title,topic,topic_group,themes,is_oral,award,public_total_votes,visits_last_7_days,github_stars,composite_score,semantic_distance,semantic_centrality,semantic_x,semantic_y,attention_score,url,alphaxiv_url
64393,0,multimodal / visual / modal / modality,4,visual / multimodal / reasoning / vision,TVI-CoT: Text-Visual Interleaved Chain-of-Thought Reasoning for Multimodal Understanding,Deep Learning->Foundation Models,Deep Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video",false,,15,21,2,0.272,0.61449,0.61939,-0.109646,-0.353833,0.02612,https://icml.cc/virtual/2026/poster/64393,https://www.alphaxiv.org/abs/2606.08464
65214,6,code / language / llms / verification,1,language / language models / llms / large language,RubricRobustness: A Simple Framework for Evaluating the Robustness of Rubrics-Based Benchmarks,,Unknown,"AI for science, health, and biology; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,0,0,0,0.0,0.73129,0.5776,-0.337277,-0.019854,0.0,https://icml.cc/virtual/2026/poster/65214,
64134,38,quantum / matrix / optimization / algorithm,22,gradient / networks / optimization / neural networks,SAQNN: Spectral Adaptive Quantum Neural Network as a Universal Approximator,Theory->Learning Theory,Theory,"Interpretability and mechanistic analysis; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,3,3,0,0.0084,0.76446,0.56675,0.190906,0.244133,0.0042,https://icml.cc/virtual/2026/poster/64134,https://www.alphaxiv.org/abs/2602.09718
60769,19,quantization / bit / precision / low,12,tuning / fine tuning / fine / lora,ProjQ: Project-and-Quantize for Adapter-Aware LLM Compression,Deep Learning->Large Language Models,Deep Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",false,,3,0,6,0.3925,0.6352,0.61155,0.133771,-0.092635,0.00165,https://icml.cc/virtual/2026/poster/60769,https://www.alphaxiv.org/abs/2606.00494
65893,12,safety / attacks / attack / social aspects,2,attacks / attack / safety / adversarial,SafeSearch: Automated Red-Teaming of LLM-Based Search Agents,Social Aspects->Safety,Social Aspects,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,13,10,19,0.6305,0.72435,0.57993,-0.442377,0.176814,0.01567,https://icml.cc/virtual/2026/poster/65893,https://www.alphaxiv.org/abs/2509.23694
66626,40,agents / agent / evaluation / agentic,1,language / language models / llms / large language,SpreadsheetArena: Decomposing Preference in LLM Generation of Spreadsheet Workbooks,Applications->Everything Else,Applications,"Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",false,,0,4,0,0.0068,0.79034,0.55855,-0.384721,-0.074208,0.0034,https://icml.cc/virtual/2026/poster/66626,https://www.alphaxiv.org/abs/2603.10002
62616,36,detection / vision / image / robustness,10,3d / vision / applications computer / computer vision,SCRWKV: Ultra-Compact Structure-Calibrated Vision-RWKV for Topological Crack Segmentation,Applications->Computer Vision,Applications,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Systems, efficiency, and compression",false,,2,1,0,0.0039,0.80289,0.55466,0.375264,-0.206884,0.00195,https://icml.cc/virtual/2026/poster/62616,https://www.alphaxiv.org/abs/2605.14926
67185,37,ai / position / social / position paper,28,position / ai / position paper / argues,"Position: Generative Engine Optimization Creates Underexamined Risks, Governance Must Target Concentration, Disclosure, and Academic Blind Spots",Social Aspects->Safety,Social Aspects,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.78201,0.56116,-0.327959,0.148414,0.0,https://icml.cc/virtual/2026/poster/67185,
64846,39,time series / series / forecasting / time,17,representation / machine learning / machine / general,A robust PPG foundation model using multimodal physiological supervision,Applications->Health / Medicine,Applications,"AI for science, health, and biology; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Safety, alignment, governance, and risk",false,,4,2,0,0.0078,0.7876,0.55941,0.21161,-0.064049,0.0039,https://icml.cc/virtual/2026/poster/64846,https://www.alphaxiv.org/abs/2606.07365
61057,28,convergence / optimization / stochastic / convex,22,gradient / networks / optimization / neural networks,Flat Minima and Generalization: Insights from Stochastic Convex Optimization,Theory->Optimization,Theory,"Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,8,1,0,0.0105,0.66715,0.59983,0.145552,0.392996,0.00526,https://icml.cc/virtual/2026/poster/61057,https://www.alphaxiv.org/abs/2511.03548
