event_id,title,themes,official_topic,topic_group,decision,is_oral,award,public_total_votes,visits_last_7_days,github_stars,score,url,alphaxiv_url
64393,TVI-CoT: Text-Visual Interleaved Chain-of-Thought Reasoning for Multimodal Understanding,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video",Deep Learning->Foundation Models,Deep Learning,Accept (regular),false,,15,21,2,0.272,https://icml.cc/virtual/2026/poster/64393,https://www.alphaxiv.org/abs/2606.08464
65214,RubricRobustness: A Simple Framework for Evaluating the Robustness of Rubrics-Based Benchmarks,"AI for science, health, and biology; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",,,Accept (regular),false,,0,0,0,0.0,https://icml.cc/virtual/2026/poster/65214,
64134,SAQNN: Spectral Adaptive Quantum Neural Network as a Universal Approximator,"Interpretability and mechanistic analysis; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",Theory->Learning Theory,Theory,Accept (regular),false,,3,3,0,0.0084,https://icml.cc/virtual/2026/poster/64134,https://www.alphaxiv.org/abs/2602.09718
60769,ProjQ: Project-and-Quantize for Adapter-Aware LLM Compression,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",Deep Learning->Large Language Models,Deep Learning,Accept (regular),false,,3,0,6,0.3925,https://icml.cc/virtual/2026/poster/60769,https://www.alphaxiv.org/abs/2606.00494
65893,SafeSearch: Automated Red-Teaming of LLM-Based Search Agents,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",Social Aspects->Safety,Social Aspects,Accept (regular),false,,13,10,19,0.6305,https://icml.cc/virtual/2026/poster/65893,https://www.alphaxiv.org/abs/2509.23694
66626,SpreadsheetArena: Decomposing Preference in LLM Generation of Spreadsheet Workbooks,"Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",Applications->Everything Else,Applications,Accept (regular),false,,0,4,0,0.0068,https://icml.cc/virtual/2026/poster/66626,https://www.alphaxiv.org/abs/2603.10002
62616,SCRWKV: Ultra-Compact Structure-Calibrated Vision-RWKV for Topological Crack Segmentation,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Systems, efficiency, and compression",Applications->Computer Vision,Applications,Accept (regular),false,,2,1,0,0.0039,https://icml.cc/virtual/2026/poster/62616,https://www.alphaxiv.org/abs/2605.14926
67185,"Position: Generative Engine Optimization Creates Underexamined Risks, Governance Must Target Concentration, Disclosure, and Academic Blind Spots","LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",Social Aspects->Safety,Social Aspects,Accept (regular),false,,0,0,0,0.0,https://icml.cc/virtual/2026/poster/67185,
64846,A robust PPG foundation model using multimodal physiological supervision,"AI for science, health, and biology; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Safety, alignment, governance, and risk",Applications->Health / Medicine,Applications,Accept (regular),false,,4,2,0,0.0078,https://icml.cc/virtual/2026/poster/64846,https://www.alphaxiv.org/abs/2606.07365
61057,Flat Minima and Generalization: Insights from Stochastic Convex Optimization,"Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",Theory->Optimization,Theory,Accept (regular),false,,8,1,0,0.0105,https://icml.cc/virtual/2026/poster/61057,https://www.alphaxiv.org/abs/2511.03548
61337,Hyper-ICL: Attention Calibration with Hyperbolic Anchor Distillation for Multimodal In-Context Learning,"Causality and data-centric ML; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Systems, efficiency, and compression",Applications->Computer Vision,Applications,Accept (regular),false,,7,18,0,0.0383,https://icml.cc/virtual/2026/poster/61337,https://www.alphaxiv.org/abs/2606.04434
63751,Data Augmentation of Contrastive Learning is Estimating Positive-incentive Noise,"AI for science, health, and biology; Multimodal, vision-language, and video; Theory, optimization, and sampling",General Machine Learning->Representation Learning,General Machine Learning,Accept (regular),false,,5,0,0,0.0055,https://icml.cc/virtual/2026/poster/63751,https://www.alphaxiv.org/abs/2408.09929
64625,FastSESR: Fast Scene-level Explicit Surface Reconstruction,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Theory, optimization, and sampling",Applications->Computer Vision,Applications,Accept (regular),false,,0,0,0,0.0,https://icml.cc/virtual/2026/poster/64625,
66078,Query Circuits: Explaining How Language Models Answer User Prompts,"Diffusion, flow, and generative modeling; Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling","Social Aspects->Accountability, Transparency, and Interpretability",Social Aspects,Accept (regular),false,,4,3,1,0.1481,https://icml.cc/virtual/2026/poster/66078,https://www.alphaxiv.org/abs/2509.24808
