category,divergence_score,public_vote_rank,event_id,title,area,subarea,is_oral,award,public_total_votes,visits_last_7_days,github_url,github_stars,review_plan_rank,review_phase,claim_ids,taxonomy_review_status,evidence_confidence,primary_contribution_type,method_families,evaluation_settings,calibration_question,suggested_first_check,url,alphaxiv_url
program_ahead_of_public,1000,3923,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",true,Outstanding Position Paper Honorable Mention,0,0,,0,8,main_thesis_claims,C03,stable_seed,medium,Position / conceptual,Agents / tool use,vision/video; security/safety; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,https://icml.cc/virtual/2026/poster/67084,
program_ahead_of_public,1000,3924,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",true,Outstanding Position Paper Award,0,0,,0,9,main_thesis_claims,C03,stable_seed,medium,Position / conceptual,LLM post-training; Agents / tool use,robotics/embodied; security/safety,What technical reason might explain oral/award selection despite low public attention?,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,https://icml.cc/virtual/2026/poster/67118,
program_ahead_of_public,1000,3925,62831,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",true,,0,13,https://github.com/inclusionAI/UI-Venus,1013,98,public_program_divergence,,stable_seed,medium,Benchmark / evaluation,Agents / tool use,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/62831,https://www.alphaxiv.org/abs/2604.06182
program_ahead_of_public,1000,3926,67249,Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",true,,0,4,,0,115,public_program_divergence,,stable_seed,medium,Position / conceptual,Reasoning / test-time compute,language/llm,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/67249,https://www.alphaxiv.org/abs/2506.08134
program_ahead_of_public,1000,3927,66728,Unsupervised Partner Design Enables Robust Ad-hoc Teamwork,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",true,,0,3,,0,61,taxonomy_boundaries,,needs_review,low,Method / algorithm,RL / policy optimization; Agents / tool use,,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/66728,https://www.alphaxiv.org/abs/2508.06336
program_ahead_of_public,1000,3928,62587,Minimax Optimal Strategy for Delayed Observations in Online Reinforcement Learning,"Theory, Optimization, and Algorithms","Online learning, bandits, and regret",true,,0,3,,0,,,,stable_seed,medium,Theory / proof,RL / policy optimization; Agents / tool use,robotics/embodied; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/62587,https://www.alphaxiv.org/abs/2603.03480
program_ahead_of_public,1000,3929,64138,AI Engram: In Search of Memory Traces in Artificial Intelligence,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",true,,0,0,,0,99,taxonomy_boundaries,,needs_review,medium,System / infrastructure,Causal / data-centric; Graphs / geometry,robotics/embodied; language/llm; theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/64138,
program_ahead_of_public,1000,3930,61526,CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",true,,0,0,,0,100,taxonomy_boundaries,,needs_review,medium,Benchmark / evaluation,Transformer / attention,theory/synthetic,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/61526,
program_ahead_of_public,1000,3931,61370,"ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence","AI for Science, Health, and Neuro",Time series and forecasting applications,true,,0,0,,0,,,,needs_review,medium,Dataset / data resource,LLM post-training; Transformer / attention,vision/video,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/61370,
program_ahead_of_public,1000,3932,63684,FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications,"AI for Science, Health, and Neuro","Protein, molecule, and biological modeling",true,,0,0,,0,,,,needs_review,medium,Benchmark / evaluation,LLM post-training; Agents / tool use,language/llm; science/domain,What technical reason might explain oral/award selection despite low public attention?,Oral/award paper with low AlphaXiv public votes.,https://icml.cc/virtual/2026/poster/63684,
