event_id,title,area,subarea,semantic_cluster_id,semantic_cluster_label,taxonomy_confidence,review_status,topic_group,topic,is_oral,award,public_total_votes,visits_last_7_days,github_url,github_repo,github_stars,artifact_confidence,needs_manual_check_reason,primary_contribution_type,method_families,evaluation_settings,benchmark_mentions,dataset_mentions,metric_mentions,evidence_confidence,author_count,institution_count,url,alphaxiv_url,signal_score
61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,11,reasoning / language / large language / language models,high,needs_review,Deep Learning,Deep Learning->Large Language Models,true,Outstanding Paper Award,92,588,https://github.com/LeapLabTHU/JustGRPO,LeapLabTHU/JustGRPO,212,github_url_with_stars,,Method / algorithm,RL / policy optimization; Reasoning / test-time compute; Diffusion / flow,language/llm,,,accuracy,medium,11,5,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165,110892
62989,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,14,decoding / diffusion / language / language models,high,needs_review,Unknown,,true,Outstanding Paper Honorable Mention,271,374,https://github.com/SimonCao1207/LLM-Capacity,SimonCao1207/LLM-Capacity,2,github_url_with_stars,,Dataset / data resource,Transformer / attention,language/llm,,,,medium,8,7,https://icml.cc/virtual/2026/poster/62989,https://www.alphaxiv.org/abs/2505.24832,110647
60542,Motion Attribution for Video Generation,"Multimodal, Vision, and Perception","3D, video, motion, and spatial understanding",25,3d / video / motion / applications computer,high,stable_seed,Deep Learning,Deep Learning->Foundation Models,true,Outstanding Paper Honorable Mention,67,208,,,0,no_github_url,,Benchmark / evaluation,LLM post-training; Causal / data-centric,vision/video; language/llm,VBench,,win_rate,medium,8,6,https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828,110275
65132,High-accuracy sampling for diffusion models and log-concave distributions,Generative Modeling,"Diffusion sampling, transport, and inverse problems",8,diffusion / sampling / diffusion models / generative,high,stable_seed,Probabilistic Methods,Probabilistic Methods->Monte Carlo and Sampling Methods,true,Outstanding Paper Award,9,183,,,0,no_github_url,,Theory / proof,Diffusion / flow; Bayesian / probabilistic,,,,accuracy,medium,4,2,https://icml.cc/virtual/2026/poster/65132,https://www.alphaxiv.org/abs/2602.01338,110192
66206,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,7,theory / regression / bounds / risk,high,needs_review,Theory,Theory->Learning Theory,true,Outstanding Paper Honorable Mention,7,105,,,0,no_github_url,,Theory / proof,,theory/synthetic,,,,low,3,3,https://icml.cc/virtual/2026/poster/66206,https://www.alphaxiv.org/abs/2601.19791,110112
62241,A Random Matrix Perspective on the Consistency of Diffusion Models,Generative Modeling,"Diffusion sampling, transport, and inverse problems",8,diffusion / sampling / diffusion models / generative,high,stable_seed,Deep Learning,Deep Learning->Generative Models and Autoencoders,true,Outstanding Paper Honorable Mention,14,96,,,0,no_github_url,,Position / conceptual,Agents / tool use; Diffusion / flow,theory/synthetic,,,,medium,3,1,https://icml.cc/virtual/2026/poster/62241,https://www.alphaxiv.org/abs/2602.02908,110110
60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",12,safety / attacks / attack / social aspects,high,stable_seed,Social Aspects,Social Aspects->Alignment,true,Outstanding Paper Honorable Mention,14,71,https://github.com/AlignmentResearch/obfuscation-atlas,AlignmentResearch/obfuscation-atlas,13,github_url_with_stars,,Position / conceptual,RL / policy optimization; LLM post-training,language/llm,,,reward,medium,4,2,https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515,110098
67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",37,ai / position / social / position paper,high,stable_seed,Social Aspects,Social Aspects->Safety,true,Outstanding Position Paper Honorable Mention,0,0,,,0,no_github_url,,Position / conceptual,Agents / tool use,vision/video; security/safety; theory/synthetic,,,,medium,4,1,https://icml.cc/virtual/2026/poster/67084,,110000
67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",37,ai / position / social / position paper,high,stable_seed,Social Aspects,Social Aspects->Alignment,true,Outstanding Position Paper Award,0,0,,,0,no_github_url,,Position / conceptual,LLM post-training; Agents / tool use,robotics/embodied; security/safety,,,,medium,2,1,https://icml.cc/virtual/2026/poster/67118,,110000
66596,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,16,action / robotics / vla / applications robotics,high,stable_seed,Applications,Applications->Robotics,true,,14,39,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5069,needs_manual_check,template_or_index_like_url,Application / domain study,LLM post-training; Causal / data-centric,vision/video; robotics/embodied; language/llm,,,,medium,7,4,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671,15053
62992,Monitoring Monitorability,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",40,agents / agent / evaluation / agentic,high,stable_seed,Unknown,,true,,28,17,https://github.com/nightscout/cgm-remote-monitor,nightscout/cgm-remote-monitor,2786,github_url_with_stars,,Benchmark / evaluation,Reasoning / test-time compute; Agents / tool use,robotics/embodied,,,,medium,12,3,https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311,12831
