table,field,allowed_value,counts_as_review,meaning,when_to_use,promotion_effect
paper_notes,paper_read_status,abstract_only,yes,Only abstract/title/metadata were checked; use only for triage.,Use when the PDF was not opened but the paper remains in the sprint.,"Counts as a started note, but is weak evidence for claim promotion."
paper_notes,paper_read_status,skimmed,yes,Main paper was skimmed but not fully checked.,Use after checking intro/method/results enough to summarize the contribution.,Counts as a note; reviewer should mark evidence_strength conservatively.
paper_notes,paper_read_status,read_main,yes,Main paper body was read; appendix may remain unchecked.,Default target for sprint review.,Good enough for most claim/area overlay decisions.
paper_notes,paper_read_status,read_full,yes,Main paper and relevant appendix/artifact details were checked.,"Use for artifact, theory, benchmark, or controversial claim examples.",Strongest paper-note status.
paper_notes,paper_read_status,blocked,yes,Paper could not be reviewed because source access or content was unavailable.,Use only with a reason in paper_note.,Does not support promotion.
paper_notes,novelty_judgment,new_problem,yes,Paper primarily opens or reframes a problem.,"Use when contribution is mostly problem definition, benchmark framing, or position.",Can support trend/fault-line claims but not necessarily method-strength claims.
paper_notes,novelty_judgment,new_method,yes,"Paper introduces a new mechanism, algorithm, architecture, or training recipe.",Use when the technical mechanism is the main contribution.,Can support method-centered synthesis claims.
paper_notes,novelty_judgment,stronger_theory,yes,Paper primarily contributes theorem/proof/analysis strength.,Use for theory or formal-analysis papers.,Useful for program-attention and theory-area claims.
paper_notes,novelty_judgment,better_system,yes,"Paper primarily improves efficiency, scale, tooling, or systems integration.","Use for infrastructure, serving, tooling, or agent workflow papers.",Useful for systems/agentic workload claims.
paper_notes,novelty_judgment,benchmark_package,yes,Paper primarily contributes benchmark/data/evaluation packaging.,Use when benchmark/data are central rather than a side artifact.,Can support public-attention or reproducibility claims with caveats.
paper_notes,novelty_judgment,incremental,yes,Contribution appears mostly incremental relative to cited baselines.,Use when evidence does not justify headline-example status.,Usually weakens headline use.
paper_notes,novelty_judgment,unclear,yes,Reviewer cannot confidently classify novelty.,Use when the paper needs a second read or specialist review.,Blocks promotion unless other reviewed rows are strong.
paper_notes,evidence_strength,strong,yes,"Claim is backed by credible baselines, metrics, ablations, and limitations.",Use when evidence would survive direct citation in a report.,Good candidate for support_rows when claim implication supports the claim.
paper_notes,evidence_strength,moderate,yes,Evidence is useful but has gaps or limited scope.,Default for credible but not definitive papers.,Can support claims with caveats.
paper_notes,evidence_strength,weak,yes,"Evidence is thin, undercompared, or mostly qualitative.",Use when paper should be a caveat or low-confidence example.,Usually should not count as strong support.
paper_notes,evidence_strength,negative_or_mixed,yes,"Evidence complicates, narrows, or contradicts a simple claim.","Use when results show limits, failure modes, or mixed outcomes.",May become a weakening row or caveat example.
paper_notes,evidence_strength,unclear,yes,Evidence could not be classified.,Use when source did not provide enough information in checked sections.,Blocks promotion for that row.
paper_notes,artifact_status_checked,none,yes,No artifact link or release was found.,Use after checking metadata/PDF sufficiently.,Weakens artifact-visibility claims when a release is expected.
paper_notes,artifact_status_checked,linked_unchecked,yes,Artifact link exists but was not opened or inspected.,Use only as a triage state.,Does not satisfy artifact check gates.
paper_notes,artifact_status_checked,live_checked,yes,Artifact/repository link was opened and exists.,"Use after checking live status, license/release details optional.",Counts toward artifact inspection but not runnable status.
paper_notes,artifact_status_checked,runnable,yes,Artifact appears runnable or includes clear reproduction instructions.,Use only after inspecting repository contents.,Strongest artifact support.
paper_notes,artifact_status_checked,broken,yes,"Artifact link is stale, private, missing, or unusable.",Use after a direct check.,Weakens artifact/reproducibility claims.
paper_notes,artifact_status_checked,not_applicable,yes,Artifact is not expected for this paper type.,Use for pure theory/position papers or cases where release is irrelevant.,Neutral for artifact claims.
paper_notes,taxonomy_correction,keep,yes,Current area/subarea assignment is acceptable.,Use when taxonomy evidence matches the paper's main contribution.,Helps satisfy taxonomy gates.
paper_notes,taxonomy_correction,relabel_area,yes,Paper belongs in a different report-level area.,Use for clear area mismatch.,Blocks taxonomy-sensitive claim promotion until resolved.
paper_notes,taxonomy_correction,relabel_subarea,yes,Area is acceptable but subarea should change.,Use for boundary or submode corrections.,Caveat for subarea-level claims.
paper_notes,taxonomy_correction,split_boundary,yes,Paper genuinely spans multiple areas/subareas.,Use when no single assignment is clearly dominant.,Use as a caveat for aggregate area claims.
paper_notes,taxonomy_correction,unclear,yes,Taxonomy cannot be decided from reviewed material.,Use when reviewer needs more context.,Blocks taxonomy-sensitive promotion.
paper_notes,final_report_use,headline_example,yes,Paper can anchor a report claim.,Use only when contribution and evidence are clear.,Strong candidate for final narrative.
paper_notes,final_report_use,supporting_example,yes,Paper supports a claim but should not anchor it.,Use for useful but less central examples.,Good support row with caveats.
paper_notes,final_report_use,caveat_example,yes,Paper mainly complicates or narrows a claim.,Use when it exposes limits or counterexamples.,Useful for critical analysis; may weaken promotion.
paper_notes,final_report_use,exclude,yes,Paper should not be used in final report synthesis.,"Use for irrelevant, weak, or misclassified examples.",Does not support promotion.
paper_notes,final_report_use,undecided,yes,Reviewer has not decided report role.,Use when additional review is needed.,Weak support until resolved.
claim_overlay,manual_claim_support,supports,yes,Paper materially supports the linked synthesis claim.,Use when reviewed evidence directly supports the claim wording.,Counts as support in acceptance criteria.
claim_overlay,manual_claim_support,partial_support,yes,Paper supports a narrower or caveated version of the claim.,Use when the claim is directionally right but too broad.,"Counts as support, but manual_notes should carry caveat."
claim_overlay,manual_claim_support,weakens,yes,Paper complicates or weakens the linked claim.,"Use for contrary evidence, scope limits, or mismatch.",Counts as weakening; blocks promotion while unresolved.
claim_overlay,manual_claim_support,contradicts,yes,Paper directly contradicts the linked claim.,Use for clear counterexamples.,Counts as weakening; should trigger claim revision.
claim_overlay,manual_claim_support,not_applicable,yes,Paper should not be used for this claim.,Use when paper is in queue but does not bear on the claim.,Reviewed but not support.
claim_overlay,manual_claim_support,unclear,yes,Reviewer cannot decide claim relationship.,Use when further review is needed.,Reviewed but not support.
claim_overlay,manual_taxonomy_judgment,correct,yes,Taxonomy assignment is acceptable for this claim.,Use when area/subarea supports the claim linkage.,Helps taxonomy gates pass.
claim_overlay,manual_taxonomy_judgment,too_broad,yes,Claim/taxonomy grouping is overly broad for this paper.,Use when the paper fits only a narrower slice.,Blocks taxonomy-sensitive promotion.
claim_overlay,manual_taxonomy_judgment,too_narrow,yes,Claim/taxonomy grouping misses broader relevance.,Use when paper spans more than assigned category.,Requires caveat or taxonomy revision.
