area,risk_tier,issue_types,icml2026_papers,icml2026_share,baseline_avg_share,historical_delta_pp,historical_relative_to_baseline,arxiv_2025_vs_2024_growth,arxiv_query_terms,historical_comparison_papers,signal_tags,check_question,recommended_action,safe_language,icml2026_examples,historical_examples
"Multimodal, Vision, and Perception",high,historical_delta_sensitive; arxiv_query_sensitive; baseline_disagreement,889,0.1341,0.17,-3.12,0.82,0.9459,"multimodal; ""vision language""; ""video understanding""; ""visual reasoning""; ""3D vision""",2693,large_area; venue_underweight; fast_arxiv_growth,"Check whether the venue-share direction and arXiv-growth direction are describing different phenomena, or whether one is an artifact of broad query terms/classifier boundaries.",sample historical high-confidence and low-margin classifications; rerun narrower and broader arXiv query variants; write a caveat separating ICML program mix from field-wide preprint momentum,Use only as a hypothesis until spot checks confirm direction and query robustness.,Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination,MoCa: Modeling Object Consistency for 3D Camera Control in Video Generation | 3D Scene Prompting for Scene-Consistent Camera-Controllable Video Generation | Beyond Visual Reconstruction Quality: Object Perception-aware 3D Gaussian Splatting for Autonomous Driving | Vid-LLM: A Compact Video-based 3D Multimodal LLM with Reconstruction–Reasoning Synergy
"LLM Reasoning, Post-Training, and RLVR",high,historical_delta_sensitive; arxiv_query_sensitive,1099,0.1658,0.0993,2.86,1.29,0.5988,"""large language model""; reasoning; ""chain of thought""; ""reinforcement learning from human feedback""; ""preference optimization""; RLVR",1497,large_area; program_overweight; public_overweight; venue_overweight; fast_arxiv_growth; high_artifact_visibility,"Verify that LLM Reasoning, Post-Training, and RLVR is genuinely over-represented versus nearby accepted venues, not a classifier keyword effect.",sample historical high-confidence and low-margin classifications; rerun narrower and broader arXiv query variants,Use only as a hypothesis until spot checks confirm direction and query robustness.,How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research,Plan-Answer-Refine-on-Graph: Structured Planning and Self-Refinement for Large Language Model Reasoning on Knowledge Graphs | Quantile Advantage Estimation: Stabilizing RLVR for LLM Reasoning | Towards Understanding Valuable Preference Data for Large Language Model Alignment | Beyond Magnitude: Leveraging Direction of RLVR Updates for LLM Reasoning
Systems and Efficient Foundation Models,moderate,historical_delta_sensitive,515,0.0777,0.0315,2.15,1.68,0.433,"quantization; compression; ""KV cache""; serving; throughput; latency; MoE",460,public_overweight; venue_overweight,"Verify that Systems and Efficient Foundation Models is genuinely over-represented versus nearby accepted venues, not a classifier keyword effect.",sample historical high-confidence and low-margin classifications,"Phrase as a neighboring-venue comparison, not a causal venue-policy claim.",Controlled LLM Training on Spectral Sphere | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios,ThinKV: Thought-Adaptive KV Cache Compression for Efficient Reasoning Models | REAP the Experts: Why Pruning Prevails for One-Shot MoE compression | KBVQ-MoE: KLT-guided SVD with Bias-Corrected Vector Quantization for MoE Large Language Models | UniQL: Unified Quantization and Low-rank Compression for Adaptive Edge LLMs
"Safety, Governance, Privacy, and Society",moderate,arxiv_query_sensitive,502,0.0757,0.0775,1.32,1.17,0.5362,safety; alignment; jailbreak; privacy; fairness; governance; bias,1129,program_overweight; fast_arxiv_growth,Test alternate arXiv query terms and inspect whether generic terms are inflating the growth estimate.,rerun narrower and broader arXiv query variants,"Phrase as broad preprint-query momentum, not field growth.",The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,"AdvChain: Adversarial Chain-of-Thought Tuning for Robust Safety Alignment of Large Reasoning Models | Mitigating the Safety Alignment Tax with Null-Space Constrained Policy Optimization | FERD: Fairness-Enhanced Data-Free Adversarial Robustness Distillation | A2D: Any-Order, Any-Step Safety Alignment for Diffusion Language Models"
"Agents, Code, and Tool Use",context,classifier_spot_check,496,0.0748,0.0478,2.08,1.44,0.3296,"agent; agents; ""tool use""; ""software engineering""; code; ""web agent""",711,public_overweight; venue_overweight; high_artifact_visibility; benchmark_heavy,Spot-check representative titles and boundary papers before using this as more than directional context.,review classifier hits for representative titles,Use as directional background with classifier caveats.,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | daVinci-Dev: Agent-native Mid-training for Software Engineering | Monitoring Monitorability,"Aligned Agents, Biased Swarm: Measuring Bias Amplification in Multi-Agent Systems | BOAD: Discovering Hierarchical Software Engineering Agents via Bandit Optimization | Multi-Agent Design: Optimizing Agents with Better Prompts and Topologies | Stronger-MAS: Multi-Agent Reinforcement Learning for Collaborative LLMs"
"Graphs, Geometry, and Representation Learning",context,classifier_spot_check,391,0.059,0.0627,1.23,1.2,0.2926,"""graph neural network""; GNN; equivariant; geometric; manifold; representation",897,,Spot-check representative titles and boundary papers before using this as more than directional context.,review classifier hits for representative titles,Use as directional background with classifier caveats.,Which Algorithms Can Graph Neural Networks Learn? | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Necessary Conditions for Compositional Generalization of Embedding Models,AdS-GNN - a Conformally Equivariant Graph Neural Network | TetraGT: Tetrahedral Geometry-Driven Explicit Token Interactions with Graph Transformer for Molecular Representation Learning | TopoFormer: Topology Meets Attention for Graph Learning | Any-Subgroup Equivariant Networks via Symmetry Breaking
Reinforcement Learning and Control,context,classifier_spot_check,312,0.0471,0.0688,0.92,1.13,0.4206,"""reinforcement learning""; ""offline reinforcement learning""; control; policy; MDP",1023,,Spot-check representative titles and boundary papers before using this as more than directional context.,review classifier hits for representative titles,Use as directional background with classifier caveats.,On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | Distributional Inverse Reinforcement Learning | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks,On-Policy RL Meets Off-Policy Experts: Harmonizing Supervised Fine-Tuning and Reinforcement Learning via Dynamic Weighting | Accelerating Diffusion Planners in Offline RL via Reward-Aware Consistency Trajectory Distillation | Off-Policy Safe Reinforcement Learning with Cost-Constrained Optimistic Exploration | Beyond Markovian: Reflective Exploration via Bayes-Adaptive RL for LLM Reasoning
"AI for Science, Health, and Neuro",context,classifier_spot_check,587,0.0886,0.0855,0.88,1.1,0.1494,"protein; molecule; chemistry; physics; genomics; medical; ""time series""",1245,,Spot-check representative titles and boundary papers before using this as more than directional context.,review classifier hits for representative titles,Use as directional background with classifier caveats.,Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Orthogonal Concept Erasure for Diffusion Models | LASER: Learning Active Sensing for Continuum Field Reconstruction,Towards Generalizable PDE Dynamics Forecasting via Physics-Guided Invariant Learning | KGOT: Unified Knowledge Graph and Optimal Transport Pseudo-Labeling for Molecule-Protein Interaction Prediction | ATOM: A Pretrained Neural Operator for Multitask Molecular Dynamics | Align Your Structures: Generating Trajectories with Structure Pretraining for Molecular Dynamics
"Theory, Optimization, and Algorithms",context,classifier_spot_check,737,0.1112,0.1204,0.81,1.07,0.3001,"""learning theory""; optimization; regret; bandit; bayesian; probabilistic",1707,large_area; program_overweight,Spot-check representative titles and boundary papers before using this as more than directional context.,review classifier hits for representative titles,Use as directional background with classifier caveats.,To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Non-Euclidean Gradient Descent Operates at the Edge of Stability | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach,Combinatorial Bandit Bayesian Optimization for Tensor Outputs | Discounted Online Convex Optimization: Uniform Regret Across a Continuous Interval | High Probability Bounds for Non-Convex Stochastic Optimization with Momentum | Riemannian Optimization on Relaxed Indicator Matrix Manifold
"Data-Centric, Causal, and Federated ML",context,classifier_spot_check,526,0.0794,0.0437,-0.49,0.89,0.2792,"causal; causality; ""data selection""; ""continual learning""; ""federated learning""",619,,Spot-check representative titles and boundary papers before using this as more than directional context.,review classifier hits for representative titles,Use as directional background with classifier caveats.,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation,High-dimensional Analysis of Synthetic Data Selection | Foundation Models for Causal Inference via Prior-Data Fitted Networks | WaterDrum: Watermark-based Data-centric Unlearning Metric | Bayesian Active Learning for Bivariate Causal Discovery
