event_id,cluster_id,cluster_label,title,topic,topic_group,themes,is_oral,award,public_total_votes,visits_last_7_days,github_stars,composite_score,cluster_distance,cluster_centrality,attention_score,url,alphaxiv_url
64393,4,visual / multimodal / reasoning / vision,TVI-CoT: Text-Visual Interleaved Chain-of-Thought Reasoning for Multimodal Understanding,Deep Learning->Foundation Models,Deep Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video",false,,15,21,2,0.272,0.79843,0.55604,0.02612,https://icml.cc/virtual/2026/poster/64393,https://www.alphaxiv.org/abs/2606.08464
65214,1,language / language models / llms / large language,RubricRobustness: A Simple Framework for Evaluating the Robustness of Rubrics-Based Benchmarks,,Unknown,"AI for science, health, and biology; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,0,0,0,0.0,0.863,0.53677,0.0,https://icml.cc/virtual/2026/poster/65214,
64134,22,gradient / networks / optimization / neural networks,SAQNN: Spectral Adaptive Quantum Neural Network as a Universal Approximator,Theory->Learning Theory,Theory,"Interpretability and mechanistic analysis; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,3,3,0,0.0084,0.84159,0.54301,0.0042,https://icml.cc/virtual/2026/poster/64134,https://www.alphaxiv.org/abs/2602.09718
60769,12,tuning / fine tuning / fine / lora,ProjQ: Project-and-Quantize for Adapter-Aware LLM Compression,Deep Learning->Large Language Models,Deep Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",false,,3,0,6,0.3925,0.81075,0.55226,0.00165,https://icml.cc/virtual/2026/poster/60769,https://www.alphaxiv.org/abs/2606.00494
65893,2,attacks / attack / safety / adversarial,SafeSearch: Automated Red-Teaming of LLM-Based Search Agents,Social Aspects->Safety,Social Aspects,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk",false,,13,10,19,0.6305,0.84399,0.5423,0.01567,https://icml.cc/virtual/2026/poster/65893,https://www.alphaxiv.org/abs/2509.23694
66626,1,language / language models / llms / large language,SpreadsheetArena: Decomposing Preference in LLM Generation of Spreadsheet Workbooks,Applications->Everything Else,Applications,"Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards",false,,0,4,0,0.0068,0.83602,0.54466,0.0034,https://icml.cc/virtual/2026/poster/66626,https://www.alphaxiv.org/abs/2603.10002
62616,10,3d / vision / applications computer / computer vision,SCRWKV: Ultra-Compact Structure-Calibrated Vision-RWKV for Topological Crack Segmentation,Applications->Computer Vision,Applications,"Agents, tools, and computer use; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Systems, efficiency, and compression",false,,2,1,0,0.0039,0.7993,0.55577,0.00195,https://icml.cc/virtual/2026/poster/62616,https://www.alphaxiv.org/abs/2605.14926
67185,28,position / ai / position paper / argues,"Position: Generative Engine Optimization Creates Underexamined Risks, Governance Must Target Concentration, Disclosure, and Academic Blind Spots",Social Aspects->Safety,Social Aspects,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.7909,0.55838,0.0,https://icml.cc/virtual/2026/poster/67185,
64846,17,representation / machine learning / machine / general,A robust PPG foundation model using multimodal physiological supervision,Applications->Health / Medicine,Applications,"AI for science, health, and biology; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Safety, alignment, governance, and risk",false,,4,2,0,0.0078,0.90385,0.52525,0.0039,https://icml.cc/virtual/2026/poster/64846,https://www.alphaxiv.org/abs/2606.07365
61057,22,gradient / networks / optimization / neural networks,Flat Minima and Generalization: Insights from Stochastic Convex Optimization,Theory->Optimization,Theory,"Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,8,1,0,0.0105,0.85822,0.53815,0.00526,https://icml.cc/virtual/2026/poster/61057,https://www.alphaxiv.org/abs/2511.03548
61337,14,attention / transformers / transformer / context,Hyper-ICL: Attention Calibration with Hyperbolic Anchor Distillation for Multimodal In-Context Learning,Applications->Computer Vision,Applications,"Causality and data-centric ML; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Systems, efficiency, and compression",false,,7,18,0,0.0383,0.89674,0.52722,0.01916,https://icml.cc/virtual/2026/poster/61337,https://www.alphaxiv.org/abs/2606.04434
63751,17,representation / machine learning / machine / general,Data Augmentation of Contrastive Learning is Estimating Positive-incentive Noise,General Machine Learning->Representation Learning,General Machine Learning,"AI for science, health, and biology; Multimodal, vision-language, and video; Theory, optimization, and sampling",false,,5,0,0,0.0055,0.90185,0.5258,0.00275,https://icml.cc/virtual/2026/poster/63751,https://www.alphaxiv.org/abs/2408.09929
64625,10,3d / vision / applications computer / computer vision,FastSESR: Fast Scene-level Explicit Surface Reconstruction,Applications->Computer Vision,Applications,"Agents, tools, and computer use; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Theory, optimization, and sampling",false,,0,0,0,0.0,0.82663,0.54746,0.0,https://icml.cc/virtual/2026/poster/64625,
66078,23,interpretability / accountability / transparency / transparency interpretability,Query Circuits: Explaining How Language Models Answer User Prompts,"Social Aspects->Accountability, Transparency, and Interpretability",Social Aspects,"Diffusion, flow, and generative modeling; Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,4,3,1,0.1481,0.67585,0.59671,0.00475,https://icml.cc/virtual/2026/poster/66078,https://www.alphaxiv.org/abs/2509.24808
66787,24,preference / reward / preferences / preference optimization,Reliability-Aware LLM Alignment from Inconsistent Human Feedback,Social Aspects->Alignment,Social Aspects,"Agents, tools, and computer use; Causality and data-centric ML; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.61148,0.62055,0.0,https://icml.cc/virtual/2026/poster/66787,
61805,14,attention / transformers / transformer / context,SSA: Sparse Sparse Attention by Aligning Full and Sparse Attention Outputs in Feature Space,Deep Learning->Attention Mechanisms,Deep Learning,"Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,32,18,27,0.7323,0.81058,0.55231,0.03294,https://icml.cc/virtual/2026/poster/61805,https://www.alphaxiv.org/abs/2511.20102
62027,20,code / anonymous / 4open science / 4open,LEGO: An LLM-Enabled Hierarchical Optimizer for Tensor Computation Graphs with Structure-Aware Search and Compositional Synthesis,Deep Learning->Large Language Models,Deep Learning,"Agents, tools, and computer use; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,0,0,0,0.0,0.9126,0.52285,0.0,https://icml.cc/virtual/2026/poster/62027,
61728,17,representation / machine learning / machine / general,VBA: Vector Bundle Attention for Intrinsically Geometric Representation Learning,Deep Learning->Other Representation Learning,Deep Learning,"AI for science, health, and biology; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,0,0,0.0,0.87739,0.53266,0.0,https://icml.cc/virtual/2026/poster/61728,
66809,7,reinforcement learning / reinforcement / policy / rl,Latent Spherical Flow Policy for Reinforcement Learning with Combinatorial Actions,Reinforcement Learning->Deep RL,Reinforcement Learning,"Diffusion, flow, and generative modeling; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,2,0,0,0.0022,0.7399,0.57474,0.0011,https://icml.cc/virtual/2026/poster/66809,https://www.alphaxiv.org/abs/2601.22211
67054,28,position / ai / position paper / argues,Position: Token Taxes Can Mitigate AI's Economic Risks,Social Aspects->Everything Else,Social Aspects,"Robotics and world models; Safety, alignment, governance, and risk",false,,0,0,0,0.0,0.63611,0.61121,0.0,https://icml.cc/virtual/2026/poster/67054,
64661,18,time series / series / time / forecasting,Dynamic Fractal Mamba: A Neural Renormalization Group Flow for Scale-Invariant Sequence Modeling,"Deep Learning->Sequential Models, Time series",Deep Learning,"Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,0,0,0,0.0,0.79847,0.55603,0.0,https://icml.cc/virtual/2026/poster/64661,
62905,20,code / anonymous / 4open science / 4open,Learn to Merge: Meta-Learning for Adaptive Multi-Task Model Merging,"General Machine Learning->Transfer, Multitask and Meta-learning",General Machine Learning,"Systems, efficiency, and compression",false,,0,0,0,0.0,0.9489,0.51311,0.0,https://icml.cc/virtual/2026/poster/62905,
64324,7,reinforcement learning / reinforcement / policy / rl,Compositional Transduction with Latent Analogies for Offline Goal-Conditioned Reinforcement Learning,Reinforcement Learning->Batch/Offline,Reinforcement Learning,"Agents, tools, and computer use; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,7,1,0,0.0094,0.87587,0.53309,0.00471,https://icml.cc/virtual/2026/poster/64324,https://www.alphaxiv.org/abs/2605.20609
66306,21,quantization / kv / memory / cache,Training-Free Hashing-Based Attention via Binary Principal Components,Deep Learning->Attention Mechanisms,Deep Learning,"Memorization, evaluation, and generalization; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,0,0,0,0.0,0.8017,0.55503,0.0,https://icml.cc/virtual/2026/poster/66306,
63090,6,reasoning / reinforcement / rl / reinforcement learning,T$^2$PO: Uncertainty-Guided Exploration Control for Stable Multi-Turn Agentic Reinforcement Learning,Deep Learning->Large Language Models,Deep Learning,"Agents, tools, and computer use; Causality and data-centric ML; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,56,20,45,0.8614,0.82956,0.54658,0.04786,https://icml.cc/virtual/2026/poster/63090,https://www.alphaxiv.org/abs/2605.02178
64217,13,scaling / test time / test / time,Beyond Test-Time Training: Learning to Reason via Hardware-Efficient Optimal Control,,Unknown,"Agents, tools, and computer use; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Systems, efficiency, and compression",false,,17,0,15,0.5733,0.81776,0.55013,0.00937,https://icml.cc/virtual/2026/poster/64217,https://www.alphaxiv.org/abs/2603.09221
66322,27,neuroscience / cognitive / neuroscience cognitive / applications neuroscience,Learning Biophysical Models of Large-Scale Multineuronal Data To Enable Precise Neurostimulation,"Applications->Neuroscience, Cognitive Science",Applications,"AI for science, health, and biology; Interpretability and mechanistic analysis",false,,0,0,0,0.0,0.67253,0.5979,0.0,https://icml.cc/virtual/2026/poster/66322,
63729,8,causal / causality / learning causality / treatment,CauScale: Neural Causal Discovery at Scale,General Machine Learning->Causality,General Machine Learning,"AI for science, health, and biology; Causality and data-centric ML; Systems, efficiency, and compression",false,,8,0,21,0.627,0.74282,0.57378,0.00441,https://icml.cc/virtual/2026/poster/63729,https://www.alphaxiv.org/abs/2602.08629
62777,7,reinforcement learning / reinforcement / policy / rl,Tracking Drift: Variation-Aware Entropy Scheduling for Non-Stationary Reinforcement Learning,Theory->Reinforcement Learning and Planning,Theory,"Agents, tools, and computer use; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,3,0,0,0.0033,0.86741,0.5355,0.00165,https://icml.cc/virtual/2026/poster/62777,https://www.alphaxiv.org/abs/2601.19624
62772,8,causal / causality / learning causality / treatment,Towards Completeness in Causal Discovery from Soft Interventions with Known Targets,General Machine Learning->Causality,General Machine Learning,Causality and data-centric ML; LLM reasoning and test-time compute,false,,0,0,0,0.0,0.68506,0.59345,0.0,https://icml.cc/virtual/2026/poster/62772,
65528,9,theory / algorithm / optimal / regret,Fairness in Aggregation: Optimal Top-$k$ and Improved Full Ranking,Social Aspects->Fairness,Social Aspects,"Safety, alignment, governance, and risk",false,,3,0,0,0.0033,0.90506,0.52492,0.00165,https://icml.cc/virtual/2026/poster/65528,https://www.alphaxiv.org/abs/2605.23265
62082,6,reasoning / reinforcement / rl / reinforcement learning,Enhancing Multi-Modal LLMs Reasoning via Difficulty-Aware Group Normalization,,Unknown,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,5,6,0,0.0157,0.79806,0.55616,0.00786,https://icml.cc/virtual/2026/poster/62082,https://www.alphaxiv.org/abs/2602.21743
63489,12,tuning / fine tuning / fine / lora,CSPLoRA: Confidence-Guided Structure Planning for Low-Rank Adaptation,Deep Learning->Large Language Models,Deep Learning,"Agents, tools, and computer use; Interpretability and mechanistic analysis; LLM reasoning and test-time compute; Systems, efficiency, and compression",false,,0,0,0,0.0,0.7931,0.55769,0.0,https://icml.cc/virtual/2026/poster/63489,
62188,13,scaling / test time / test / time,Tempora: Characterising the Time-Contingent Utility of Online Test-Time Adaptation,General Machine Learning->Evaluation,General Machine Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; Theory, optimization, and sampling",false,,2,2,0,0.0056,0.90206,0.52575,0.0028,https://icml.cc/virtual/2026/poster/62188,https://www.alphaxiv.org/abs/2602.06136
62499,12,tuning / fine tuning / fine / lora,FedTreeLoRA: Reconciling Statistical and Functional Heterogeneity in Federated LoRA Fine-Tuning,Deep Learning->Large Language Models,Deep Learning,"LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,0,0,0,0.0,0.8285,0.5469,0.0,https://icml.cc/virtual/2026/poster/62499,https://www.alphaxiv.org/abs/2603.13282
61300,8,causal / causality / learning causality / treatment,Partial Identification under High-Dimensional Potential Outcomes and Confounders via Optimal Transport,General Machine Learning->Causality,General Machine Learning,"Causality and data-centric ML; Interpretability and mechanistic analysis; Theory, optimization, and sampling",false,,2,4,0,0.009,0.88269,0.53116,0.0045,https://icml.cc/virtual/2026/poster/61300,https://www.alphaxiv.org/abs/2606.00847
60649,8,causal / causality / learning causality / treatment,Causal Discovery for Irregularly Time Series with Consistency Guarantees,General Machine Learning->Causality,General Machine Learning,"AI for science, health, and biology; Causality and data-centric ML; Diffusion, flow, and generative modeling; Safety, alignment, governance, and risk; Theory, optimization, and sampling",false,,0,7,0,0.0119,0.71435,0.58331,0.00595,https://icml.cc/virtual/2026/poster/60649,https://www.alphaxiv.org/abs/2507.03310
63464,7,reinforcement learning / reinforcement / policy / rl,Reparameterization Flow Policy Optimization,Reinforcement Learning->Deep RL,Reinforcement Learning,"Diffusion, flow, and generative modeling; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Robotics and world models; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,5,3,0,0.0106,0.74995,0.57144,0.00531,https://icml.cc/virtual/2026/poster/63464,https://www.alphaxiv.org/abs/2602.03501
64810,1,language / language models / llms / large language,Optimal Bayesian Stopping for Efficient Inference of Consistent LLM Answers,,Unknown,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,4,2,0,0.0078,0.95278,0.51209,0.0039,https://icml.cc/virtual/2026/poster/64810,https://www.alphaxiv.org/abs/2602.05395
61380,15,physics / chemistry / earth / applications chemistry,From Feasible to Practical: Pareto-Optimal Synthesis Planning,"Applications->Chemistry, Physics, and Earth Sciences",Applications,"AI for science, health, and biology; Agents, tools, and computer use; Diffusion, flow, and generative modeling; Memorization, evaluation, and generalization; Theory, optimization, and sampling",true,,1,2,0,1.5045,0.88728,0.52986,0.00225,https://icml.cc/virtual/2026/poster/61380,https://www.alphaxiv.org/abs/2605.07521
65278,4,visual / multimodal / reasoning / vision,DenseMLLM: Standard Multimodal LLMs are Intrinsic Dense Predictors,,Unknown,"Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards",false,,9,1,0,0.0116,0.76775,0.56569,0.00581,https://icml.cc/virtual/2026/poster/65278,https://www.alphaxiv.org/abs/2602.14134
65802,17,representation / machine learning / machine / general,Magnitude Distance: A Geometric Measure of Dataset Similarity,Theory->Everything Else,Theory,"Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,1,1,0,0.0028,0.84773,0.5412,0.0014,https://icml.cc/virtual/2026/poster/65802,https://www.alphaxiv.org/abs/2602.08859
65914,25,cross / semantic / label / extensive,Class-Prior Perturbation-Robust Regularization for Imbalanced Unreliable Partial Label Learning,General Machine Learning->Everything Else,General Machine Learning,"Agents, tools, and computer use; Diffusion, flow, and generative modeling; Memorization, evaluation, and generalization; Theory, optimization, and sampling",false,,0,0,0,0.0,0.85567,0.53889,0.0,https://icml.cc/virtual/2026/poster/65914,
60478,12,tuning / fine tuning / fine / lora,Grouter: Decoupling Routing from Representation for Accelerated MoE Training,Deep Learning->Large Language Models,Deep Learning,"LLM reasoning and test-time compute; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,0,5,0,0.0085,0.91867,0.5212,0.00425,https://icml.cc/virtual/2026/poster/60478,https://www.alphaxiv.org/abs/2603.06626
64115,21,quantization / kv / memory / cache,ASTRA: Communication-Efficient Acceleration for Multi-Device Transformer Inference,General Machine Learning->Hardware and Software,General Machine Learning,"Systems, efficiency, and compression",false,,0,0,0,0.0,0.75648,0.56932,0.0,https://icml.cc/virtual/2026/poster/64115,
60520,20,code / anonymous / 4open science / 4open,Generalized Discrete Diffusion with Self-Correction,Deep Learning->Large Language Models,Deep Learning,"Diffusion language models; Diffusion, flow, and generative modeling; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; RL for LLMs and verifiable rewards; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,11,12,0,0.0325,0.85553,0.53893,0.01626,https://icml.cc/virtual/2026/poster/60520,https://www.alphaxiv.org/abs/2603.02230
64668,6,reasoning / reinforcement / rl / reinforcement learning,From Shortcuts to Reasoning: Robust Post-Training of Theory of Mind with Reinforcement Learning,General Machine Learning->Evaluation,General Machine Learning,"Agents, tools, and computer use; Causality and data-centric ML; LLM reasoning and test-time compute; Memorization, evaluation, and generalization; Multimodal, vision-language, and video; RL for LLMs and verifiable rewards; Theory, optimization, and sampling",false,,8,5,0,0.0173,0.88035,0.53182,0.00866,https://icml.cc/virtual/2026/poster/64668,https://www.alphaxiv.org/abs/2606.09092
63727,16,physics / pde / equations / pdes,Revisiting Neural Processes via Fourier Transform and Volterra Series,Probabilistic Methods->Everything Else,Probabilistic Methods,"Interpretability and mechanistic analysis; Memorization, evaluation, and generalization; Systems, efficiency, and compression; Theory, optimization, and sampling",false,,3,0,0,0.0033,0.86092,0.53737,0.00165,https://icml.cc/virtual/2026/poster/63727,https://www.alphaxiv.org/abs/2606.01172
62534,17,representation / machine learning / machine / general,Factor-Wise Homogeneity of Slot-Attention for Continual Object-Centric Learning,General Machine Learning->Representation Learning,General Machine Learning,"Multimodal, vision-language, and video; Safety, alignment, governance, and risk; Systems, efficiency, and compression",false,,0,0,0,0.0,0.93715,0.51622,0.0,https://icml.cc/virtual/2026/poster/62534,
