sprint_rank,global_review_rank,target_claims,event_id,title,review_phase,area,subarea,claim_ids,why_in_sprint,claim_overlay_keys,area_overlay_keys,claim_fields_to_fill,area_fields_to_fill,review_focus,claim_packet_links,claim_dossier_links,area_packet_link,area_briefing_link,signals,method_families,evaluation_settings,abstract_excerpt,icml_url,alphaxiv_url,github_url
1,58,C05,60542,Motion Attribution for Video Generation,priority_area_depth,"Multimodal, Vision, and Perception","3D, video, motion, and spatial understanding",C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; award paper; oral/program signal,C05::60542,"Multimodal, Vision, and Perception::60542",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether each subarea behaves differently from the aggregate underweight claim.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md,reports/validation_packets/multimodal-vision-and-perception.md,reports/area_briefing_cards/multimodal-vision-and-perception.md,oral; Outstanding Paper Honorable Mention; votes=67; evidence=medium,LLM post-training; Causal / data-centric,vision/video; language/llm,"Despite the rapid progress of video generation models, the role of data in influencing motion is poorly understood. We present Motive (MOTIon attribution for Video gEneration), a motion-centric, gradient-based data attribution framework that scales to modern, large, high-quality video datasets and models. We use this to study which fine-tuning clips improve or degrade temporal dynamics. Motive isolates temporal dynamics from static appearance via motion-weighted loss masks, yielding...",https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828,
2,59,C05,65954,Multimodal Nested Learning for Decoupled and Coordinated Optimization,public_program_divergence,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; oral/program signal; low-confidence evidence code; program signal with low public attention,C05::65954,"Multimodal, Vision, and Perception::65954",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether each subarea behaves differently from the aggregate underweight claim.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md,reports/validation_packets/multimodal-vision-and-perception.md,reports/area_briefing_cards/multimodal-vision-and-perception.md,oral; votes=0; evidence=low,,,"Multimodal learning aims to integrate multi-sensor data to exploit their complementary information, embracing a more comprehensive real-world perception and understanding. However, heterogeneous discrepancies across modalities consistently trigger imbalanced multimodal optimization, restricting the joint learning performance. Although existing methods mitigate this issue through optimization modulation and conflict alleviation, they still suffer from entangled optimization and uniform...",https://icml.cc/virtual/2026/poster/65954,,
3,74,C05,65729,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,public_program_divergence,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,C05::65729 | C06::65729,"Multimodal, Vision, and Perception::65729",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/multimodal-vision-and-perception.md,reports/area_briefing_cards/multimodal-vision-and-perception.md,votes=147; github_stars=234; evidence=medium,Reasoning / test-time compute; Agents / tool use,robotics/embodied,"Multimodal agents demonstrate impressive problem-solving capabilities but typically operate in isolated episodes without leveraging past experiences. Recent methods address this through dynamic retrieval of textual insights or predefined skill documents, yet face critical challenges: visual modalities are neglected during knowledge extraction, stored insights lack executable structure, and manually crafted skills fail to scale. We propose \textsc{ExSkill}, a framework combining task-level...",https://icml.cc/virtual/2026/poster/65729,https://www.alphaxiv.org/abs/2603.12056,https://github.com/XSkill-Agent/XSkill
4,75,C05,63195,BabyVision: Visual Reasoning Beyond Language,public_program_divergence,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,C05::63195 | C06::63195,"Multimodal, Vision, and Perception::63195",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/multimodal-vision-and-perception.md,reports/area_briefing_cards/multimodal-vision-and-perception.md,votes=134; github_stars=227; evidence=medium,Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,"While humans develop core visual skills long before acquiring language, contemporary Multimodal LLMs (MLLMs) still rely heavily on linguistic priors to compensate for their fragile visual understanding. We uncovered a crucial fact: state-of-the-art MLLMs consistently fail on basic visual tasks that humans, even 3-year-olds, can solve effortlessly. To systematically investigate this gap, we introduce BabyVision, a benchmark designed to assess core visual abilities independent of linguistic...",https://icml.cc/virtual/2026/poster/63195,https://www.alphaxiv.org/abs/2601.06521,https://github.com/UniPat-AI/BabyVision
5,76,C05,63623,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,public_program_divergence,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,C05::63623 | C06::63623,"Multimodal, Vision, and Perception::63623",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/multimodal-vision-and-perception.md,reports/area_briefing_cards/multimodal-vision-and-perception.md,votes=150; github_stars=206; evidence=medium,Reasoning / test-time compute; Agents / tool use; Causal / data-centric,math/code/verifiable; vision/video; robotics/embodied; security/safety,"World models require robust relational understanding to support prediction, reasoning, and control. While object-centric representations provide a useful abstraction, they are not sufficient to capture interaction-dependent dynamics. We therefore propose C-JEPA, a simple and flexible object-centric world model that extends masked joint embedding prediction from image patches to object-centric representations. By applying object-level masking that requires an object’s state to be inferred...",https://icml.cc/virtual/2026/poster/63623,https://www.alphaxiv.org/abs/2602.11389,https://github.com/galilai-group/cjepa
6,78,C05,65709,A Very Big Video Reasoning Suite,public_program_divergence,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05; C06,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; artifact-visible; moderate AlphaXiv attention; public attention without program signal,C05::65709 | C06::65709,"Multimodal, Vision, and Perception::65709",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether high-attention ICML multimodal papers look more like ICLR/NeurIPS-style vision work or ICML-style ML methods. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/multimodal-vision-and-perception.md,reports/area_briefing_cards/multimodal-vision-and-perception.md,votes=159; github_stars=25; evidence=medium,Reasoning / test-time compute; Agents / tool use; Causal / data-centric,math/code/verifiable; vision/video; language/llm,"Video reasoning grounds intelligence in spatiotemporally consistent visual environments that go beyond what text can naturally capture, enabling intuitive reasoning over motion, interaction, and causality. Rapid progress in video models has focused primarily on visual quality. Systematically studying video reasoning and its scaling behavior suffers from a lack of video reasoning (training) data. To address this gap, we introduce the Very Big Video Reasoning (VBVR) Dataset, an unprecedentedly...",https://icml.cc/virtual/2026/poster/65709,https://www.alphaxiv.org/abs/2602.20159,https://github.com/Video-Reason/VBVR-Wan2.2
7,79,C05,62726,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,priority_area_depth,"Multimodal, Vision, and Perception",Vision-language reasoning and video understanding,C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; in area-validation queue; priority report area; oral/program signal,C05::62726,"Multimodal, Vision, and Perception::62726",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,Check whether each subarea behaves differently from the aggregate underweight claim.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md,reports/validation_packets/multimodal-vision-and-perception.md,reports/area_briefing_cards/multimodal-vision-and-perception.md,oral; votes=21; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,vision/video; language/llm,"Achieving robust perception-reasoning synergy is a central goal for advanced Vision-Language Models (VLMs). Recent advancements have pursued this goal via architectural designs or agentic workflows. However, these approaches are often limited by static textual reasoning or complicated by the significant compute and engineering burden of external agentic complexity. Worse, this heavy investment does not yield proportional gains, often witnessing a ""seesaw effect"" on perception and reasoning....",https://icml.cc/virtual/2026/poster/62726,https://www.alphaxiv.org/abs/2605.14054,
8,81,C04,61757,World Guidance: World Modeling in Condition Space for Action Generation,public_program_divergence,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; low-confidence evidence code; artifact-visible; moderate AlphaXiv attention; public attention without program signal,C04::61757,"Robotics, Embodiment, and World Models::61757",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",reports/claim_validation_packets/c04-public-attention-mismatch.md,reports/claim_evidence_dossiers/c04-public-attention-mismatch.md,reports/validation_packets/robotics-embodiment-and-world-models.md,reports/area_briefing_cards/robotics-embodiment-and-world-models.md,votes=108; github_stars=147; evidence=low,,vision/video; robotics/embodied; language/llm; theory/synthetic,"Leveraging future observation modeling to facilitate action generation presents a promising avenue for enhancing the capabilities of Vision-Language-Action (VLA) models. However, existing approaches struggle to strike a balance between maintaining efficient, predictable future representations and preserving sufficient fine-grained information to guide precise action generation. To address this limitation, we propose WoG (World Guidance), a framework that maps future observations into compact...",https://icml.cc/virtual/2026/poster/61757,https://www.alphaxiv.org/abs/2602.22010,https://github.com/Selen-Suyue/WoG
9,82,C04,64904,Temporal Straightening for Latent Planning,public_program_divergence,"Robotics, Embodiment, and World Models",Vision-language-action models and robotic manipulation,C04,claim missing sprint-01 coverage; targets C04; in claim-validation queue; in area-validation queue; low-confidence evidence code; artifact-visible; moderate AlphaXiv attention; public attention without program signal,C04::64904,"Robotics, Embodiment, and World Models::64904",manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes,"Classify the source of public attention: benchmark, demo, artifact, model release, or hype.",reports/claim_validation_packets/c04-public-attention-mismatch.md,reports/claim_evidence_dossiers/c04-public-attention-mismatch.md,reports/validation_packets/robotics-embodiment-and-world-models.md,reports/area_briefing_cards/robotics-embodiment-and-world-models.md,votes=202; github_stars=92; evidence=very_low,,,"Learning good representations is essential for latent planning with world models. While pretrained visual encoders provide strong visual features, they are not tailored to planning and contain substantial information which is irrelevant to planning. Inspired by the perceptual straightening hypothesis in human visual processing, we introduce temporal straightening for representation learning in latent planning. We add a lightweight projector on top of a pretrained visual encoder to map to a...",https://icml.cc/virtual/2026/poster/64904,https://www.alphaxiv.org/abs/2603.12231,https://github.com/agentic-learning-ai-lab/temporal-straightening
10,83,C05,63330,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,taxonomy_boundaries,"Multimodal, Vision, and Perception","Vision robustness, detection, and adversarial perception",C05,claim missing sprint-01 coverage; targets C05; in claim-validation queue; priority report area; oral/program signal; taxonomy boundary needs review,C05::63330,,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,,Check whether each subarea behaves differently from the aggregate underweight claim.,reports/claim_validation_packets/c05-neighboring-venue-contrast.md,reports/claim_evidence_dossiers/c05-neighboring-venue-contrast.md,,reports/area_briefing_cards/multimodal-vision-and-perception.md,oral; votes=2; taxonomy_review; evidence=medium,Causal / data-centric,vision/video; security/safety; theory/synthetic,"Dataset distillation (DD) compresses a large training set into a small synthetic set for efficient training, but most DD methods optimize only clean accuracy and leave robustness uncontrolled. Recent robust DD methods improve robustness, yet they often suffer from a poor accuracy–robustness trade-off because they (i) treat all adversarially perturbed examples uniformly, despite robust risk being dominated by near-zero robust margins, and (ii) do not explicitly increase inter-class separation...",https://icml.cc/virtual/2026/poster/63330,https://www.alphaxiv.org/abs/2605.20606,
