adjudication_rank,priority_score,semantic_cluster_id,current_area,current_subarea,taxonomy_confidence,review_status,review_notes,paper_count,oral_count,award_count,votes_per_paper,queued_papers,semantic_cluster_label,top_terms,top_topic_groups,top_themes,top_lexical_clusters,central_papers,high_signal_papers,queued_papers_to_read,decision_prompt,allowed_decisions,manual_decision_destination
1,88.76,24,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",medium,needs_review,manual confidence not high; split across lexical clusters,290,14,0,8.76,5,language / language models / llms / large language,language; language models; llms; large language; large; llm; models llms; alignment; learning large; training; evaluation; data; fine; knowledge; deep learning; tuning,Deep Learning (143); Social Aspects (65); Applications (32); General Machine Learning (21); Unknown (21),"Safety, alignment, governance, and risk (169); Memorization, evaluation, and generalization (158); LLM reasoning and test-time compute (157); Interpretability and mechanistic analysis (106); Theory, optimization, and sampling (90)",1 (130); 12 (33); 23 (30); 29 (23); 20 (12),Bridging the Knowledge-Prediction Gap in LLMs on Multiple-Choice Questions | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | Harnessing Non-Adversarial Robustness in Large Language Models | Learning Self-Interpretation from Interpretability Artifacts: Training Lightweight Adapters on Vector-Label Pairs | Learning syntax without semantics: Disentangled tiny language models | Navigating the Pareto Frontier of Alignment:Spectrum-Adaptive Fine-Tuning for LLMs | Facts in Stats: Impacts of Pretraining Diversity on Language Model Generalization | Steering Out-of-Distribution Generalization with Concept Ablation Fine-Tuning,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | Prescriptive Scaling Reveals the Evolution of Language Model Capabilities | Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs | Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units | Simultaneous Speech-to-Speech Translation Without Aligned Data | Procedural Pretraining: Warming Up Language Models with Abstract Data | TokSuite: Measuring the Impact of Tokenizer Choice on Language Model Behavior | VALUEFLOW: Toward Pluralistic and Steerable Value-based Alignment in Large Language Models,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | Diffract: Spectral View of LLM Domain Adaptation | FlatLand: Personalized Graph Federated Learning via Tailored Lorentz Space | Information Flow Reveals When to Trust Language Models | On the Limits of LLM Adaptability: Impact of LLM Pre-Training on Annotation Task Performance,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
2,82.38,10,"Data-Centric, Causal, and Federated ML","Continual learning, forgetting, and task adaptation",medium,needs_review,manual confidence not high; split across lexical clusters,138,4,0,16.38,9,continual / forgetting / continual learning / task,continual; forgetting; continual learning; task; knowledge; tasks; attention; catastrophic forgetting; catastrophic; plasticity; memory; new; parameter; updates; transfer; performance,Deep Learning (68); General Machine Learning (37); Unknown (15); Theory (7); Applications (7),"Memorization, evaluation, and generalization (73); Systems, efficiency, and compression (64); Theory, optimization, and sampling (57); LLM reasoning and test-time compute (56); Multimodal, vision-language, and video (36)",12 (38); 14 (22); 25 (19); 22 (15); 1 (15),Spectral Imbalance Causes Forgetting in Low-Rank Continual Adaptation | CoPE: Continual Probe-guided Expansion for Large Vision-Language Models | Towards Understanding Continual Factual Knowledge Acquisition of Language Models: From Theory to Algorithm | MoFO: Momentum-Filtered Optimizer for Mitigating Forgetting in LLM Fine-Tuning | Understanding Generalization and Forgetting in In-Context Continual Learning | Model-Dowser: Data-Free Importance Probing to Mitigate Catastrophic Forgetting in Multimodal Large Language Models | Investigating Continual Pretraining in Large Language Models: Insights and Implications | Position: Modular Memory is the Key to Continual Learning Agents,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference | Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis | ATLAS: Learning to Optimally Memorize the Context at Test Time | Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis | ATLAS: Learning to Optimally Memorize the Context at Test Time | Retaining by Doing: The Role of On-Policy Data in Mitigating Forgetting | Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
3,74.32,11,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,high,needs_review,split across lexical clusters,211,10,1,18.32,3,reasoning / language / large language / language models,reasoning; language; large language; language models; large; llms; learning large; thought; deep; deep learning; cot; reasoning models; chain; latent; tasks; chain thought,Deep Learning (152); Applications (18); Unknown (17); Social Aspects (14); General Machine Learning (7),"LLM reasoning and test-time compute (206); Memorization, evaluation, and generalization (129); Agents, tools, and computer use (94); Systems, efficiency, and compression (71); RL for LLMs and verifiable rewards (60)",1 (76); 6 (30); 13 (19); 4 (17); 20 (14),Stop When Further Reasoning Won’t Help: Attention-State Adaptive Generation in Reasoning Models | DyCon: Dynamic Reasoning Control via Evolving Difficulty Modeling | Reasoning Compartmentalization: Bridging the Concretization Gap via Abstraction-based Routing | Which Reasoning Traces Are Worth Generating Further? Data Curation for Training Reasoning Models | A²RBench: An Automatic Paradigm for Formally Verifiable Abstract Reasoning Benchmark Generation | DTS: Enhancing Large Reasoning Models via Decoding Tree Sketching | LongCoT: Benchmarking Long-Horizon Chain-of-Thought Reasoning | MixReasoning: Switching Modes to Think,"The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Learning to Theorize the World from Observation | Characterizing, Evaluating, and Optimizing Complex Reasoning | Towards Long-Horizon Interpretability: Efficient and Faithful Multi-Token Attribution for Reasoning LLMs | Skip a Layer or Loop It? Learning Program-of-Layers in LLMs | The Signal is in the Steps: Local Scoring for Reasoning Data Selection | Modeling Hierarchical Thinking in Large Reasoning Models | Evaluating Robustness of Reasoning Models on Parameterized Logical Problems",The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Latent Collaboration in Multi-Agent Systems | Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
4,69.31,26,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",medium,needs_review,manual confidence not high; split across lexical clusters,198,2,0,13.31,8,networks / training / deep / gradient,neural; networks; training; deep; gradient; optimization; deep learning; neural networks; network; architectures; layer; loss; optimizer; updates; low; muon,Deep Learning (109); Optimization (26); General Machine Learning (17); Unknown (16); Theory (14),"Theory, optimization, and sampling (132); Systems, efficiency, and compression (92); Memorization, evaluation, and generalization (67); Safety, alignment, governance, and risk (59); LLM reasoning and test-time compute (56)",22 (80); 12 (27); 17 (23); 21 (12); 20 (11),Memory-Efficient LLMs Training with Dynamic Sparsity: From Stability to Practical Scaling | From Muon to Gluon: Bridging Theory and Practice of LMO-based Optimizers for LLMs | Exploiting weight-space symmetries for approximating curvature | Memory-Efficient LLM Pretraining via Minimalist Optimizer Design | ExpertWeaver: Unlocking the Inherent MoE in Dense LLMs with GLU Activation Patterns | Deep Progressive Training: scaling up depth capacity of zero/one-layer models | Gradient Smoothing: Coupling Layer-wise Updates for Improved Optimization | Beyond Sunk Costs: Boosting LLM Pre-training Efficiency via Orthogonal Growth of Mixture-of-Experts,"Controlled LLM Training on Spectral Sphere | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | mHC: Manifold-Constrained Hyper-Connections | Evolution Strategies at the Hyperscale | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights | NorMuon: Making Muon more efficient and scalable | GradientStabilizer: Fix the Norm, Not the Gradient | Why Do We Need Warm-up? A Theoretical Perspective","Controlled LLM Training on Spectral Sphere | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | mHC: Manifold-Constrained Hyper-Connections | Evolution Strategies at the Hyperscale | Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights | NorMuon: Making Muon more efficient and scalable | GradientStabilizer: Fix the Norm, Not the Gradient | Why Do We Need Warm-up? A Theoretical Perspective",Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
5,65.92,20,"Theory, Optimization, and Algorithms",Transformer theory and attention expressivity,medium,needs_review,manual confidence not high,98,5,0,12.92,7,transformers / attention / transformer / softmax,transformers; attention; transformer; softmax; theory; deep; deep learning; context; layer; length; language; results; softmax attention; training; scaling; layers,Deep Learning (64); Theory (20); Unknown (8); Social Aspects (3); General Machine Learning (2),"Theory, optimization, and sampling (61); LLM reasoning and test-time compute (45); Interpretability and mechanistic analysis (38); Memorization, evaluation, and generalization (32); Safety, alignment, governance, and risk (29)",14 (64); 22 (10); 13 (6); 1 (6); 17 (5),Equivalence of Context and Parameter Updates in Modern Transformer Blocks | The Expressive Power of Low Precision Softmax Transformers with (Summarized) Chain-of-Thought | The Expressivity Limits of Transformers | Anatomy of Massive Activations and Attention Sinks | Quantifying LLM Attention-Head Stability: Implications for Circuit Universality | Universal Approximation with Softmax Attention | Representation Drift Compensation: A Zero-Cost Enhancement for LLM Decomposition | Softmax as Linear Attention in the Large-Prompt Regime: a Measure-based Perspective,Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Rational Transductors | Focus and Dilution: The Multi-stage Learning Process of Attention | On Minimum Depth and Width of Floating-Point Neural Networks for Representing Floating-Point Functions | The Expressivity Limits of Transformers | Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning | Weight-sparse transformers have interpretable circuits | You Need Better Attention Priors,Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Rational Transductors | Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning | Weight-sparse transformers have interpretable circuits | You Need Better Attention Priors | Do Transformers Need Three Projections? Systematic Study of QKV Variants | Patterning: The Dual of Interpretability,Decide whether current area/subarea is central enough or should be relabeled.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
6,64.48,2,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",high,needs_review,split across lexical clusters,164,3,0,27.48,5,reward / reinforcement learning / reinforcement / rewards,reward; reinforcement learning; reinforcement; rewards; policy; rl; preference; feedback; training; language; optimization; human; large language; language models; reward models; large,Deep Learning (71); Reinforcement Learning (51); Unknown (14); Social Aspects (12); Applications (10),"RL for LLMs and verifiable rewards (158); Theory, optimization, and sampling (103); LLM reasoning and test-time compute (90); Memorization, evaluation, and generalization (79); Safety, alignment, governance, and risk (74)",6 (59); 24 (49); 7 (25); 11 (7); 1 (7),REAL: Regression-Aware Reinforcement Learning for LLM-as-a-Judge | Implicit Actor Critic Coupling via a Supervised Learning Framework for RLVR | Real-Time Aligned Reward Model beyond Semantics | Alternating Reinforcement Learning for Rubric-Based Reward Modeling in Non-Verifiable LLM Post-Training | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Experience is the Best Teacher: Motivating Effective Exploration in Reinforcement Learning for LLMs | Harnessing Uncertainty: Entropy-Modulated Policy Gradients for Long-Horizon LLM Agents | From Absolute to Relative: Rethinking Reward Shaping in Group-Based Reinforcement Learning,"Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling | Reinforcement Learning via Self-Distillation | Agent Learning via Early Experience | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Training AI Co-Scientists Using Rubric Rewards | RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System",Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Reinforcement Learning via Self-Distillation | Agent Learning via Early Experience | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
7,56.96,30,"Agents, Code, and Tool Use","Multi-agent search, planning, and coordination",high,needs_review,split across lexical clusters,150,4,0,16.96,5,agent / multi / search / agents,agent; multi; search; agents; optimization; llm; multi agent; language; large language; large; based; task; planning; language models; reinforcement; evolutionary,Deep Learning (78); Optimization (18); Reinforcement Learning (18); General Machine Learning (12); Unknown (12),"Agents, tools, and computer use (109); Memorization, evaluation, and generalization (96); LLM reasoning and test-time compute (94); Theory, optimization, and sampling (82); RL for LLMs and verifiable rewards (67)",11 (57); 20 (21); 1 (14); 17 (14); 6 (9),CoPE: A Framework for Optimizing Coordination between Planning and Execution in LLM-based Agents | POLCA: Stochastic Generative Optimization with LLM | Language-based Trial and Error Falls Behind in the Era of Experience | ML-Agent: Reinforcing LLM Agents for Autonomous Machine Learning Engineering | MonoScale: Scaling Multi-Agent System with Monotonic Improvement | TRIP-Bench: A Benchmark for Long-Horizon Interactive Agents in Real-World Scenarios | Learning to Explore: Scaling Agentic Reasoning via Exploration-Aware Policy Optimization | Towards Cold-Start Drafting and Continual Refining: A Value-Driven Memory Approach with Application to NPU Kernel Synthesis,OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration | Guaranteed Optimal Compositional Explanations for Neurons | From Feasible to Practical: Pareto-Optimal Synthesis Planning | Unsupervised Partner Design Enables Robust Ad-hoc Teamwork | Learning to Discover at Test Time | MemEvolve: Meta-Evolution of Agent Memory Systems | Scaling Long-Horizon Agent via Context Folding | Meta Context Engineering via Agentic Skill Evolution,Learning to Discover at Test Time | MemEvolve: Meta-Evolution of Agent Memory Systems | Unsupervised Partner Design Enables Robust Ad-hoc Teamwork | Scaling Long-Horizon Agent via Context Folding | Meta Context Engineering via Agentic Skill Evolution,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
8,53.19,13,"AI for Science, Health, and Neuro","Latent dynamics, neuroscience, and dynamical systems",medium,needs_review,manual confidence not high; split across lexical clusters,84,4,0,3.19,5,dynamics / networks / latent / dynamical,neural; dynamics; networks; latent; dynamical; time; structure; theory; neural networks; gradient; continuous; systems; linear; neuroscience; cognitive; flow,Deep Learning (27); Applications (25); Theory (9); General Machine Learning (9); Probabilistic Methods (5),"Theory, optimization, and sampling (52); Safety, alignment, governance, and risk (32); AI for science, health, and biology (32); Interpretability and mechanistic analysis (31); Memorization, evaluation, and generalization (20)",22 (19); 27 (17); 17 (16); 18 (6); 14 (5),"Identifying Connectivity Distributions from Neural Dynamics Using Flows | Maximum-Likelihood Learning of Latent Dynamics Without Reconstruction | Information dynamics and Memory in Neural Networks through Fisher Information Diffusion | The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence | Dichotomy of Feature Learning and Unlearning: Fast-Slow Analysis on Neural Networks with Stochastic Gradient Descent | Biologically plausible heavy-tailed connectivity enhances generalizations on cognitive tasks in recurrent neural networks | A Factorized Low-Rank RNN Framework for Uncovering Independent Neural Latent Dynamics and Connectivity | Dynamics and representation structure of local approximations to gradient-based learning in linear recurrent neural networks","Orthogonal Concept Erasure for Diffusion Models | AI Engram: In Search of Memory Traces in Artificial Intelligence | CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer | Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification | Universal Learning of Nonlinear Dynamics | Robust Filter Attention: Self-Attention as a Parallel State Estimator | The Geometric Mechanics of Contrastive Representation Learning: Alignment Potentials, Entropic Dispersion, and Cross-Modal Divergence | A Solvable High-Dimensional Model Where Nonlinear Autoencoders Learn Structure Invisible to PCA While Test Loss Misaligns With Generalization",Orthogonal Concept Erasure for Diffusion Models | AI Engram: In Search of Memory Traces in Artificial Intelligence | CoEvol-NO: State and Coordinate Co-Evolution with an Error-Driven Predictor-Corrector Paradigm for Neural Operator Transformer | Geometric Flow Grounding: A Unified Manifold Decoupling Framework for Dynamics Discovery and Verification | Universal Learning of Nonlinear Dynamics,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
9,51.32,14,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,high,needs_review,split across lexical clusters,145,5,1,14.32,2,decoding / diffusion / language / language models,decoding; diffusion; language; language models; token; tokens; generation; diffusion language; autoregressive; large language; dllms; parallel; large; masked; inference; deep learning,Deep Learning (111); Unknown (18); General Machine Learning (4); Applications (4); Probabilistic Methods (3),"LLM reasoning and test-time compute (102); Diffusion, flow, and generative modeling (99); Diffusion language models (82); Systems, efficiency, and compression (73); Theory, optimization, and sampling (71)",21 (37); 3 (25); 1 (22); 13 (18); 12 (16),Efficient Parallel Samplers for Recurrent-Depth Models | LUGS: Latent-aware Guidance for Efficient Unmasking in Diffusion Large Language Models | CoRe: Context-Robust Remasking for Diffusion Language Models | Locally Coherent Parallel Decoding in Diffusion Language Models | DC-Leap: Training-Free Acceleration of dLLMs via Draft-Guided Contiguous Leaping Decoding | Residual Context Diffusion Language Models | DFlash: Block Diffusion for Flash Speculative Decoding | Beyond Confidence: Adaptive and Coherent Decoding for Diffusion Language Models,How much can language models memorize? | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | Learning Unmasking Policies for Diffusion Language Models | Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture | DFlash: Block Diffusion for Flash Speculative Decoding | Predicting the Order of Upcoming Tokens Improves Language Modeling | Coevolutionary Continuous Discrete Diffusion: Make Your Diffusion Language Model a Latent Reasoner,How much can language models memorize? | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
10,48.36,18,"Graphs, Geometry, and Representation Learning",Geometric representation learning and manifolds,high,needs_review,split across lexical clusters,160,1,0,5.36,8,geometric / representation / geometry / representations,geometric; representation; geometry; representations; representation learning; manifold; spatial; alignment; space; learning representation; clustering; latent; embedding; structure; global; structures,Deep Learning (58); General Machine Learning (40); Applications (37); Unknown (15); Social Aspects (7),"Multimodal, vision-language, and video (82); Safety, alignment, governance, and risk (79); Memorization, evaluation, and generalization (71); Theory, optimization, and sampling (57); LLM reasoning and test-time compute (41)",17 (61); 25 (31); 10 (16); 4 (10); 27 (7),From Extrinsic to Intrinsic: Geodesic-Guided Representation Learning for 3D Geometric Data | Convergent World Representations and Divergent Tasks | Uncovering the Latent Potential of Deep Intermediate Representations | Multi-Way Representation Alignment | Learning Sparse Visual Representations via Spatial-Semantic Factorization | GRASP: Awakening Latent Spatial Reasoning in LVLMs via Training-free Geometric Rectification | Global Geometry Is Not Enough for Vision Representations | Generalizable and Composable Multi-Model Embedding Translation,Necessary Conditions for Compositional Generalization of Embedding Models | Deep sequence models tend to memorize geometrically; it is unclear why. | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments | Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA | From Directions to Regions: Decomposing Activations in Language Models via Local Geometry,Necessary Conditions for Compositional Generalization of Embedding Models | Deep sequence models tend to memorize geometrically; it is unclear why. | Thinking with Geometry: Active Geometry Integration for Spatial Reasoning | From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers | Revisiting the Platonic Representation Hypothesis: An Aristotelian View | A Deep Learning Model of Mental Rotation Informed by Interactive VR Experiments | Semantic Tube Prediction: Beating LLM Data Efficiency with JEPA | From Directions to Regions: Decomposing Activations in Language Models via Local Geometry,Decide whether this semantic cluster should be split into multiple report subareas or kept as one mixed neighborhood.,keep; relabel_area; relabel_subarea; split_cluster; merge_cluster; unclear,"data/manual/area_review_overrides.csv manual_fault_line_relevance/manual_notes, then update TAXONOMY mapping if relabeling is accepted"
