event_id,sprint_rank,title,target_type,overlay_key,target_file,target_present,claim_id,pdf_card_path,worksheet_path,paper_note_file,page_pass,source_fields_to_read,overlay_fields_to_update,allowed_values,current_note_status,current_blocking_gap,transfer_instruction,post_transfer_commands
62989,1,How much can language models memorize?,area,"LLM Reasoning, Post-Training, and RLVR::62989",data/manual/area_review_overrides.csv,true,,reports/pdf_review_cards/62989.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p1; p2; p3; limitations p12; p20; artifact p5; p7,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear",pending_note,paper note not started,"Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
62989,1,How much can language models memorize?,claim,C01::62989,data/manual/claim_review_overrides.csv,true,C01,reports/pdf_review_cards/62989.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p1; p2; p3; limitations p12; p20; artifact p5; p7,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken",pending_note,paper note not started,"Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
62989,1,How much can language models memorize?,claim,C08::62989,data/manual/claim_review_overrides.csv,true,C08,reports/pdf_review_cards/62989.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p1; p2; p3; limitations p12; p20; artifact p5; p7,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken",pending_note,paper note not started,"Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
66206,2,To Grok Grokking: Provable Grokking in Ridge Regression,area,"Theory, Optimization, and Algorithms::66206",data/manual/area_review_overrides.csv,true,,reports/pdf_review_cards/66206.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p1; p2; p3; limitations p8; artifact not detected,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear",pending_note,paper note not started,"Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
66206,2,To Grok Grokking: Provable Grokking in Ridge Regression,claim,C03::66206,data/manual/claim_review_overrides.csv,true,C03,reports/pdf_review_cards/66206.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p1; p2; p3; limitations p8; artifact not detected,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken",pending_note,paper note not started,"Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
66206,2,To Grok Grokking: Provable Grokking in Ridge Regression,claim,C08::66206,data/manual/claim_review_overrides.csv,true,C08,reports/pdf_review_cards/66206.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p1; p2; p3; limitations p8; artifact not detected,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken",pending_note,paper note not started,"Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
61998,3,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,area,"LLM Reasoning, Post-Training, and RLVR::61998",data/manual/area_review_overrides.csv,true,,reports/pdf_review_cards/61998.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p2; p3; p4; limitations p12; artifact p15; p16; p12,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear",pending_note,paper note not started,"Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
61998,3,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,claim,C01::61998,data/manual/claim_review_overrides.csv,true,C01,reports/pdf_review_cards/61998.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p2; p3; p4; limitations p12; artifact p15; p16; p12,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken",pending_note,paper note not started,"Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
61998,3,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,claim,C08::61998,data/manual/claim_review_overrides.csv,true,C08,reports/pdf_review_cards/61998.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p3; evidence p2; p3; p4; limitations p12; artifact p15; p16; p12,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken",pending_note,paper note not started,"Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
65901,4,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,area,Systems and Efficient Foundation Models::65901,data/manual/area_review_overrides.csv,true,,reports/pdf_review_cards/65901.md,data/processed/icml2026_pdf_review_worksheet.csv,data/manual/icml2026_review_sprint_01_paper_notes.csv,method p1; p2; p6; evidence p1; p2; p3; limitations p14; artifact p18; p1; p4,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear",pending_note,paper note not started,"Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",python3 scripts/lint_manual_review_values.py && python3 scripts/build_reviewed_validation_tables.py && python3 scripts/build_review_progress.py && python3 scripts/build_researcher_readiness_audit.py && python3 scripts/build_claim_acceptance_criteria.py && python3 scripts/build_claim_decision_board.py && python3 scripts/build_safe_statement_register.py && python3 scripts/validate_workspace.py
