area,risk_tier,trust_tier,readiness_tier,paper_count,taxonomy_share,oral_enrichment,public_attention_enrichment,historical_delta_vs_baseline,baseline_risk_tier,baseline_issue_types,reviewed_rows,review_rows,taxonomy_clusters_to_adjudicate,low_confidence_rows,program_or_award_rows,github_rows,main_risk_driver,falsification_test,safe_language,recommended_first_checks,brief_path,baseline_safe_language
"LLM Reasoning, Post-Training, and RLVR",critical,high_review_need,high,1099,0.1658,1.29,2.03,0.0286,high,historical_delta_sensitive; arxiv_query_sensitive,0,16,5,0,10,11,5 taxonomy clusters need adjudication; high baseline sensitivity,"Verify that LLM Reasoning, Post-Training, and RLVR is genuinely over-represented versus nearby accepted venues, not a classifier keyword effect.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,"adjudicate taxonomy cluster(s) 24, 11, 2; sample historical high-confidence and low-margin classifications; rerun narrower and broader arXiv query variants; read program examples: How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models; read public-attention examples: Process Reward Models That Think | Reinforcement Learning via Self-Distillation; read boundary examples: How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models",reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,Use only as a hypothesis until spot checks confirm direction and query robustness.
"Multimodal, Vision, and Perception",critical,high_review_need,moderate_to_high,889,0.1341,0.58,0.8,-0.0312,high,historical_delta_sensitive; arxiv_query_sensitive; baseline_disagreement,0,16,1,1,10,8,1 taxonomy clusters need adjudication; high baseline sensitivity; 1 low-confidence evidence-code rows,"Check whether the venue-share direction and arXiv-growth direction are describing different phenomena, or whether one is an artifact of broad query terms/classifier boundaries.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,adjudicate taxonomy cluster(s) 36; sample historical high-confidence and low-margin classifications; rerun narrower and broader arXiv query variants; write a caveat separating ICML program mix from field-wide preprint momentum; read program examples: Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence; read public-attention examples: A Very Big Video Reasoning Suite | Causal-JEPA: Learning World Models through Object-Level Latent Interventions; read boundary examples: DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection | Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework,reports/area_briefing_cards/multimodal-vision-and-perception.md,Use only as a hypothesis until spot checks confirm direction and query robustness.
"Theory, Optimization, and Algorithms",critical,high_review_need,high,737,0.1112,1.45,0.46,0.0081,context,classifier_spot_check,0,16,3,4,10,5,3 taxonomy clusters need adjudication; program signal exceeds public attention; 4 low-confidence evidence-code rows,"Adjudicate boundary clusters before making subarea-share or area-rank claims about Theory, Optimization, and Algorithms.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,"adjudicate taxonomy cluster(s) 20, 7, 38; read program examples: To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks; read public-attention examples: Unifying and Optimizing Data Values for Selection via Sequential Decision-Making | Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning; read boundary examples: To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks",reports/area_briefing_cards/theory-optimization-and-algorithms.md,Use as directional background with classifier caveats.
"AI for Science, Health, and Neuro",critical,high_review_need,high,587,0.0886,1.08,0.33,0.0088,context,classifier_spot_check,0,16,4,1,10,9,4 taxonomy clusters need adjudication; 1 low-confidence evidence-code rows,"Adjudicate boundary clusters before making subarea-share or area-rank claims about AI for Science, Health, and Neuro.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,"adjudicate taxonomy cluster(s) 13, 39, 27; read program examples: Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning; read public-attention examples: GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training | TSRBench: A Comprehensive Multi-task Multi-modal Time Series Reasoning Benchmark for Generalist Models; read boundary examples: Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning",reports/area_briefing_cards/ai-for-science-health-and-neuro.md,Use as directional background with classifier caveats.
"Data-Centric, Causal, and Federated ML",critical,high_review_need,high,526,0.0794,0.75,0.64,-0.0049,context,classifier_spot_check,0,16,3,1,10,8,3 taxonomy clusters need adjudication; 1 low-confidence evidence-code rows,"Adjudicate boundary clusters before making subarea-share or area-rank claims about Data-Centric, Causal, and Federated ML.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,"adjudicate taxonomy cluster(s) 10, 17, 31; read program examples: Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions; read public-attention examples: Self-Distillation Enables Continual Learning | Understanding LoRA as Knowledge Memory: An Empirical Analysis; read boundary examples: Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions",reports/area_briefing_cards/data-centric-causal-and-federated-ml.md,Use as directional background with classifier caveats.
Systems and Efficient Foundation Models,critical,high_review_need,high,515,0.0777,0.69,1.31,0.0215,moderate,historical_delta_sensitive,0,16,1,2,9,9,1 taxonomy clusters need adjudication; moderate baseline sensitivity; public attention exceeds program signal; 2 low-confidence evidence-code rows,"Read high-public, non-program papers and decide whether attention reflects novelty, demo visibility, or hype.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,adjudicate taxonomy cluster(s) 26; sample historical high-confidence and low-margin classifications; read program examples: Controlled LLM Training on Spectral Sphere | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation; read public-attention examples: mHC: Manifold-Constrained Hyper-Connections | xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction; read boundary examples: Controlled LLM Training on Spectral Sphere | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,"Phrase as a neighboring-venue comparison, not a causal venue-policy claim."
"Agents, Code, and Tool Use",critical,high_review_need,high,496,0.0748,1.19,1.52,0.0208,context,classifier_spot_check,0,16,2,1,10,13,2 taxonomy clusters need adjudication; 1 low-confidence evidence-code rows,Review representative area-validation papers before turning orientation signals into prose claims.,Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,"adjudicate taxonomy cluster(s) 30, 6; read program examples: $\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning; read public-attention examples: Learning to Discover at Test Time | PaperBanana: Automating Academic Illustration for AI Scientists; read boundary examples: Learning to Discover at Test Time | MemEvolve: Meta-Evolution of Agent Memory Systems",reports/area_briefing_cards/agents-code-and-tool-use.md,Use as directional background with classifier caveats.
"Safety, Governance, Privacy, and Society",high,moderate_review_need,high,502,0.0757,1.41,0.51,0.0132,moderate,arxiv_query_sensitive,0,16,0,4,10,4,moderate baseline sensitivity; program signal exceeds public attention; 4 low-confidence evidence-code rows,"Read program-forward, low-public papers and verify the technical rationale for committee attention.",Use as a directional area signal with explicit taxonomy/baseline caveats.,rerun narrower and broader arXiv query variants; read program examples: The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit; read public-attention examples: Chain-of-Thought Reasoning In The Wild Is Not Always Faithful | The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models,reports/area_briefing_cards/safety-governance-privacy-and-society.md,"Phrase as broad preprint-query momentum, not field growth."
"Graphs, Geometry, and Representation Learning",high,moderate_review_need,high,391,0.059,0.61,0.38,0.0123,context,classifier_spot_check,0,16,2,4,6,6,2 taxonomy clusters need adjudication; 4 low-confidence evidence-code rows,Review representative area-validation papers before turning orientation signals into prose claims.,Use as a directional area signal with explicit taxonomy/baseline caveats.,"adjudicate taxonomy cluster(s) 18, 41; read program examples: Which Algorithms Can Graph Neural Networks Learn? | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning; read public-attention examples: Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear?; read boundary examples: Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Necessary Conditions for Compositional Generalization of Embedding Models",reports/area_briefing_cards/graphs-geometry-and-representation-learning.md,Use as directional background with classifier caveats.
Generative Modeling,high,moderate_review_need,high,379,0.0572,0.83,0.96,0.0047,context,classifier_spot_check,0,16,0,4,8,6,4 low-confidence evidence-code rows,Review representative area-validation papers before turning orientation signals into prose claims.,Use as a directional area signal with explicit taxonomy/baseline caveats.,read program examples: A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy sampling for diffusion models and log-concave distributions; read public-attention examples: One-step Latent-free Image Generation with Pixel Mean Flows | Causal Forcing: Autoregressive Diffusion Distillation Done Right for High-Quality Real-Time Video Generation,reports/area_briefing_cards/generative-modeling.md,Use as directional background with classifier caveats.
