global_review_rank,review_priority_score,review_phase,priority_reason,event_id,title,area,subarea,claim_ids,claim_themes,in_claim_queue,in_area_queue,claim_selection_reasons,area_selection_reasons,review_focus,is_oral,award,public_total_votes,github_url,github_stars,needs_manual_check_reason,taxonomy_review_status,evidence_confidence,primary_contribution_type,method_families,evaluation_settings,manual_fields_to_fill,claim_packet_links,claim_dossier_links,area_packet_link,area_briefing_link,icml_url,alphaxiv_url
1,82.002,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,62989,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01; C08,LLM reasoning center of gravity; Validation priority,true,true,llm_boundary_cluster; taxonomy_boundary_cluster_anchor,fault_line_representative,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,true,Outstanding Paper Honorable Mention,271,https://github.com/SimonCao1207/LLM-Capacity,2,,needs_review,medium,Dataset / data resource,Transformer / attention,language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/62989,https://www.alphaxiv.org/abs/2505.24832
2,80.0,main_thesis_claims,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; low-confidence evidence code,66206,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03; C08,Program committee attention; Validation priority,true,true,program_high_public_lower; taxonomy_boundary_program_public_fill,fault_line_representative,Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries.,true,Outstanding Paper Honorable Mention,7,,0,,needs_review,low,Theory / proof,,theory/synthetic,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c03-program-committee-attention.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/theory-optimization-and-algorithms.md,reports/area_briefing_cards/theory-optimization-and-algorithms.md,https://icml.cc/virtual/2026/poster/66206,https://www.alphaxiv.org/abs/2601.19791
3,79.212,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,LLM reasoning center of gravity; Validation priority,true,true,llm_boundary_cluster; taxonomy_boundary_program_public_fill,fault_line_representative,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,true,Outstanding Paper Award,92,https://github.com/LeapLabTHU/JustGRPO,212,,needs_review,medium,Method / algorithm,RL / policy optimization; Reasoning / test-time compute; Diffusion / flow,language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
4,71.627,main_thesis_claims,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; low-confidence evidence code; artifact-visible; high AlphaXiv attention; public attention without program signal,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,Infrastructure and agentic workloads; External trend context,true,true,fast_arxiv_area_sample; systems_agents_public_signal,public_attention_not_program_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,false,,365,https://github.com/sunrainyg/RandOpt,627,,needs_review,low,Position / conceptual,RL / policy optimization; LLM post-training,,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,https://icml.cc/virtual/2026/poster/65901,https://www.alphaxiv.org/abs/2603.12228
5,70.194,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,65332,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,LLM reasoning center of gravity; Validation priority,true,true,llm_boundary_cluster; taxonomy_boundary_program_public_fill,fault_line_representative,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,true,,259,https://github.com/tajwarfahim/maxrl,194,,needs_review,medium,Method / algorithm,RL / policy optimization; Diffusion / flow,language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710
6,69.0,main_thesis_claims,"in claim-validation queue; supports priority claim(s) C02, C07; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal",65206,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02; C07,Infrastructure and agentic workloads; Artifact visibility,true,true,artifact_high_star; systems_agents_public_signal,public_attention_not_program_signal,"Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check artifact type, license/readme quality, and whether reproduction assets are present.",false,,420,https://github.com/dwzhu-pku/PaperBanana,6765,,stable_seed,medium,Benchmark / evaluation,Agents / tool use,vision/video; language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c07-artifact-visibility.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,https://icml.cc/virtual/2026/poster/65206,https://www.alphaxiv.org/abs/2601.23265
7,68.013,main_thesis_claims,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal; artifact-visible,60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",C03,Program committee attention,true,true,program_high_public_lower,fault_line_representative,Identify the technical reason for high program signal and whether public attention misses it.,true,Outstanding Paper Honorable Mention,14,https://github.com/AlignmentResearch/obfuscation-atlas,13,,stable_seed,medium,Position / conceptual,RL / policy optimization; LLM post-training,language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515
8,68.0,main_thesis_claims,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,Program committee attention,true,true,program_high_public_lower,fault_line_representative,Identify the technical reason for high program signal and whether public attention misses it.,true,Outstanding Position Paper Honorable Mention,0,,0,,stable_seed,medium,Position / conceptual,Agents / tool use,vision/video; security/safety; theory/synthetic,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,https://icml.cc/virtual/2026/poster/67084,
9,68.0,main_thesis_claims,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,Program committee attention,true,true,program_high_public_lower,fault_line_representative,Identify the technical reason for high program signal and whether public attention misses it.,true,Outstanding Position Paper Award,0,,0,,stable_seed,medium,Position / conceptual,LLM post-training; Agents / tool use,robotics/embodied; security/safety,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,https://icml.cc/virtual/2026/poster/67118,
10,67.682,main_thesis_claims,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,LLM reasoning center of gravity; Validation priority,true,true,llm_boundary_cluster; taxonomy_boundary_program_public_fill,fault_line_representative,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,true,,201,https://github.com/rlresearch/dr-tulu,682,,needs_review,medium,Benchmark / evaluation,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,claim: manual_claim_support/manual_taxonomy_judgment/manual_artifact_judgment; area: manual_validated/manual_primary_contribution_type/manual_method_family/manual_artifact_status/manual_fault_line_relevance,reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399
