event_id,sprint,sprint_rank,title,page_number,text_chars,section_hits,section_introduction,section_related_work,section_method,section_experiment,section_result,section_ablation,section_limitation,section_conclusion,cue_baseline,cue_ablation,cue_dataset,cue_metric,cue_limitation,cue_theorem,cue_artifact,method_score,evidence_score,limitation_score,artifact_score
62989,sprint_01,1,How much can language models memorize?,1,2648,introduction; method; experiment,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,2,5,0,0
62989,sprint_01,1,How much can language models memorize?,2,3735,method; experiment,0,0,3,1,0,0,0,0,0,0,10,0,0,1,0,5,11,0,0
62989,sprint_01,1,How much can language models memorize?,3,3201,method; experiment; result; conclusion,0,0,2,1,1,0,0,1,0,0,3,0,0,0,0,3,5,0,0
62989,sprint_01,1,How much can language models memorize?,4,3711,,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,4,0,0
62989,sprint_01,1,How much can language models memorize?,5,4372,method; result,0,0,3,0,1,0,0,0,0,0,1,0,0,1,3,4,2,0,3
62989,sprint_01,1,How much can language models memorize?,6,2641,method; experiment,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,6,4,0,0
62989,sprint_01,1,How much can language models memorize?,7,2704,experiment,0,0,0,1,0,0,0,0,0,0,12,0,0,0,1,1,13,0,1
62989,sprint_01,1,How much can language models memorize?,8,4709,experiment; result,0,0,0,5,2,0,0,0,0,0,12,0,0,0,0,5,19,0,0
62989,sprint_01,1,How much can language models memorize?,9,3771,method; experiment; result,0,0,1,4,2,0,0,0,0,0,10,4,0,0,0,5,20,0,0
62989,sprint_01,1,How much can language models memorize?,10,3426,experiment; result,0,0,0,1,1,0,0,0,0,0,12,2,0,0,0,1,16,0,0
62989,sprint_01,1,How much can language models memorize?,11,3566,related_work; method; experiment; result,0,1,1,3,2,0,0,0,0,0,3,6,0,1,0,5,14,0,0
62989,sprint_01,1,How much can language models memorize?,12,3539,method; result; limitation; conclusion,0,0,1,0,1,0,1,1,0,0,3,1,1,0,0,1,5,2,0
62989,sprint_01,1,How much can language models memorize?,13,4046,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
62989,sprint_01,1,How much can language models memorize?,14,3979,method,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0
62989,sprint_01,1,How much can language models memorize?,15,2355,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0
62989,sprint_01,1,How much can language models memorize?,16,3209,result,0,0,0,0,3,0,0,0,0,0,6,1,0,0,0,0,10,0,0
62989,sprint_01,1,How much can language models memorize?,17,1749,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
62989,sprint_01,1,How much can language models memorize?,18,1157,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
62989,sprint_01,1,How much can language models memorize?,19,1203,experiment,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,11,2,0,0
62989,sprint_01,1,How much can language models memorize?,20,4680,method; result; limitation; conclusion,0,0,4,0,1,0,1,1,0,0,1,1,1,0,0,4,3,2,0
62989,sprint_01,1,How much can language models memorize?,21,309,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,1,4769,introduction; method; result; conclusion,1,0,1,0,3,0,0,1,0,0,1,1,0,0,0,1,5,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,2,5633,method; experiment; result,0,0,4,2,10,0,0,0,0,0,1,0,0,4,0,10,13,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,3,5730,related_work; method; experiment; result,0,1,1,5,4,0,0,0,0,0,1,0,0,1,0,7,10,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,4,4770,method; experiment; result,0,0,1,3,5,0,0,0,0,0,0,0,0,3,0,7,8,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,5,4025,experiment; result; conclusion,0,0,0,2,3,0,0,1,0,0,0,0,0,6,0,8,5,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,6,5012,experiment; result; conclusion,0,0,0,2,5,0,0,1,0,0,0,0,0,3,0,5,7,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,7,3957,experiment; result,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,7,5,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,8,3881,method; experiment; result; conclusion,0,0,1,2,5,0,0,1,0,0,0,1,1,0,0,3,8,1,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,9,5292,method; experiment; result,0,0,1,1,3,0,0,0,0,0,0,6,0,0,0,2,10,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,10,4569,experiment,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,11,2572,method,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,12,1959,,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,13,1744,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,14,1900,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,15,1533,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
66206,sprint_01,2,To Grok Grokking: Provable Grokking in Ridge Regression,16,1713,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0
