venue,year,area,paper_count,share,high_confidence_count,medium_confidence_count,low_confidence_count,uncoded_count,abstract_available_count,representative_titles
ICLR 2026,2026,"Multimodal, Vision, and Perception",1203,0.22,495,510,198,0,1203,MoCa: Modeling Object Consistency for 3D Camera Control in Video Generation | Beyond Visual Reconstruction Quality: Object Perception-aware 3D Gaussian Splatting for Autonomous Driving | 3D Scene Prompting for Scene-Consistent Camera-Controllable Video Generation | pySpatial: Generating 3D Visual Programs for Zero-Shot Spatial Reasoning | Vid-LLM: A Compact Video-based 3D Multimodal LLM with Reconstruction–Reasoning Synergy | Sat3DGen: Comprehensive Street-Level 3D Scene Generation from Single Satellite Image | Lyra: Generative 3D Scene Reconstruction via Video Diffusion Model Self-Distillation | Light-X: Generative 4D Video Rendering with Camera and Illumination Control
ICLR 2026,2026,"LLM Reasoning, Post-Training, and RLVR",737,0.1348,76,327,334,0,737,Towards Understanding Valuable Preference Data for Large Language Model Alignment | Quantile Advantage Estimation: Stabilizing RLVR for LLM Reasoning | Plan-Answer-Refine-on-Graph: Structured Planning and Self-Refinement for Large Language Model Reasoning on Knowledge Graphs | Buffer Matters: Unleashing the Power of Off-Policy Reinforcement Learning in Large Language Model Reasoning | Beyond Magnitude: Leveraging Direction of RLVR Updates for LLM Reasoning | TokUR: Token-Level Uncertainty Estimation for Large Language Model Reasoning | SportR: A Benchmark for Multimodal Large Language Model Reasoning in Sports | Reinforcement Learning with Verifiable Rewards Implicitly Incentivizes Correct Reasoning in Base LLMs
ICLR 2026,2026,"Theory, Optimization, and Algorithms",533,0.0975,51,219,263,0,533,Discounted Online Convex Optimization: Uniform Regret Across a Continuous Interval | Combinatorial Bandit Bayesian Optimization for Tensor Outputs | Riemannian Optimization on Relaxed Indicator Matrix Manifold | High Probability Bounds for Non-Convex Stochastic Optimization with Momentum | Improving Online-to-Nonconvex Conversion for Smooth Optimization via Double Optimism | Online Black-Box Prompt Optimization with Regret Guarantees under Noisy Feedback | Derandomized Online-to-Non-convex Conversion for Stochastic Weakly Convex Optimization | Decentralized Nonconvex Optimization under Heavy-Tailed Noise: Normalization and Optimal Convergence
ICLR 2026,2026,"AI for Science, Health, and Neuro",455,0.0832,120,237,98,0,455,Towards Generalizable PDE Dynamics Forecasting via Physics-Guided Invariant Learning | KGOT: Unified Knowledge Graph and Optimal Transport Pseudo-Labeling for Molecule-Protein Interaction Prediction | Dynamics-inspired Structure Hallucination for Protein-protein Interaction Modeling | Align Your Structures: Generating Trajectories with Structure Pretraining for Molecular Dynamics | ATOM: A Pretrained Neural Operator for Multitask Molecular Dynamics | SigmaDock: Untwisting Molecular Docking with Fragment-Based SE(3) Diffusion | Scalable Spatio-Temporal SE(3) Diffusion for Long-Horizon Protein Dynamics | ProTDyn: A Foundation Protein Language Model for Thermodynamics and Dynamics Generation
ICLR 2026,2026,Reinforcement Learning and Control,455,0.0832,205,223,27,0,455,On-Policy RL Meets Off-Policy Experts: Harmonizing Supervised Fine-Tuning and Reinforcement Learning via Dynamic Weighting | Off-Policy Safe Reinforcement Learning with Cost-Constrained Optimistic Exploration | Accelerating Diffusion Planners in Offline RL via Reward-Aware Consistency Trajectory Distillation | Temperature as a Meta-Policy: Adaptive Temperature in LLM Reinforcement Learning | Scalable Exploration for High-Dimensional Continuous Control via Value-Guided Flow | Safe Exploration via Policy Priors | One-Step Flow Q-Learning: Addressing the Diffusion Policy Bottleneck in Offline Reinforcement Learning | Less Is More: Clustered Cross-Covariance Control for Offline RL
ICLR 2026,2026,"Safety, Governance, Privacy, and Society",439,0.0803,118,210,111,0,439,"Mitigating the Safety Alignment Tax with Null-Space Constrained Policy Optimization | AdvChain: Adversarial Chain-of-Thought Tuning for Robust Safety Alignment of Large Reasoning Models | FERD: Fairness-Enhanced Data-Free Adversarial Robustness Distillation | When Style Breaks Safety: Defending LLMs Against Superficial Style Alignment | RESFL: An Uncertainty-Aware Framework for Responsible Federated Learning by Balancing Privacy, Fairness and Utility | A2D: Any-Order, Any-Step Safety Alignment for Diffusion Language Models | Teach to Reason Safely: Policy-Guided Safety Tuning for MLRMs | SoSBench: Benchmarking Safety Alignment on Six Scientific Domains"
ICLR 2026,2026,Generative Modeling,419,0.0766,56,298,65,0,419,Asynchronous Denoising Diffusion Models for Aligning Text-to-Image Generation | There is No VAE: End-to-End Pixel-Space Generative Modeling via Self-Supervised Pre-Training | Neodragon: Mobile Video Generation Using Diffusion Transformer | Gauge Flow Matching: Efficient Constrained Generative Modeling over General Convex Set and Beyond | FastFlow: Accelerating The Generative Flow Matching Models with Bandit Inference | Condition Errors Refinement in Autoregressive Image Generation with Diffusion Loss | Purrception: Variational Flow Matching for Vector-Quantized Image Generation | Mitigating Noise Shift in Denoising Generative Models with Noise Awareness Guidance
ICLR 2026,2026,"Agents, Code, and Tool Use",360,0.0658,107,181,72,0,360,"Multi-Agent Design: Optimizing Agents with Better Prompts and Topologies | BOAD: Discovering Hierarchical Software Engineering Agents via Bandit Optimization | Aligned Agents, Biased Swarm: Measuring Bias Amplification in Multi-Agent Systems | Stronger-MAS: Multi-Agent Reinforcement Learning for Collaborative LLMs | TUMIX: Multi-Agent Test-Time Scaling with Tool-Use Mixture | MATA: A Trainable Hierarchical Automaton System for Multi-Agent Visual Reasoning | Group Verification-based Policy Optimization for Interactive Coding Agents | From Assumptions to Actions: Turning LLM Reasoning into Uncertainty-Aware Planning for Embodied Agents"
ICLR 2026,2026,"Graphs, Geometry, and Representation Learning",311,0.0569,44,182,85,0,311,AdS-GNN - a Conformally Equivariant Graph Neural Network | TopoFormer: Topology Meets Attention for Graph Learning | TetraGT: Tetrahedral Geometry-Driven Explicit Token Interactions with Graph Transformer for Molecular Representation Learning | Reducing Symmetry Increase in Equivariant Neural Networks | Exchangeability of GNN Representations with Applications to Graph Retrieval | Any-Subgroup Equivariant Networks via Symmetry Breaking | Topology of Reasoning: Retrieved Cell Complex-Augmented Generation for Textual Graph Question Answering | Topology Matters in RTL Circuit Representation Learning
ICLR 2026,2026,Systems and Efficient Foundation Models,228,0.0417,17,121,90,0,228,ThinKV: Thought-Adaptive KV Cache Compression for Efficient Reasoning Models | REAP the Experts: Why Pruning Prevails for One-Shot MoE compression | UniQL: Unified Quantization and Low-rank Compression for Adaptive Edge LLMs | KBVQ-MoE: KLT-guided SVD with Bias-Corrected Vector Quantization for MoE Large Language Models | PM-KVQ: Progressive Mixed-precision KV Cache Quantization for Long-CoT LLMs | SonicMoE: Accelerating MoE with IO and Tile-aware Optimizations | SERE: Similarity-based Expert Re-routing for Efficient Batch Decoding in MoE Models | Out of the Memory Barrier: A Highly Memory-Efficient Training System for LLMs with Million-Token Contexts
