statement_type,id,name,wording_status,risk_tier,decision,allowed_wording,unsafe_wording,required_caveat,evidence_basis,promotion_condition,falsification_test,first_artifact_to_open
claim,C01,LLM reasoning center of gravity,hypothesis_only,critical,not_ready,Hypothesis from current metadata: LLM reasoning/post-training is the largest ICML 2026 area and is also overweight relative to nearby accepted-paper baselines.,"Do not state as settled, paper-validated, causal, or quality-ranked until acceptance gates pass.",Area boundaries include general LLM training/evaluation and some diffusion-language papers; paper-level taxonomy still needs review.,1099 taxonomy papers (16.6%); historical delta +2.9 pp; public-attention enrichment 2.03x.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Review boundary papers and relabel any that are mainly systems, safety, or general language-model evaluation; recompute whether LLM reasoning still leads the landscape.",reports/review_reading_briefs/62989-how-much-can-language-models-memorize.md ; reports/review_reading_briefs/61998-the-flexibility-trap-rethinking-the-value-of-arbitrary-order-in-diffus.md ; reports/review_reading_briefs/65332-maximum-likelihood-reinforcement-learning.md ; reports/review_reading_briefs/65886-reinforcement-learning-with-evolving-rubrics-for-deep-research.md
claim,C02,Infrastructure and agentic workloads,hypothesis_only,critical,not_ready,"Hypothesis from current metadata: Systems/efficiency and agents/code look smaller than LLM reasoning by paper count, but both are clear ICML 2026 overweights versus the neighboring-venue baseline.","Do not state as settled, paper-validated, causal, or quality-ranked until acceptance gates pass.",Historical comparison uses a keyword scorer; ICML 2025 and NeurIPS 2025 lack static abstracts in the current pull.,"Systems historical delta +2.1 pp, relative 1.68x; Agents historical delta +2.1 pp, relative 1.44x.",reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Read representative systems and agents/code papers and check whether the mechanism is reusable infrastructure, benchmark packaging, or ordinary model training.",reports/review_reading_briefs/65901-neural-thickets-diverse-task-experts-are-dense-around-pretrained-weigh.md ; reports/review_reading_briefs/65206-paperbanana-automating-academic-illustration-for-ai-scientists.md ; reports/review_reading_briefs/66212-controlled-llm-training-on-spectral-sphere.md ; reports/review_reading_briefs/61870-mhc-manifold-constrained-hyper-connections.md
claim,C03,Program committee attention,hypothesis_only,critical,not_ready,Hypothesis from current metadata: Theory and safety/governance receive more program signal than their public-attention signal would predict.,"Do not state as settled, paper-validated, causal, or quality-ranked until acceptance gates pass.","Oral/award counts are program signals, not full quality labels; award counts are small and volatile.",Theory oral enrichment 1.45x vs public enrichment 0.46x; Safety oral enrichment 1.41x and 3 awards vs public enrichment 0.51x.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,Compare low-public/high-program papers against their abstracts/PDFs and label the committee-selection rationale.,reports/review_reading_briefs/66206-to-grok-grokking-provable-grokking-in-ridge-regression.md ; reports/review_reading_briefs/60766-the-obfuscation-atlas-mapping-where-honesty-emerges-in-rlvr-with-decep.md ; reports/review_reading_briefs/67084-position-ai-ml-deepfake-research-is-misaligned-with-ai-generated-non-c.md ; reports/review_reading_briefs/67118-position-the-alignment-community-is-unintentionally-building-a-censors.md
claim,C04,Public attention mismatch,directional_only,high,not_ready,Directional signal: Robotics/embodiment is small by taxonomy count but unusually strong in public attention.,"Do not state as settled, paper-validated, causal, or quality-ranked until acceptance gates pass.",AlphaXiv likely overweights shareable VLA/world-model work and project-page traffic.,195 papers (2.9%); public-attention enrichment 2.11x vs oral enrichment 0.81x.,reviewed rows 0/6; support rows 0/4 with 0 weakening rows; paper notes 0/3,"Classify high-attention robotics papers as benchmark, demo, reusable model, or core algorithmic contribution and compare with oral/award status.",reports/review_reading_briefs/61757-world-guidance-world-modeling-in-condition-space-for-action-generation.md ; reports/review_reading_briefs/64904-temporal-straightening-for-latent-planning.md ; reports/review_reading_briefs/65457-langforce-bayesian-decomposition-of-vision-language-action-models-via-.md ; reports/review_reading_briefs/62813-vision-language-action-pretraining-from-large-scale-human-videos.md
claim,C05,Neighboring-venue contrast,directional_only,high,not_ready,Directional signal: Multimodal/vision is large inside ICML 2026 but underweight relative to NeurIPS 2025 and ICLR 2026 accepted-paper baselines.,"Do not state as settled, paper-validated, causal, or quality-ranked until acceptance gates pass.",This is the area most sensitive to venue scope and title/topic classification; ICLR/NeurIPS vision-heavy shares may dominate the baseline average.,"889 taxonomy papers (13.4%); historical delta -3.1 pp, relative 0.82x.",reviewed rows 0/7; support rows 0/4 with 0 weakening rows; paper notes 0/3; taxonomy boundary unresolved,Break the sprint-02 multimodal/vision papers into submodes before interpreting the aggregate underweight/overweight signal.,reports/review_reading_briefs/60542-motion-attribution-for-video-generation.md ; reports/review_reading_briefs/65954-multimodal-nested-learning-for-decoupled-and-coordinated-optimization.md ; reports/review_reading_briefs/65729-exskill-continual-learning-from-experience-and-skills-in-multimodal-ag.md ; reports/review_reading_briefs/63195-babyvision-visual-reasoning-beyond-language.md
claim,C06,External trend context,context_only,process,context_or_workflow_only,"As context only: The fastest broad arXiv growth areas are multimodal/vision, LLM reasoning, and safety/governance, but ICML 2026 does not mirror this ranking exactly.",Do not present this as a paper-quality or venue-quality conclusion.,"arXiv queries are broad, overlapping, and not acceptance or quality signals.","Multimodal, Vision, and Perception: 94.6%; LLM Reasoning, Post-Training, and RLVR: 59.9%; Safety, Governance, Privacy, and Society: 53.6%; Systems and Efficient Foundation Models: 43.3%",none,Run sensitivity checks on broad query terms and accepted-paper baselines before using any trend language.,reports/review_reading_briefs/65901-neural-thickets-diverse-task-experts-are-dense-around-pretrained-weigh.md ; reports/review_reading_briefs/64121-reinforcement-learning-via-self-distillation.md ; reports/review_reading_briefs/63333-gdpo-group-reward-decoupled-normalization-policy-optimization-for-mult.md ; reports/review_reading_briefs/61870-mhc-manifold-constrained-hyper-connections.md
claim,C07,Artifact visibility,directional_only,high,not_ready,"Directional signal: Artifacts are most visible in agents/code, LLM reasoning, systems, and multimodal/vision, while theory remains much less artifact-linked.","Do not state as settled, paper-validated, causal, or quality-ranked until acceptance gates pass.",GitHub metadata comes from AlphaXiv and does not prove runnable reproduction; some high-star links are templates or index repos.,"Robotics, Embodiment, and World Models: GitHub URL share 38.0%; Agents, Code, and Tool Use: GitHub URL share 32.9%; LLM Reasoning, Post-Training, and RLVR: GitHub URL share 32.1%; Generative Modeling: GitHub URL share 31.1%",reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; artifact checks 0/5,"Open linked repositories for high-signal papers and record license, release state, data/checkpoints, dependencies, and runnable example.",reports/review_reading_briefs/65206-paperbanana-automating-academic-illustration-for-ai-scientists.md ; reports/review_reading_briefs/66596-from-abstraction-to-instantiation-learning-behavioral-representation-f.md ; reports/review_reading_briefs/61382-vision-aligned-latent-reasoning-for-multi-modal-large-language-model.md ; reports/review_reading_briefs/64128-autagent-a-reinforcement-learning-framework-for-tool-augmented-audio-r.md
claim,C08,Validation priority,context_only,process,context_or_workflow_only,As context only: The biggest remaining quality jump is not more plotting; it is paper-level validation of boundary clusters and high-impact claims.,Do not present this as a paper-quality or venue-quality conclusion.,The queue organizes review but does not mean evidence fields have been checked.,21 of 42 semantic clusters are marked needs_review; validation queue contains 192 papers across 12 areas.,none,"Audit every report headline against reviewed rows, paper notes, acceptance criteria, and manual caveats before presentation use.",reports/review_reading_briefs/62989-how-much-can-language-models-memorize.md ; reports/review_reading_briefs/66206-to-grok-grokking-provable-grokking-in-ridge-regression.md ; reports/review_reading_briefs/61998-the-flexibility-trap-rethinking-the-value-of-arbitrary-order-in-diffus.md ; reports/review_reading_briefs/65332-maximum-likelihood-reinforcement-learning.md
area,"LLM Reasoning, Post-Training, and RLVR","LLM Reasoning, Post-Training, and RLVR",orientation_only,critical,area_review_pending,"For orientation: LLM Reasoning, Post-Training, and RLVR accounts for 16.6% of the corpus; treat the area narrative as unreviewed and risk-sensitive.","Do not rank this area, make subarea-share claims, or use baseline contrasts as conclusions before first checks are done.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,1099 papers (16.6%); oral 1.29x; public 2.03x; historical delta +2.9 pp,reviewed area rows 0/16; 5 taxonomy clusters need adjudication; high baseline sensitivity,"Verify that LLM Reasoning, Post-Training, and RLVR is genuinely over-represented versus nearby accepted venues, not a classifier keyword effect.",reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md
area,"Multimodal, Vision, and Perception","Multimodal, Vision, and Perception",orientation_only,critical,area_review_pending,"For orientation: Multimodal, Vision, and Perception accounts for 13.4% of the corpus; treat the area narrative as unreviewed and risk-sensitive.","Do not rank this area, make subarea-share claims, or use baseline contrasts as conclusions before first checks are done.",Use for orientation only; avoid area-ranking or subarea conclusions until manual review and risk checks are done.,889 papers (13.4%); oral 0.58x; public 0.80x; historical delta -3.1 pp,reviewed area rows 0/16; 1 taxonomy clusters need adjudication; high baseline sensitivity; 1 low-confidence evidence-code rows,"Check whether the venue-share direction and arXiv-growth direction are describing different phenomena, or whether one is an artifact of broad query terms/classifier boundaries.",reports/area_briefing_cards/multimodal-vision-and-perception.md
