sprint,sprint_rank,global_review_rank,event_id,title,area,subarea,target_claims,review_phase,note_status,claim_overlay_keys,area_overlay_keys,contribution_prompt,method_prompt,evidence_prompt,taxonomy_prompt,claim_prompt,artifact_prompt,reviewer_warning,suggested_note_seed,signals,method_families,evaluation_settings,abstract_excerpt,claim_packet_links,claim_dossier_links,area_packet_link,area_briefing_link,icml_url,alphaxiv_url,github_url,brief_path
sprint_01,1,1,62989,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01; C08,main_thesis_claims,not_started,C01::62989 | C08::62989,"LLM Reasoning, Post-Training, and RLVR::62989",Dataset / data resource: We propose a new method for estimating how much a model knows about a datapoint and use it to measure the capacity of modern language models.,Tags: Transformer / attention; setting: language/llm; abstract cues: transformer; dataset.,"identify baselines, datasets, metrics, ablations, and negative cases from the PDF",Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Dataset / data resource: We propose a new method for estimating how much a model knows about a datapoint and use it to measure the capacity of modern language models. Evidence to verify: identify baselines, datasets, metrics, ablations, and negative cases from the PDF Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.",oral; Outstanding Paper Honorable Mention; votes=271; github_stars=2; taxonomy_review; evidence=medium,Transformer / attention,language/llm,"We propose a new method for estimating how much a model knows about a datapoint and use it to measure the capacity of modern language models. Prior studies of language model memorization have struggled to disentangle memorization from generalization. We formally separate memorization into two components: unintended memorization, the information a model contains about a specific dataset, and generalization, the information a model contains about the true data-generation process. When we completely eliminate generalization, we can compute the total memorization, which provides an estimate of model capacity: our measurements estimate that GPT-style models have a capacity of approximately...",reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/62989,https://www.alphaxiv.org/abs/2505.24832,https://github.com/SimonCao1207/LLM-Capacity,reports/review_reading_briefs/62989-how-much-can-language-models-memorize.md
sprint_01,2,2,66206,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03; C08,main_thesis_claims,not_started,C03::66206 | C08::66206,"Theory, Optimization, and Algorithms::66206",Theory / proof: We study *grokking* - the onset of generalization long after overfitting - in a classical ridge regression setting.,Tags: no method-family tag; setting: theory/synthetic; abstract cues: gradient.,check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries.,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Heuristic evidence tag is low confidence. Taxonomy assignment may be unstable.,Contribution: Theory / proof: We study *grokking* - the onset of generalization long after overfitting - in a classical ridge regression setting. Evidence to verify: check theorem assumptions and empirical/theory split Claim implication: C03 (Program committee attention): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,oral; Outstanding Paper Honorable Mention; votes=7; taxonomy_review; evidence=low,,theory/synthetic,"We study *grokking* - the onset of generalization long after overfitting - in a classical ridge regression setting. We prove end-to-end grokking results for learning over-parameterized linear regression models using gradient descent with weight decay. Specifically, we prove that the following stages occur: (i) the model overfits the training data early during training; (ii) poor generalization persists long after overfitting has manifested; and (iii) the generalization error eventually becomes arbitrarily small. Moreover, we show, both theoretically and empirically, that grokking can be amplified or eliminated in a principled manner through proper hyperparameter tuning. To the best of...",reports/claim_validation_packets/c03-program-committee-attention.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/theory-optimization-and-algorithms.md,reports/area_briefing_cards/theory-optimization-and-algorithms.md,https://icml.cc/virtual/2026/poster/66206,https://www.alphaxiv.org/abs/2601.19791,,reports/review_reading_briefs/66206-to-grok-grokking-provable-grokking-in-ridge-regression.md
sprint_01,3,3,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,main_thesis_claims,not_started,C01::61998 | C08::61998,"LLM Reasoning, Post-Training, and RLVR::61998","Method / algorithm: We find that dLLMs tend to exploit this order flexibility to bypass high-uncertainty tokens that are crucial for exploration, leading to a premature collapse of solution coverage.",Tags: RL / policy optimization; Reasoning / test-time compute; Diffusion / flow; setting: language/llm; abstract cues: diffusion.,metrics: accuracy; check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Method / algorithm: We find that dLLMs tend to exploit this order flexibility to bypass high-uncertainty tokens that are crucial for exploration, leading to a premature collapse of solution coverage. Evidence to verify: metrics: accuracy; check theorem assumptions and empirical/theory split Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.",oral; Outstanding Paper Award; votes=92; github_stars=212; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Diffusion / flow,language/llm,"Diffusion Large Language Models (dLLMs) break the rigid left-to-right constraint of traditional LLMs, enabling token generation in arbitrary orders. Intuitively, this flexibility implies a solution space that strictly supersets the fixed autoregressive trajectory, theoretically unlocking superior reasoning potential. Indeed, for specific constraint satisfaction tasks (e.g., sudoku puzzles), this capability has proven to be highly advantageous. However, in this paper, we reveal that for general reasoning tasks (e.g., mathematics and coding), arbitrary order generation may in fact limit the reasoning potential of dLLMs. We find that dLLMs tend to exploit this order flexibility to bypass...",reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165,https://github.com/LeapLabTHU/JustGRPO,reports/review_reading_briefs/61998-the-flexibility-trap-rethinking-the-value-of-arbitrary-order-in-diffus.md
sprint_01,4,4,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,main_thesis_claims,not_started,C02::65901 | C06::65901,Systems and Efficient Foundation Models::65901,"Position / conceptual: We show that in smaller or insufficiently trained models such expert solutions occupy a negligible fraction of the volume of this distribution, making their discovery reliant on structured optimization methods such as gradient descent.",Tags: RL / policy optimization; LLM post-training; setting: no evaluation-setting tag; abstract cues: gradient.,"identify baselines, datasets, metrics, ablations, and negative cases from the PDF",Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Heuristic evidence tag is low confidence. Taxonomy assignment may be unstable.,"Contribution: Position / conceptual: We show that in smaller or insufficiently trained models such expert solutions occupy a negligible fraction of the volume of this distribution, making their discovery reliant on structured optimization methods such as gradient descent. Evidence to verify: identify baselines, datasets, metrics, ablations, and negative cases from the PDF Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.",votes=365; github_stars=627; taxonomy_review; evidence=low,RL / policy optimization; LLM post-training,,"Pretraining produces a learned parameter vector that is typically treated as a starting point for further iterative adaptation. In this work, we instead view the outcome of pretraining as a distribution over parameter vectors, whose support already contains task-specific experts. We show that in smaller or insufficiently trained models such expert solutions occupy a negligible fraction of the volume of this distribution, making their discovery reliant on structured optimization methods such as gradient descent. In contrast, in large, well-pretrained models the density of task-experts increases dramatically, so that diverse specialists populate a substantial fraction of the neighborhood...",reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c06-external-trend-context.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c06-external-trend-context.md,reports/validation_packets/systems-and-efficient-foundation-models.md,reports/area_briefing_cards/systems-and-efficient-foundation-models.md,https://icml.cc/virtual/2026/poster/65901,https://www.alphaxiv.org/abs/2603.12228,https://github.com/sunrainyg/RandOpt,reports/review_reading_briefs/65901-neural-thickets-diverse-task-experts-are-dense-around-pretrained-weigh.md
sprint_01,5,5,65332,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,main_thesis_claims,not_started,C01::65332 | C08::65332,"LLM Reasoning, Post-Training, and RLVR::65332","Method / algorithm: We show that for binary correctness tasks, expected-reward RL is a first-order approximation of the maximum likelihood objective, yielding vanishing learning signal on low-success inputs.",Tags: RL / policy optimization; Diffusion / flow; setting: language/llm; abstract cues: reinforcement learning; gradient.,metrics: pass@k; reward; check theorem assumptions and empirical/theory split,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Method / algorithm: We show that for binary correctness tasks, expected-reward RL is a first-order approximation of the maximum likelihood objective, yielding vanishing learning signal on low-success inputs. Evidence to verify: metrics: pass@k; reward; check theorem assumptions and empirical/theory split Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.",oral; votes=259; github_stars=194; taxonomy_review; evidence=medium,RL / policy optimization; Diffusion / flow,language/llm,"Maximum likelihood is fundamental to supervised learning but it cannot be directly applied in correctness-based problems with non-differentiable sampling. In these settings, reinforcement learning (RL) is typically used to maximize expected reward. We show that for binary correctness tasks, expected-reward RL is a first-order approximation of the maximum likelihood objective, yielding vanishing learning signal on low-success inputs. We introduce **Maximum Likelihood Reinforcement Learning (MaxRL)**, a compute-indexed family of sampling-based objectives derived from a pass@k expansion of the likelihood, which interpolates between standard RL and exact maximum likelihood as compute...",reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710,https://github.com/tajwarfahim/maxrl,reports/review_reading_briefs/65332-maximum-likelihood-reinforcement-learning.md
sprint_01,6,6,65206,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02; C07,main_thesis_claims,not_started,C02::65206 | C07::65206,"Agents, Code, and Tool Use::65206","Benchmark / evaluation: To lift this burden, we introduce PaperBanana, an agentic framework for automated generation of publication-ready academic illustrations.",Tags: Agents / tool use; setting: vision/video; language/llm; abstract cues: agent.,benchmarks: PaperBananaBench,"Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check artifact type, license/readme quality, and whether reproduction assets are present.",C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality.,"Contribution: Benchmark / evaluation: To lift this burden, we introduce PaperBanana, an agentic framework for automated generation of publication-ready academic illustrations. Evidence to verify: benchmarks: PaperBananaBench Claim implication: C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.",votes=420; github_stars=6765; evidence=medium,Agents / tool use,vision/video; language/llm,"Despite rapid advances in autonomous AI scientists powered by language models, generating publication-ready illustrations remains a labor-intensive bottleneck in the research workflow. To lift this burden, we introduce PaperBanana, an agentic framework for automated generation of publication-ready academic illustrations. Powered by state-of-the-art VLMs and image generation models, PaperBanana orchestrates specialized agents to retrieve references, plan content and style, render images, and iteratively refine via self-critique. To rigorously evaluate our framework, we introduce PaperBananaBench, comprising 292 test cases for methodology diagrams curated from NeurIPS 2025 publications,...",reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md; reports/claim_validation_packets/c07-artifact-visibility.md,reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md; reports/claim_evidence_dossiers/c07-artifact-visibility.md,reports/validation_packets/agents-code-and-tool-use.md,reports/area_briefing_cards/agents-code-and-tool-use.md,https://icml.cc/virtual/2026/poster/65206,https://www.alphaxiv.org/abs/2601.23265,https://github.com/dwzhu-pku/PaperBanana,reports/review_reading_briefs/65206-paperbanana-automating-academic-illustration-for-ai-scientists.md
sprint_01,7,7,60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",C03,main_thesis_claims,not_started,C03::60766,"Safety, Governance, Privacy, and Society::60766",Position / conceptual: We introduce a taxonomy of possible outcomes when training against a deception detector.,Tags: RL / policy optimization; LLM post-training; setting: language/llm; abstract cues: gradient.,metrics: reward,Identify the technical reason for high program signal and whether public attention misses it.,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,Contribution: Position / conceptual: We introduce a taxonomy of possible outcomes when training against a deception detector. Evidence to verify: metrics: reward Claim implication: C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,oral; Outstanding Paper Honorable Mention; votes=14; github_stars=13; evidence=medium,RL / policy optimization; LLM post-training,language/llm,"Training against white-box deception detectors has been proposed as a way to make AI systems honest. However, such training risks models learning to obfuscate their deception to evade the detector. Prior work has studied obfuscation only in artificial settings where models were directly rewarded for harmful output. We construct a realistic coding environment where reward hacking via hardcoding test cases naturally occurs, and show that obfuscation emerges in this setting. We introduce a taxonomy of possible outcomes when training against a deception detector. The model either remains honest, or becomes deceptive via two possible obfuscation strategies. (i) *Obfuscated activations*: the...",reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515,https://github.com/AlignmentResearch/obfuscation-atlas,reports/review_reading_briefs/60766-the-obfuscation-atlas-mapping-where-honesty-emerges-in-rlvr-with-decep.md
sprint_01,8,8,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,main_thesis_claims,not_started,C03::67084,"Safety, Governance, Privacy, and Society::67084","Position / conceptual: AI-generated non-consensual intimate imagery (AIG-NCII) is not adequately addressed in AI/ML literature regarding AI-generated media, commonly referred to as ""deepfakes"".",Tags: Agents / tool use; setting: vision/video; security/safety; theory/synthetic; abstract cues: tool; safety.,"identify baselines, datasets, metrics, ablations, and negative cases from the PDF",Identify the technical reason for high program signal and whether public attention misses it.,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,"Contribution: Position / conceptual: AI-generated non-consensual intimate imagery (AIG-NCII) is not adequately addressed in AI/ML literature regarding AI-generated media, commonly referred to as ""deepfakes"". Evidence to verify: identify baselines, datasets, metrics, ablations, and negative cases from the PDF Claim implication: C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.",oral; Outstanding Position Paper Honorable Mention; votes=0; evidence=medium,Agents / tool use,vision/video; security/safety; theory/synthetic,"AI-generated non-consensual intimate imagery (AIG-NCII) is not adequately addressed in AI/ML literature regarding AI-generated media, commonly referred to as ""deepfakes"". While research on deepfakes currently focuses on its epistemic harms—or harms relating to truth and authenticity—this is misaligned with the dominant reality of generative AI abuse involving sexualized imagery. We conduct a landscape analysis of highly-cited works to demonstrate that technical interventions addressing deepfakes almost entirely ignore AIG-NCII, limiting the research ecosystem to authenticity detection tools. In this position paper, we argue that existing interventions address viewer-centric epistemic...",reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,https://icml.cc/virtual/2026/poster/67084,,,reports/review_reading_briefs/67084-position-ai-ml-deepfake-research-is-misaligned-with-ai-generated-non-c.md
sprint_01,9,9,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,main_thesis_claims,not_started,C03::67118,"Safety, Governance, Privacy, and Society::67118","Position / conceptual: By mapping current alignment techniques to the possibility and actual cases of misuse, we show that the quest for a ''perfectly aligned'' model inadvertently also provides malicious actors with an ever-improving tool for informational dominance.",Tags: LLM post-training; Agents / tool use; setting: robotics/embodied; security/safety; abstract cues: tool; safety.,check human-study or user-evaluation setup,Identify the technical reason for high program signal and whether public attention misses it.,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness.,"Contribution: Position / conceptual: By mapping current alignment techniques to the possibility and actual cases of misuse, we show that the quest for a ''perfectly aligned'' model inadvertently also provides malicious actors with an ever-improving tool for informational dominance. Evidence to verify: check human-study or user-evaluation setup Claim implication: C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.",oral; Outstanding Position Paper Award; votes=0; evidence=medium,LLM post-training; Agents / tool use,robotics/embodied; security/safety,"This position paper argues that modern alignment methods – originally designed to prevent harmful output – are dual-use technologies that may easily be misused by malicious actors for censorship and manipulation. By mapping current alignment techniques to the possibility and actual cases of misuse, we show that the quest for a ''perfectly aligned'' model inadvertently also provides malicious actors with an ever-improving tool for informational dominance. We need to discuss this dual-use potential *now*, as its risk is exacerbated by rapid user adoption of AI as information provider and a political landscape that increasingly shifts towards authoritarianism. We conclude by urging the...",reports/claim_validation_packets/c03-program-committee-attention.md,reports/claim_evidence_dossiers/c03-program-committee-attention.md,reports/validation_packets/safety-governance-privacy-and-society.md,reports/area_briefing_cards/safety-governance-privacy-and-society.md,https://icml.cc/virtual/2026/poster/67118,,,reports/review_reading_briefs/67118-position-the-alignment-community-is-unintentionally-building-a-censors.md
sprint_01,10,10,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,main_thesis_claims,not_started,C01::65886 | C08::65886,"LLM Reasoning, Post-Training, and RLVR::65886","Benchmark / evaluation: Using RLER, we develop **Deep Research Tulu (DR Tulu-8B)**, the first fully open model that is directly trained for open-ended, long-form deep research.",Tags: RL / policy optimization; Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; benchmark; agent.,"identify baselines, datasets, metrics, ablations, and negative cases from the PDF",Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Do not treat AlphaXiv attention as quality. Program signal is not the same as paper-level correctness. Taxonomy assignment may be unstable.,"Contribution: Benchmark / evaluation: Using RLER, we develop **Deep Research Tulu (DR Tulu-8B)**, the first fully open model that is directly trained for open-ended, long-form deep research. Evidence to verify: identify baselines, datasets, metrics, ablations, and negative cases from the PDF Claim implication: C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.",oral; votes=201; github_stars=682; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,"Deep research agents perform multi-step research to produce long-form, well-attributed answers. However, most open deep research agents are trained on easily verifiable short-form QA tasks via reinforcement learning with verifiable rewards, which does not extend to realistic long-form tasks. We address this with **Reinforcement Learning with Evolving Rubrics (RLER)**, where rubrics are constructed and maintained to *co-evolve* with the policy model during training. This allows the rubrics to incorporate newly explored information from search and contrasting model responses, enabling better fact checking and more discriminative on-policy feedback. Using RLER, we develop **Deep Research...",reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md; reports/claim_validation_packets/c08-validation-priority.md,reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md; reports/claim_evidence_dossiers/c08-validation-priority.md,reports/validation_packets/llm-reasoning-post-training-and-rlvr.md,reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399,https://github.com/rlresearch/dr-tulu,reports/review_reading_briefs/65886-reinforcement-learning-with-evolving-rubrics-for-deep-research.md
