question_id,priority,question,why_it_matters,current_answer_status,related_claims,related_areas,evidence_basis,safe_current_wording,falsification_test,baseline_check,first_papers_to_read,first_artifacts_to_open,next_action
Q01,1,Is ICML 2026 genuinely centered on LLM reasoning and post-training?,"This is the strongest candidate for the report's central thesis, but it is also boundary-sensitive.",high_value_hypothesis_needs_review,C01,"LLM Reasoning, Post-Training, and RLVR",1099 taxonomy papers (16.6%); historical delta +2.9 pp; public-attention enrichment 2.03x.,Hypothesis from current metadata: LLM reasoning/post-training is the largest ICML 2026 area and is also overweight relative to nearby accepted-paper baselines.,"Review boundary papers and relabel any that are mainly systems, safety, or general language-model evaluation; recompute whether LLM reasoning still leads the landscape.","Verify that LLM Reasoning, Post-Training, and RLVR is genuinely over-represented versus nearby accepted venues, not a classifier keyword effect.",sprint_01 #1: How much can language models memorize? (62989) ; sprint_01 #3: The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (61998) ; sprint_01 #5: Maximum Likelihood Reinforcement Learning (65332) ; sprint_01 #10: Reinforcement Learning with Evolving Rubrics for Deep Research (65886),reports/review_reading_briefs/62989-how-much-can-language-models-memorize.md ; reports/review_reading_briefs/61998-the-flexibility-trap-rethinking-the-value-of-arbitrary-order-in-diffus.md ; reports/review_reading_briefs/65332-maximum-likelihood-reinforcement-learning.md ; reports/review_reading_briefs/65886-reinforcement-learning-with-evolving-rubrics-for-deep-research.md,"Fill first-sprint paper notes, then transfer decisions through the overlay bridge."
Q02,2,"Are systems, efficiency, agents, and code/tool papers a coherent infrastructure shift?","The workspace shows neighboring-venue overweight signals, but a researcher needs to know whether this is one movement or several unrelated pockets.",high_value_hypothesis_needs_review,C02,"Systems and Efficient Foundation Models; Agents, Code, and Tool Use","Systems historical delta +2.1 pp, relative 1.68x; Agents historical delta +2.1 pp, relative 1.44x.","Hypothesis from current metadata: Systems/efficiency and agents/code look smaller than LLM reasoning by paper count, but both are clear ICML 2026 overweights versus the neighboring-venue baseline.","Read representative systems and agents/code papers and check whether the mechanism is reusable infrastructure, benchmark packaging, or ordinary model training.","Verify that Systems and Efficient Foundation Models is genuinely over-represented versus nearby accepted venues, not a classifier keyword effect.",sprint_01 #4: Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights (65901) ; sprint_01 #6: PaperBanana: Automating Academic Illustration for AI Scientists (65206) ; sprint_01 #11: Controlled LLM Training on Spectral Sphere (66212) ; sprint_01 #15: mHC: Manifold-Constrained Hyper-Connections (61870),reports/review_reading_briefs/65901-neural-thickets-diverse-task-experts-are-dense-around-pretrained-weigh.md ; reports/review_reading_briefs/65206-paperbanana-automating-academic-illustration-for-ai-scientists.md ; reports/review_reading_briefs/66212-controlled-llm-training-on-spectral-sphere.md ; reports/review_reading_briefs/61870-mhc-manifold-constrained-hyper-connections.md,"Fill first-sprint paper notes, then transfer decisions through the overlay bridge."
Q03,3,What does the ICML program emphasize that public attention misses?,This separates committee-visible importance from AlphaXiv visibility and helps avoid popularity-as-quality errors.,high_value_hypothesis_needs_review,C03,"Theory, Optimization, and Algorithms; Safety, Governance, Privacy, and Society",Theory oral enrichment 1.45x vs public enrichment 0.46x; Safety oral enrichment 1.41x and 3 awards vs public enrichment 0.51x.,Hypothesis from current metadata: Theory and safety/governance receive more program signal than their public-attention signal would predict.,Compare low-public/high-program papers against their abstracts/PDFs and label the committee-selection rationale.,Spot-check representative titles and boundary papers before using this as more than directional context.,sprint_01 #2: To Grok Grokking: Provable Grokking in Ridge Regression (66206) ; sprint_01 #7: The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes (60766) ; sprint_01 #8: Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) (67084) ; sprint_01 #9: Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit (67118),reports/review_reading_briefs/66206-to-grok-grokking-provable-grokking-in-ridge-regression.md ; reports/review_reading_briefs/60766-the-obfuscation-atlas-mapping-where-honesty-emerges-in-rlvr-with-decep.md ; reports/review_reading_briefs/67084-position-ai-ml-deepfake-research-is-misaligned-with-ai-generated-non-c.md ; reports/review_reading_briefs/67118-position-the-alignment-community-is-unintentionally-building-a-censors.md,"Fill first-sprint paper notes, then transfer decisions through the overlay bridge."
Q04,4,Why do robotics and world-model papers attract public attention despite small corpus share?,"This is a clear public/program mismatch and could reflect demo visibility, VLA excitement, or reusable benchmark/model work.",directional_needs_spot_check,C04,"Robotics, Embodiment, and World Models",195 papers (2.9%); public-attention enrichment 2.11x vs oral enrichment 0.81x.,Directional signal: Robotics/embodiment is small by taxonomy count but unusually strong in public attention.,"Classify high-attention robotics papers as benchmark, demo, reusable model, or core algorithmic contribution and compare with oral/award status.",Spot-check representative titles and boundary papers before using this as more than directional context.,sprint_01 #20: From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (66596) ; sprint_02 #8: World Guidance: World Modeling in Condition Space for Action Generation (61757) ; sprint_02 #9: Temporal Straightening for Latent Planning (64904) ; sprint_02 #11: LangForce: Bayesian Decomposition of Vision Language Action Models via Latent Action Queries (65457),reports/review_reading_briefs/66596-from-abstraction-to-instantiation-learning-behavioral-representation-f.md ; reports/review_reading_briefs/61757-world-guidance-world-modeling-in-condition-space-for-action-generation.md ; reports/review_reading_briefs/64904-temporal-straightening-for-latent-planning.md ; reports/review_reading_briefs/65457-langforce-bayesian-decomposition-of-vision-language-action-models-via-.md,"Use sprint 02 paper notes, then transfer decisions through the sprint 02 overlay bridge."
Q05,5,"Is multimodal/vision really underweight at ICML 2026, or is that a baseline/classifier artifact?",This is the riskiest neighboring-venue contrast because arXiv growth and accepted-paper baselines point in different directions.,high_value_hypothesis_needs_review,C05,"Multimodal, Vision, and Perception","889 taxonomy papers (13.4%); historical delta -3.1 pp, relative 0.82x.",Directional signal: Multimodal/vision is large inside ICML 2026 but underweight relative to NeurIPS 2025 and ICLR 2026 accepted-paper baselines.,Break the sprint-02 multimodal/vision papers into submodes before interpreting the aggregate underweight/overweight signal.,"Check whether the venue-share direction and arXiv-growth direction are describing different phenomena, or whether one is an artifact of broad query terms/classifier boundaries.",sprint_02 #1: Motion Attribution for Video Generation (60542) ; sprint_02 #2: Multimodal Nested Learning for Decoupled and Coordinated Optimization (65954) ; sprint_02 #3: ExSkill: Continual Learning from Experience and Skills in Multimodal Agents (65729) ; sprint_02 #4: BabyVision: Visual Reasoning Beyond Language (63195),reports/review_reading_briefs/60542-motion-attribution-for-video-generation.md ; reports/review_reading_briefs/65954-multimodal-nested-learning-for-decoupled-and-coordinated-optimization.md ; reports/review_reading_briefs/65729-exskill-continual-learning-from-experience-and-skills-in-multimodal-ag.md ; reports/review_reading_briefs/63195-babyvision-visual-reasoning-beyond-language.md,"Use sprint 02 paper notes, then transfer decisions through the sprint 02 overlay bridge."
Q06,6,"Do visible artifact links correspond to runnable, reproducible work?","The corpus has many GitHub links, but repository visibility is not the same as reproducibility.",high_value_hypothesis_needs_review,C07,"Agents, Code, and Tool Use; LLM Reasoning, Post-Training, and RLVR; Systems and Efficient Foundation Models","Robotics, Embodiment, and World Models: GitHub URL share 38.0%; Agents, Code, and Tool Use: GitHub URL share 32.9%; LLM Reasoning, Post-Training, and RLVR: GitHub URL share 32.1%; Generative Modeling: GitHub URL share 31.1%","Directional signal: Artifacts are most visible in agents/code, LLM reasoning, systems, and multimodal/vision, while theory remains much less artifact-linked.","Open linked repositories for high-signal papers and record license, release state, data/checkpoints, dependencies, and runnable example.",Spot-check representative titles and boundary papers before using this as more than directional context.,artifact #1: When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (66675) ; artifact #2: From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (60982) ; artifact #3: Process Reward Models That Think (68817) ; artifact #4: How much can language models memorize? (62989),reports/icml2026_artifact_audit_queue.md ; reports/icml2026_github_artifact_live_check.md ; reports/icml2026_reproducibility_lens.md,"Fill first-sprint paper notes, then transfer decisions through the overlay bridge."
Q07,7,Which taxonomy boundaries could change the top-level landscape story?,Area-ranking and subarea conclusions can be distorted by boundary clusters before manual adjudication.,high_value_hypothesis_needs_review,C01; C02; C05,"LLM Reasoning, Post-Training, and RLVR; Theory, Optimization, and Algorithms; AI for Science, Health, and Neuro","1099 taxonomy papers (16.6%); historical delta +2.9 pp; public-attention enrichment 2.03x. ; Systems historical delta +2.1 pp, relative 1.68x; Agents historical delta +2.1 pp, relative 1.44x.",Hypothesis from current metadata: LLM reasoning/post-training is the largest ICML 2026 area and is also overweight relative to nearby accepted-paper baselines.,"Review boundary papers and relabel any that are mainly systems, safety, or general language-model evaluation; recompute whether LLM reasoning still leads the landscape.","Verify that LLM Reasoning, Post-Training, and RLVR is genuinely over-represented versus nearby accepted venues, not a classifier keyword effect.",sprint_01 #1: How much can language models memorize? (62989) ; sprint_01 #2: To Grok Grokking: Provable Grokking in Ridge Regression (66206) ; sprint_01 #3: The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (61998) ; sprint_01 #4: Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights (65901),reports/review_reading_briefs/62989-how-much-can-language-models-memorize.md ; reports/review_reading_briefs/66206-to-grok-grokking-provable-grokking-in-ridge-regression.md ; reports/review_reading_briefs/61998-the-flexibility-trap-rethinking-the-value-of-arbitrary-order-in-diffus.md ; reports/review_reading_briefs/65901-neural-thickets-diverse-task-experts-are-dense-around-pretrained-weigh.md,"Fill first-sprint paper notes, then transfer decisions through the overlay bridge."
Q08,8,How should arXiv trend signals be used without implying venue quality or causality?,"Broad arXiv queries are useful context, but they are overlapping and should not become field-quality claims.",high_value_hypothesis_needs_review,C06,"Multimodal, Vision, and Perception; LLM Reasoning, Post-Training, and RLVR; Safety, Governance, Privacy, and Society","Multimodal, Vision, and Perception: 94.6%; LLM Reasoning, Post-Training, and RLVR: 59.9%; Safety, Governance, Privacy, and Society: 53.6%; Systems and Efficient Foundation Models: 43.3%","As context only: The fastest broad arXiv growth areas are multimodal/vision, LLM reasoning, and safety/governance, but ICML 2026 does not mirror this ranking exactly.",Run sensitivity checks on broad query terms and accepted-paper baselines before using any trend language.,"Check whether the venue-share direction and arXiv-growth direction are describing different phenomena, or whether one is an artifact of broad query terms/classifier boundaries.",sprint_01 #1: How much can language models memorize? (62989) ; sprint_01 #3: The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (61998) ; sprint_01 #4: Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights (65901) ; sprint_01 #5: Maximum Likelihood Reinforcement Learning (65332),reports/icml2026_baseline_sensitivity_queue.md ; reports/arxiv_taxonomy_trends.md ; reports/historical_accepted_paper_baseline.md,Keep as framing/context; do not promote as a paper-quality claim.
Q09,9,"Which area summaries are safe to use now, and which need stronger caveats?",A researcher needs practical wording rules before turning exploratory EDA into report or presentation language.,context_or_workflow_question,C08,cross_area,21 of 42 semantic clusters are marked needs_review; validation queue contains 192 papers across 12 areas.,As context only: The biggest remaining quality jump is not more plotting; it is paper-level validation of boundary clusters and high-impact claims.,"Audit every report headline against reviewed rows, paper notes, acceptance criteria, and manual caveats before presentation use.",,sprint_01 #1: How much can language models memorize? (62989) ; sprint_01 #2: To Grok Grokking: Provable Grokking in Ridge Regression (66206) ; sprint_01 #3: The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (61998) ; sprint_01 #5: Maximum Likelihood Reinforcement Learning (65332),reports/icml2026_safe_statement_register.md ; reports/icml2026_area_risk_register.md ; reports/icml2026_claim_risk_register.md,Keep as framing/context; do not promote as a paper-quality claim.
Q10,10,Which papers should be read first to validate or weaken the whole thesis?,The fastest path to a stronger brief is not more plots; it is reading the papers that can move claim decisions.,high_value_hypothesis_needs_review,C01; C02; C03; C04; C05; C07,cross_area,"1099 taxonomy papers (16.6%); historical delta +2.9 pp; public-attention enrichment 2.03x. ; Systems historical delta +2.1 pp, relative 1.68x; Agents historical delta +2.1 pp, relative 1.44x.",Hypothesis from current metadata: LLM reasoning/post-training is the largest ICML 2026 area and is also overweight relative to nearby accepted-paper baselines.,"Review boundary papers and relabel any that are mainly systems, safety, or general language-model evaluation; recompute whether LLM reasoning still leads the landscape.",,sprint_01 #1: How much can language models memorize? (62989) ; sprint_01 #2: To Grok Grokking: Provable Grokking in Ridge Regression (66206) ; sprint_01 #3: The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models (61998) ; sprint_01 #4: Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights (65901),reports/icml2026_researcher_action_plan.md ; reports/icml2026_sprint_reading_brief_index.md ; reports/icml2026_claim_decision_board.md,"Fill first-sprint paper notes, then transfer decisions through the overlay bridge."
