github_repo,github_url,live_status,http_status,qa_flags,suspicious_reason,paper_titles,sources,max_public_votes,alphaxiv_github_stars,live_stargazers_count,live_forks_count,open_issues_count,archived,disabled,fork,license_spdx,default_branch,created_at,updated_at,pushed_at,pushed_age_days,description,homepage,api_fetched_utc,api_error
sgl-project/sglang,https://github.com/sgl-project/sglang,live,200,,,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System,top_github_artifacts,17,30219,30284,7137,4233,false,false,false,Apache-2.0,main,2024-01-08T04:15:52Z,2026-07-14T08:53:53Z,2026-07-14T08:55:29Z,0,SGLang is a high-performance serving framework for large language models and multimodal models.,https://sglang.io,2026-07-14T08:57:43.363049+00:00,
academicpages/academicpages.github.io,https://github.com/academicpages/academicpages.github.io,live,200,suspicious_template_or_index,academicpages,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints,top_github_artifacts,2,17294,17296,7841,27,false,false,false,MIT,master,2016-09-15T11:16:04Z,2026-07-14T08:03:58Z,2026-06-25T13:14:07Z,18,"Github Pages template based upon HTML and Markdown for personal, portfolio-based websites.",https://academicpages.github.io,2026-07-14T08:57:43.799679+00:00,
awesome-NeRF/awesome-NeRF,https://github.com/awesome-NeRF/awesome-NeRF,live,200,suspicious_template_or_index,awesome-,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model,top_github_artifacts,56,6773,6773,600,0,false,false,false,MIT,main,2020-11-26T16:10:56Z,2026-07-12T10:51:57Z,2025-01-06T11:03:37Z,553,A curated list of awesome neural radiance fields papers,,2026-07-14T08:57:44.214837+00:00,
dwzhu-pku/PaperBanana,https://github.com/dwzhu-pku/PaperBanana,live,200,,,PaperBanana: Automating Academic Illustration for AI Scientists,manual_validation_queue; top_github_artifacts,420,6765,6775,509,13,false,false,false,Apache-2.0,main,2026-01-30T06:55:48Z,2026-07-14T08:34:23Z,2026-06-25T12:48:17Z,18,PaperBanana: Automating Academic Illustration For AI Scientists,https://dwzhu-pku.github.io/PaperBanana/,2026-07-14T08:57:44.622129+00:00,
z-lab/dflash,https://github.com/z-lab/dflash,live,200,,,DFlash: Block Diffusion for Flash Speculative Decoding,top_github_artifacts,153,5451,5465,391,85,false,false,false,MIT,main,2026-01-04T19:33:39Z,2026-07-14T08:56:52Z,2026-05-10T09:53:33Z,64,DFlash: Block Diffusion for Flash Speculative Decoding,https://dflash.z-lab.ai,2026-07-14T08:57:45.068875+00:00,
eliahuhorwitz/Academic-project-page-template,https://github.com/eliahuhorwitz/Academic-project-page-template,live,200,suspicious_template_or_index,academic-project-page-template; project-page; template,"From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model | Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning | AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing | PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models | AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning",top_github_artifacts,73,5069,5069,1131,9,false,false,false,,master,2022-11-30T09:35:33Z,2026-07-14T08:01:12Z,2025-09-04T19:11:15Z,312,A project page template for academic papers. Demo at https://eliahuhorwitz.github.io/Academic-project-page-template/,https://eliahuhorwitz.github.io/Academic-project-page-template/,2026-07-14T08:57:45.500780+00:00,
ArthurBrussee/brush,https://github.com/ArthurBrussee/brush,live,200,,,Turbo4DGen: Ultra-Fast Acceleration for 4D Generation,top_github_artifacts,0,4818,4820,284,40,false,false,false,Apache-2.0,main,2024-02-23T16:50:13Z,2026-07-14T06:46:46Z,2026-07-01T21:10:35Z,12,3D Reconstruction for all,,2026-07-14T08:57:45.932664+00:00,
ruc-datalab/DeepAnalyze,https://github.com/ruc-datalab/DeepAnalyze,live,200,,,DeepAnalyze: Agentic Large Language Models for Autonomous Data Science,top_github_artifacts,146,4355,4359,687,23,false,false,false,MIT,main,2025-10-11T11:19:21Z,2026-07-14T06:29:15Z,2026-07-01T03:12:26Z,13,DeepAnalyze is the first agentic LLM for autonomous data science. 🎈你的AI数据分析师，自动分析大量数据，一键生成专业分析报告！,https://ruc-deepanalyze.github.io,2026-07-14T08:57:46.368827+00:00,
aiming-lab/SimpleMem,https://github.com/aiming-lab/SimpleMem,live,200,,,SimpleMem: Efficient Lifelong Memory for LLM Agents,top_github_artifacts,214,3641,3642,374,18,false,false,false,MIT,main,2026-01-01T23:53:40Z,2026-07-14T04:28:11Z,2026-06-23T05:02:47Z,21,SimpleMem: Efficient Lifelong Memory for LLM Agents — Text & Multimodal,,2026-07-14T08:57:46.809535+00:00,
facebookresearch/sam-audio,https://github.com/facebookresearch/sam-audio,live,200,,,SAM Audio: Segment Anything in Audio,top_github_artifacts,65,3567,3568,325,50,false,false,false,NOASSERTION,main,2025-09-04T16:46:34Z,2026-07-14T03:06:09Z,2026-05-26T05:38:19Z,49,"The repository provides code for running inference with the Meta Segment Anything Audio Model (SAM-Audio), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",,2026-07-14T08:57:47.247930+00:00,
