claim_id,event_id,global_review_rank,claim_review_rank,title,area,selection_reason,review_focus,reviewer,review_date,review_source,manual_claim_support,manual_taxonomy_judgment,manual_artifact_judgment,manual_notes
C01,62989,1,1,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C08,62989,1,6,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C03,66206,2,2,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C08,66206,2,14,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",taxonomy_boundary_program_public_fill,Use high-signal papers to stress-test taxonomy boundaries.,,,,,,,
C01,61998,3,2,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C08,61998,3,13,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_program_public_fill,Use high-signal papers to stress-test taxonomy boundaries.,,,,,,,
C02,65901,4,13,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,systems_agents_public_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,,,,,,,
C06,65901,4,16,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C01,65332,5,3,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C08,65332,5,15,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_program_public_fill,Use high-signal papers to stress-test taxonomy boundaries.,,,,,,,
C02,65206,6,11,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use",systems_agents_public_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,,,,,,,
C07,65206,6,8,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use",artifact_high_star,"Check artifact type, license/readme quality, and whether reproduction assets are present.",,,,,,,
C03,60766,7,1,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C03,67084,8,4,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C03,67118,9,3,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society",program_high_public_lower,Identify the technical reason for high program signal and whether public attention misses it.,,,,,,,
C01,65886,10,4,Reinforcement Learning with Evolving Rubrics for Deep Research,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C08,65886,10,16,Reinforcement Learning with Evolving Rubrics for Deep Research,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_program_public_fill,Use high-signal papers to stress-test taxonomy boundaries.,,,,,,,
C02,66212,11,1,Controlled LLM Training on Spectral Sphere,Systems and Efficient Foundation Models,systems_agents_program_signal,Check whether program-selected papers substantiate systems/agents emphasis.,,,,,,,
C08,66212,11,17,Controlled LLM Training on Spectral Sphere,Systems and Efficient Foundation Models,taxonomy_boundary_program_public_fill,Use high-signal papers to stress-test taxonomy boundaries.,,,,,,,
C01,64121,12,10,Reinforcement Learning via Self-Distillation,"LLM Reasoning, Post-Training, and RLVR",llm_high_attention_core,Check whether high attention supports the center-of-gravity claim.,,,,,,,
C06,64121,12,6,Reinforcement Learning via Self-Distillation,"LLM Reasoning, Post-Training, and RLVR",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C08,64121,12,1,Reinforcement Learning via Self-Distillation,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C01,65446,13,5,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C01,63333,14,12,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,"LLM Reasoning, Post-Training, and RLVR",llm_high_attention_core,Check whether high attention supports the center-of-gravity claim.,,,,,,,
C06,63333,14,8,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,"LLM Reasoning, Post-Training, and RLVR",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C02,61870,15,8,mHC: Manifold-Constrained Hyper-Connections,Systems and Efficient Foundation Models,systems_agents_public_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,,,,,,,
C06,61870,15,13,mHC: Manifold-Constrained Hyper-Connections,Systems and Efficient Foundation Models,fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C08,61870,15,2,mHC: Manifold-Constrained Hyper-Connections,Systems and Efficient Foundation Models,taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C02,62943,16,12,Evolution Strategies at the Hyperscale,Systems and Efficient Foundation Models,systems_agents_public_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,,,,,,,
C06,62943,16,15,Evolution Strategies at the Hyperscale,Systems and Efficient Foundation Models,fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C02,65888,17,9,Learning to Discover at Test Time,"Agents, Code, and Tool Use",systems_agents_public_signal,Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover.,,,,,,,
C08,65888,17,4,Learning to Discover at Test Time,"Agents, Code, and Tool Use",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
C01,64488,18,11,Agent Learning via Early Experience,"LLM Reasoning, Post-Training, and RLVR",llm_high_attention_core,Check whether high attention supports the center-of-gravity claim.,,,,,,,
C06,64488,18,7,Agent Learning via Early Experience,"LLM Reasoning, Post-Training, and RLVR",fast_arxiv_area_sample,Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,,,,,,,
C01,64095,19,6,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,"LLM Reasoning, Post-Training, and RLVR",llm_boundary_cluster,Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper.,,,,,,,
C07,66596,20,4,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,"Robotics, Embodiment, and World Models",artifact_manual_check,Determine whether the GitHub link is a real paper artifact or a template/index/project page.,,,,,,,
C01,61180,21,14,Latent Collaboration in Multi-Agent Systems,"LLM Reasoning, Post-Training, and RLVR",llm_high_attention_core,Check whether high attention supports the center-of-gravity claim.,,,,,,,
C08,61180,21,5,Latent Collaboration in Multi-Agent Systems,"LLM Reasoning, Post-Training, and RLVR",taxonomy_boundary_cluster_anchor,Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,,,,,,,
