priority_rank,task_id,priority_score,sprint,sprint_rank,event_id,title,claim_id,claim_theme,thesis_role,claim_decision,readiness_tier,area,subarea,task_focus,why_this_paper,claim_question,minimum_decision_needed,what_to_extract,support_signal,weakening_signal,blocking_risk,required_manual_fields,source_artifacts,writeback_targets,next_action
1,C01-62989,1,sprint_01,1,62989,How much can language models memorize?,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,boundary_check_llm_reasoning,oral; Outstanding Paper Honorable Mention; votes=271; github_stars=2; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Dataset / data resource: We propose a new method for estimating how much a model knows about a datapoint and use it to measure the capacity of modern language models. ; Tags: Transformer / attention; setting: language/llm; abstract cues: transformer; dataset. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/62989-how-much-can-language-models-memorize.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::62989,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
2,C03-66206,2,sprint_01,2,66206,To Grok Grokking: Provable Grokking in Ridge Regression,C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,program_attention_explanation,oral; Outstanding Paper Honorable Mention; votes=7; taxonomy_review; evidence=low,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,Theory / proof: We study *grokking* - the onset of generalization long after overfitting - in a classical ridge regression setting. ; Tags: no method-family tag; setting: theory/synthetic; abstract cues: gradient. ; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries. ; No obvious artifact link; record none/not_applicable unless PDF shows a release.,Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/66206-to-grok-grokking-provable-grokking-in-ridge-regression.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/theory-optimization-and-algorithms.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::66206,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
3,C01-61998,3,sprint_01,3,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,boundary_check_llm_reasoning,oral; Outstanding Paper Award; votes=92; github_stars=212; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Method / algorithm: We find that dLLMs tend to exploit this order flexibility to bypass high-uncertainty tokens that are crucial for exploration, leading to a premature collapse of solution coverage. ; Tags: RL / policy optimization; Reasoning / test-time compute; Diffusion / flow; setting: language/llm; abstract cues: diffusion. ; metrics: accuracy; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/61998-the-flexibility-trap-rethinking-the-value-of-arbitrary-order-in-diffus.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::61998,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
4,C02-65901,4,sprint_01,4,65901,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",infrastructure_coherence,votes=365; github_stars=627; taxonomy_review; evidence=low,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Position / conceptual: We show that in smaller or insufficiently trained models such expert solutions occupy a negligible fraction of the volume of this distribution, making their discovery reliant on structured optimization methods such as gradient descent. ; Tags: RL / policy optimization; LLM post-training; setting: no evaluation-setting tag; abstract cues: gradient. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65901-neural-thickets-diverse-task-experts-are-dense-around-pretrained-weigh.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/systems-and-efficient-foundation-models.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::65901,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
5,C01-65332,5,sprint_01,5,65332,Maximum Likelihood Reinforcement Learning,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",boundary_check_llm_reasoning,oral; votes=259; github_stars=194; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Method / algorithm: We show that for binary correctness tasks, expected-reward RL is a first-order approximation of the maximum likelihood objective, yielding vanishing learning signal on low-success inputs. ; Tags: RL / policy optimization; Diffusion / flow; setting: language/llm; abstract cues: reinforcement learning; gradient. ; metrics: pass@k; reward; check theorem assumptions and empirical/theory split ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65332-maximum-likelihood-reinforcement-learning.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::65332,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
6,C02-65206,6,sprint_01,6,65206,PaperBanana: Automating Academic Illustration for AI Scientists,C02,Infrastructure and agentic workloads,core_thesis_candidate,not_ready,high_priority_unreviewed,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",infrastructure_coherence,votes=420; github_stars=6765; evidence=medium,C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C07 (Artifact visibility): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: To lift this burden, we introduce PaperBanana, an agentic framework for automated generation of publication-ready academic illustrations. ; Tags: Agents / tool use; setting: vision/video; language/llm; abstract cues: agent. ; benchmarks: PaperBananaBench ; Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check artifact type, license/readme quality, and whether reproduction assets are present. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper contributes reusable infrastructure, efficiency, optimization, agent/tool/code workflow machinery, or a workload shift that is not just ordinary model training.","Weakens if the paper is mainly a narrow model result, benchmark, or theoretical claim with little infrastructure/agent relevance.",Historical-delta interpretation must survive a spot check of systems and agents/code examples.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65206-paperbanana-automating-academic-illustration-for-ai-scientists.md ; reports/claim_validation_packets/c02-infrastructure-and-agentic-workloads.md ; reports/claim_evidence_dossiers/c02-infrastructure-and-agentic-workloads.md ; reports/area_briefing_cards/agents-code-and-tool-use.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C02::65206,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
7,C03-60766,7,sprint_01,7,60766,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",program_attention_explanation,oral; Outstanding Paper Honorable Mention; votes=14; github_stars=13; evidence=medium,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Position / conceptual: We introduce a taxonomy of possible outcomes when training against a deception detector. ; Tags: RL / policy optimization; LLM post-training; setting: language/llm; abstract cues: gradient. ; metrics: reward ; Identify the technical reason for high program signal and whether public attention misses it. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/60766-the-obfuscation-atlas-mapping-where-honesty-emerges-in-rlvr-with-decep.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/safety-governance-privacy-and-society.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::60766,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
8,C03-67084,8,sprint_01,8,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",program_attention_explanation,oral; Outstanding Position Paper Honorable Mention; votes=0; evidence=medium,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Position / conceptual: AI-generated non-consensual intimate imagery (AIG-NCII) is not adequately addressed in AI/ML literature regarding AI-generated media, commonly referred to as ""deepfakes"". ; Tags: Agents / tool use; setting: vision/video; security/safety; theory/synthetic; abstract cues: tool; safety. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Identify the technical reason for high program signal and whether public attention misses it. ; No obvious artifact link; record none/not_applicable unless PDF shows a release.",Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/67084-position-ai-ml-deepfake-research-is-misaligned-with-ai-generated-non-c.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/safety-governance-privacy-and-society.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::67084,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
9,C03-67118,9,sprint_01,9,67118,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,C03,Program committee attention,core_thesis_candidate,not_ready,high_priority_unreviewed,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",program_attention_explanation,oral; Outstanding Position Paper Award; votes=0; evidence=medium,C03 (Program committee attention): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Position / conceptual: By mapping current alignment techniques to the possibility and actual cases of misuse, we show that the quest for a ''perfectly aligned'' model inadvertently also provides malicious actors with an ever-improving tool for informational dominance. ; Tags: LLM post-training; Agents / tool use; setting: robotics/embodied; security/safety; abstract cues: tool; safety. ; check human-study or user-evaluation setup ; Identify the technical reason for high program signal and whether public attention misses it. ; No obvious artifact link; record none/not_applicable unless PDF shows a release.",Supports if the paper gives a concrete technical reason for oral/award/program attention that is not captured by public votes alone.,"Weakens if program signal appears unrelated to technical novelty, or if the paper is not actually program-ahead-of-public after inspection.",Low-public/high-program papers must yield concrete technical reasons for committee attention.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use,reports/review_reading_briefs/67118-position-the-alignment-community-is-unintentionally-building-a-censors.md ; reports/claim_validation_packets/c03-program-committee-attention.md ; reports/claim_evidence_dossiers/c03-program-committee-attention.md ; reports/area_briefing_cards/safety-governance-privacy-and-society.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C03::67118,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
10,C01-65886,10,sprint_01,10,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,C01,LLM reasoning center of gravity,core_thesis_candidate,not_ready,high_priority_unreviewed,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",boundary_check_llm_reasoning,oral; votes=201; github_stars=682; taxonomy_review; evidence=medium,C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,reviewed rows 0/8; support rows 0/5 with 0 weakening rows; paper notes 0/4; taxonomy boundary unresolved,"Benchmark / evaluation: Using RLER, we develop **Deep Research Tulu (DR Tulu-8B)**, the first fully open model that is directly trained for open-ended, long-form deep research. ; Tags: RL / policy optimization; Reasoning / test-time compute; Agents / tool use; setting: math/code/verifiable; language/llm; abstract cues: reinforcement learning; benchmark; agent. ; identify baselines, datasets, metrics, ablations, and negative cases from the PDF ; Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries. ; Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.","Supports if the paper's main contribution is genuinely LLM reasoning, post-training, RLVR, or closely adjacent language-model capability work rather than a generic system/evaluation spillover.","Weakens if the assigned LLM reasoning/post-training label is secondary, wrong, or too broad for the paper's actual contribution.",Boundary papers must confirm this is LLM reasoning/post-training rather than broad LLM infrastructure spillover.,contribution_summary ; novelty_judgment ; method_summary ; evidence_strength ; baselines_checked ; limitations ; claim_implications ; taxonomy_correction ; final_report_use ; artifact_status_checked ; reproducibility_notes,reports/review_reading_briefs/65886-reinforcement-learning-with-evolving-rubrics-for-deep-research.md ; reports/claim_validation_packets/c01-llm-reasoning-center-of-gravity.md ; reports/claim_evidence_dossiers/c01-llm-reasoning-center-of-gravity.md ; reports/area_briefing_cards/llm-reasoning-post-training-and-rlvr.md,data/manual/icml2026_review_sprint_01_paper_notes.csv ; data/manual/claim_review_overrides.csv::C01::65886,"Read PDF, fill paper-note fields, then transfer claim support/taxonomy/artifact judgment through the overlay bridge."
