path,kind,extension,size_bytes,row_count,column_count,columns,json_type,top_level_count,image_width,image_height,description
data/processed/alphaxiv_icml2026_joined.csv,processed_data,csv,11150633,6628,24,alphaxiv_rank; icml_id; title; authors; topic_group; topic; session; scheduled_at; icml_url; alphaxiv_url; arxiv_id; paper_group_id; public_total_votes; total_votes; visits_all; visits_last_7_days; github_stars; github_url; organizations; abstract; matched_icml; is_oral; is_position; award,,,,,Official ICML rows joined with AlphaXiv public-attention and GitHub metadata.
data/processed/alphaxiv_icml2026_metadata.json,processed_data,json,583,,,,dict,9,,,
data/processed/alphaxiv_icml2026_papers.csv,processed_data,csv,11031374,6628,20,alphaxiv_rank; icml_id; title; authors; topic_group; topic; session; scheduled_at; icml_url; alphaxiv_url; arxiv_id; paper_group_id; public_total_votes; total_votes; visits_all; visits_last_7_days; github_stars; github_url; organizations; abstract,,,,,
data/processed/alphaxiv_icml2026_papers.json,processed_data,json,13881063,,,,list,6628,,,
data/processed/arxiv_taxonomy_trend_counts.csv,processed_data,csv,11414,36,6,area; year; arxiv_count; query_terms; query; status,,,,,
data/processed/arxiv_taxonomy_trend_summary.csv,processed_data,csv,2275,12,10,area; arxiv_2024; arxiv_2025; arxiv_2026_ytd; growth_2025_vs_2024; growth_2026_ytd_vs_2025; status_complete; icml2026_taxonomy_papers; icml2026_area_share; query_terms,,,,,Broad arXiv query-count trend summary by taxonomy area.
data/processed/historical_accepted_papers_classified.csv,processed_data,csv,13688681,21293,23,venue; year; event_id; event_type; title; decision; topic; topic_group; authors; institutions; author_count; institution_count; abstract_available; url; paper_url; area; area_score; second_area; second_score; score_margin; confidence; matched_terms; all_area_scores,,,,,Accepted papers from ICML 2026/ICML 2025/NeurIPS 2025/ICLR 2026 classified with a shared keyword scorer.
data/processed/historical_venue_area_summary.csv,processed_data,csv,39573,52,11,venue; year; area; paper_count; share; high_confidence_count; medium_confidence_count; low_confidence_count; uncoded_count; abstract_available_count; representative_titles,,,,,
data/processed/historical_venue_delta_summary.csv,processed_data,csv,1214,12,9,area; icml2026_count; icml2026_share; icml2025_share; neurips2025_share; iclr2026_share; baseline_avg_share; delta_vs_baseline_avg; relative_to_baseline_avg,,,,,ICML 2026 area-share deltas versus neighboring accepted-paper baselines.
data/processed/icml2026_area_briefing_cards.csv,processed_data,csv,35316,12,23,area; brief_path; trust_tier; trust_reason; paper_count; taxonomy_share; oral_enrichment; public_attention_enrichment; historical_delta_vs_baseline; github_url_share; review_rows; reviewed_rows; remaining_rows; headline; fault_lines; read_for; top_subareas; top_methods; top_evaluations; program_papers; public_non_program_papers; artifact_papers; boundary_papers,,,,,"Compact per-area briefing cards with signals, trust tiers, and reading starts."
data/processed/icml2026_area_evidence_summary.csv,processed_data,csv,20005,12,17,area; paper_count; github_url_count; github_url_share; benchmark_mention_count; benchmark_mention_share; dataset_mention_count; dataset_mention_share; metric_mention_count; metric_mention_share; top_primary_contribution_types; top_all_contribution_types; top_method_families; top_evaluation_settings; top_result_claim_types; evidence_confidence_mix; high_signal_examples,,,,,Area-level aggregation of heuristic evidence tags.
data/processed/icml2026_area_fault_lines.csv,processed_data,csv,55224,12,21,area; paper_count; oral_count; award_count; votes_per_paper; github_url_share; taxonomy_clusters; clusters_needing_review; headline; fault_lines; read_for; evidence; top_subareas; top_themes; top_primary_contribution_types; top_method_families; top_evaluation_settings; top_result_claim_types; representative_papers; public_not_program_papers; program_not_public_papers,,,,,
data/processed/icml2026_area_program_calibration.csv,processed_data,csv,23011,12,19,group; paper_count; paper_share; oral_count; oral_rate; oral_share; oral_enrichment; award_count; award_rate; award_share; award_enrichment; total_public_votes; votes_per_paper; public_vote_share; public_attention_enrichment; program_vs_public_delta; high_signal_papers; public_not_program_papers; program_low_public_papers,,,,,Area-level oral/award/public-attention calibration.
data/processed/icml2026_area_risk_register.csv,processed_data,csv,13498,12,23,area; risk_tier; trust_tier; readiness_tier; paper_count; taxonomy_share; oral_enrichment; public_attention_enrichment; historical_delta_vs_baseline; baseline_risk_tier; baseline_issue_types; reviewed_rows; review_rows; taxonomy_clusters_to_adjudicate; low_confidence_rows; program_or_award_rows; github_rows; main_risk_driver; falsification_test; safe_language; recommended_first_checks; brief_path; baseline_safe_language,,,,,"Area-level reliability, falsification, and safe-language register."
data/processed/icml2026_area_validation_reviewed.csv,processed_data,csv,357633,192,42,area; area_review_rank; selection_reason; event_id; title; subarea; semantic_cluster_id; cluster_review_status; cluster_review_notes; is_oral; award; public_total_votes; github_url; artifact_confidence; heuristic_primary_contribution_type; heuristic_contribution_types; heuristic_method_families; heuristic_evaluation_settings; heuristic_result_claim_types; heuristic_benchmark_mentions; heuristic_dataset_mentions; heuristic_metric_mentions; heuristic_evidence_confidence; manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes; url; alphaxiv_url; abstract; review_overlay_present; review_overlay_filled_fields; reviewed; reviewer; review_date; review_source,,,,,Area validation queue merged with manual review overlays.
data/processed/icml2026_artifact_audit_queue.csv,processed_data,csv,69056,160,23,audit_rank; audit_priority_score; audit_category; event_id; title; topic_group; is_oral; award; public_total_votes; github_url; github_repo; alphaxiv_github_stars; artifact_confidence; needs_manual_check_reason; live_status; live_qa_flags; live_license_spdx; live_pushed_at; live_pushed_age_days; audit_reason; manual_checks; alphaxiv_url; icml_url,,,,,Paper-level artifact audit queue for reproducibility and repository-link checks.
data/processed/icml2026_audience_reading_paths.csv,processed_data,csv,224030,250,21,audience; phase; rank; title; why_read; award; is_oral; public_total_votes; visits_last_7_days; github_stars; reading_score; themes; cluster_id; cluster_label; official_topic; sector_mix; authors; canonical_institutions; url; alphaxiv_url; github_url,,,,,Role-specific paper reading tracks.
