audit_type,id,name,readiness_tier,researcher_use,review_rows,reviewed_rows,remaining_rows,taxonomy_review_rows,low_confidence_rows,program_or_award_rows,github_rows,primary_risk,evidence_summary,next_action,selection_mix
area,"AI for Science, Health, and Neuro","AI for Science, Health, and Neuro",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,13,1,10,9,13 queued taxonomy-boundary rows; 1 low-confidence evidence rows,587 papers; taxonomy share 8.9%; oral enrichment 1.08x; public enrichment 0.33x; historical delta +0.9 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 4; taxonomy_boundary_cluster: 2
area,"Agents, Code, and Tool Use","Agents, Code, and Tool Use",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,5,1,10,13,5 queued taxonomy-boundary rows; 1 low-confidence evidence rows; historical baseline interpretation needed,496 papers; taxonomy share 7.5%; oral enrichment 1.19x; public enrichment 1.52x; historical delta +2.1 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 4; taxonomy_boundary_cluster: 2
area,"Data-Centric, Causal, and Federated ML","Data-Centric, Causal, and Federated ML",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,12,1,10,8,12 queued taxonomy-boundary rows; 1 low-confidence evidence rows,526 papers; taxonomy share 7.9%; oral enrichment 0.75x; public enrichment 0.64x; historical delta -0.5 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 4; taxonomy_boundary_cluster: 2
area,Generative Modeling,Generative Modeling,high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,0,4,8,6,4 low-confidence evidence rows,379 papers; taxonomy share 5.7%; oral enrichment 0.83x; public enrichment 0.96x; historical delta +0.5 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; low_evidence_code_confidence: 4; program_signal_low_public_attention: 2
area,"Graphs, Geometry, and Representation Learning","Graphs, Geometry, and Representation Learning",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,12,4,6,6,12 queued taxonomy-boundary rows; 4 low-confidence evidence rows,391 papers; taxonomy share 5.9%; oral enrichment 0.61x; public enrichment 0.38x; historical delta +1.2 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; taxonomy_boundary_cluster: 6; public_attention_not_program_signal: 4
area,"LLM Reasoning, Post-Training, and RLVR","LLM Reasoning, Post-Training, and RLVR",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,15,0,10,11,15 queued taxonomy-boundary rows; historical baseline interpretation needed,1099 papers; taxonomy share 16.6%; oral enrichment 1.29x; public enrichment 2.03x; historical delta +2.9 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 4; taxonomy_boundary_cluster: 2
area,"Multimodal, Vision, and Perception","Multimodal, Vision, and Perception",moderate_to_high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,4,1,10,8,4 queued taxonomy-boundary rows; 1 low-confidence evidence rows; historical baseline interpretation needed,889 papers; taxonomy share 13.4%; oral enrichment 0.58x; public enrichment 0.80x; historical delta -3.1 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 4; taxonomy_boundary_cluster: 2
area,Reinforcement Learning and Control,Reinforcement Learning and Control,high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,0,6,6,6,6 low-confidence evidence rows,312 papers; taxonomy share 4.7%; oral enrichment 0.76x; public enrichment 0.66x; historical delta +0.9 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; low_evidence_code_confidence: 6; public_attention_not_program_signal: 4
area,"Robotics, Embodiment, and World Models","Robotics, Embodiment, and World Models",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,0,8,4,8,8 low-confidence evidence rows; large public/program signal gap,195 papers; taxonomy share 2.9%; oral enrichment 0.81x; public enrichment 2.11x; historical delta +0.4 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; low_evidence_code_confidence: 6; public_attention_not_program_signal: 4
area,"Safety, Governance, Privacy, and Society","Safety, Governance, Privacy, and Society",high,Use for area-level orientation; avoid subarea-level claims until queued papers are reviewed.,16,0,16,0,4,10,4,4 low-confidence evidence rows,502 papers; taxonomy share 7.6%; oral enrichment 1.41x; public enrichment 0.51x; historical delta +1.3 pp,"Review the area validation packet, starting with boundary, low-confidence, and public/program divergence rows.",fault_line_representative: 6; public_attention_not_program_signal: 4; program_signal_low_public_attention: 4; low_evidence_code_confidence: 2
