sector_mix,paper_count
Academia,2860
Academia + Other / unknown,1596
Academia + Industry,704
Academia + Industry + Other / unknown,412
Other / unknown,351
Academia + Research institute,222
Academia + Other / unknown + Research institute,186
Academia + Industry + Research institute,68
Industry,62
Industry + Other / unknown,58
Academia + Industry + Other / unknown + Research institute,42
Other / unknown + Research institute,35
Research institute,11
Industry + Other / unknown + Research institute,9
Unknown,8
Industry + Research institute,4
