target_type,target_file,overlay_key,target_present,event_id,sprint_rank,title,area,subarea,claim_id,note_status,blocking_gap,source_fields_to_read,overlay_fields_to_update,allowed_values,transfer_instruction,claim_implication_prompt,taxonomy_question,artifact_check_prompt,note_claim_implications,note_taxonomy_correction,note_evidence_strength,note_artifact_status_checked,note_final_report_use
area,data/manual/area_review_overrides.csv,"LLM Reasoning, Post-Training, and RLVR::62989",true,62989,1,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C01::62989,true,62989,1,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C08::62989,true,62989,1,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C08,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Decide whether this cluster should remain in the assigned area/subarea or be relabeled.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
area,data/manual/area_review_overrides.csv,"Theory, Optimization, and Algorithms::66206",true,66206,2,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,,,,,
claim,data/manual/claim_review_overrides.csv,C03::66206,true,66206,2,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,,,,,
claim,data/manual/claim_review_overrides.csv,C08::66206,true,66206,2,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C08,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C03 (Program committee attention): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Identify the technical reason for high program signal and whether public attention misses it. | Use high-signal papers to stress-test taxonomy boundaries.,No obvious artifact link; record none/not_applicable unless PDF shows a release.,,,,,
area,data/manual/area_review_overrides.csv,"LLM Reasoning, Post-Training, and RLVR::61998",true,61998,3,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C01::61998,true,61998,3,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
claim,data/manual/claim_review_overrides.csv,C08::61998,true,61998,3,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C08,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes,"manual_claim_support: supports, partial_support, weakens, contradicts, not_applicable, unclear; manual_taxonomy_judgment: correct, too_broad, too_narrow, wrong_area, wrong_subarea, unclear; manual_artifact_judgment: not_applicable, none, linked_unchecked, live_checked, runnable, broken","Use the paper note to decide whether this paper supports, weakens, complicates, or is not applicable to the linked claim; copy concise evidence and caveats into manual_notes.",C01 (LLM reasoning center of gravity): decide supports / weakens / complicates / not_applicable. C08 (Validation priority): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether this is genuinely LLM reasoning/post-training or a broader LLM/system/safety paper. | Use high-signal papers to stress-test taxonomy boundaries.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
area,data/manual/area_review_overrides.csv,Systems and Efficient Foundation Models::65901,true,65901,4,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; baselines_checked; datasets_checked; metrics_checked; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_benchmarks; manual_datasets; manual_metrics; manual_artifact_status; manual_result_character; manual_fault_line_relevance; manual_notes,"manual_validated: yes, partial, no, unclear; manual_primary_contribution_type: method, theory, system, dataset, benchmark, analysis, application, survey_or_position, unclear; manual_artifact_status: none, linked_unchecked, live_checked, runnable, broken, not_applicable; manual_fault_line_relevance: headline, supporting, caveat, not_relevant, unclear","Use the paper note to validate the area/subarea assignment, contribution type, method/evidence fields, artifact status, and whether the paper should be a headline, support, caveat, or excluded example.",C02 (Infrastructure and agentic workloads): decide supports / weakens / complicates / not_applicable. C06 (External trend context): decide supports / weakens / complicates / not_applicable.,Resolve whether the assigned area/subarea is truly the main contribution. Check whether public signal reflects core infrastructure/agent workloads or broad LLM spillover. | Check whether broad arXiv-growth terms correspond to the paper's actual contribution.,"Open GitHub link; record whether it is code, dataset, checkpoint, benchmark, project page, broken, or non-reproducible.",,,,,
