audit_rank,audit_priority_score,audit_category,event_id,title,topic_group,is_oral,award,public_total_votes,github_url,github_repo,alphaxiv_github_stars,artifact_confidence,needs_manual_check_reason,live_status,live_qa_flags,live_license_spdx,live_pushed_at,live_pushed_age_days,audit_reason,manual_checks,alphaxiv_url,icml_url
1,3038,linked_needs_repro_check,66675,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System,Other,false,,17,https://github.com/sgl-project/sglang,sgl-project/sglang,30219,github_url_with_stars,,live,,Apache-2.0,2026-07-14T08:55:29Z,0,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2602.06932,https://icml.cc/virtual/2026/poster/66675
2,2231,repo_flagged_live_check,60982,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints,General Machine Learning,false,,2,https://github.com/academicpages/academicpages.github.io,academicpages/academicpages.github.io,17294,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,MIT,2026-06-25T13:14:07Z,18,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2512.23566,https://icml.cc/virtual/2026/poster/60982
3,1898,linked_needs_repro_check,68817,Process Reward Models That Think,Deep Learning,false,,1815,https://github.com/mukhal/thinkprm,mukhal/thinkprm,89,github_url_with_stars,,live,,,2025-11-29T01:27:14Z,227,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2504.16828,https://icml.cc/virtual/2026/poster/68817
4,1546,linked_needs_repro_check,62989,How much can language models memorize?,Other,true,Outstanding Paper Honorable Mention,271,https://github.com/SimonCao1207/LLM-Capacity,SimonCao1207/LLM-Capacity,2,github_url_with_stars,,live,,,2025-07-07T06:08:03Z,372,"GitHub URL exists; inspect runnable code, data/checkpoints, license, and reproduction instructions.",artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2505.24832,https://icml.cc/virtual/2026/poster/62989
5,1517,high_signal_no_github,60542,Motion Attribution for Video Generation,Deep Learning,true,Outstanding Paper Honorable Mention,67,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2601.08828,https://icml.cc/virtual/2026/poster/60542
6,1495,repo_flagged_live_check,66596,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,Applications,true,,14,https://github.com/eliahuhorwitz/Academic-project-page-template,eliahuhorwitz/Academic-project-page-template,5069,needs_manual_check,template_or_index_like_url,live,suspicious_template_or_index,,2025-09-04T19:11:15Z,312,GitHub API QA flags: suspicious_template_or_index,confirm link belongs to the paper; reject template/index/star-inflated repo; artifact_type; license; install_or_run_instructions; data_or_checkpoint_access; result_reproduction_path,https://www.alphaxiv.org/abs/2605.22671,https://icml.cc/virtual/2026/poster/66596
7,1464,high_signal_no_github,62241,A Random Matrix Perspective on the Consistency of Diffusion Models,Deep Learning,true,Outstanding Paper Honorable Mention,14,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.02908,https://icml.cc/virtual/2026/poster/62241
8,1459,high_signal_no_github,65132,High-accuracy sampling for diffusion models and log-concave distributions,Theory,true,Outstanding Paper Award,9,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2602.01338,https://icml.cc/virtual/2026/poster/65132
9,1457,high_signal_no_github,66206,To Grok Grokking: Provable Grokking in Ridge Regression,Theory,true,Outstanding Paper Honorable Mention,7,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",https://www.alphaxiv.org/abs/2601.19791,https://icml.cc/virtual/2026/poster/66206
10,1450,high_signal_no_github,67084,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),Social Aspects,true,Outstanding Position Paper Honorable Mention,0,,,0,no_github_url,,,,,,,High-signal paper has no GitHub URL in AlphaXiv metadata.,"search paper/pdf/supplement for code, data, project page, or delayed release statement",,https://icml.cc/virtual/2026/poster/67084
