event_id,sprint_rank,review_phase,title,area,subarea,claim_ids,why_first,signals,method_families,evaluation_settings,benchmark_mentions,dataset_mentions,metric_mentions,claim_overlay_keys,area_overlay_keys,icml_url,alphaxiv_url,github_url,reviewer,review_date,review_source,paper_read_status,contribution_summary,novelty_judgment,method_summary,evidence_strength,baselines_checked,datasets_checked,metrics_checked,limitations,artifact_status_checked,reproducibility_notes,claim_implications,taxonomy_correction,representative_quote_or_result,final_report_use,paper_note
62989,1,main_thesis_claims,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,oral; Outstanding Paper Honorable Mention; votes=271; github_stars=2; taxonomy_review; evidence=medium,Transformer / attention,language/llm,,,,C01::62989 | C08::62989,"LLM Reasoning, Post-Training, and RLVR::62989",https://icml.cc/virtual/2026/poster/62989,https://www.alphaxiv.org/abs/2505.24832,https://github.com/SimonCao1207/LLM-Capacity,,,,,,,,,,,,,,,,,,,
66206,2,main_thesis_claims,To Grok Grokking: Provable Grokking in Ridge Regression,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,C03; C08,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; low-confidence evidence code,oral; Outstanding Paper Honorable Mention; votes=7; taxonomy_review; evidence=low,,theory/synthetic,,,,C03::66206 | C08::66206,"Theory, Optimization, and Algorithms::66206",https://icml.cc/virtual/2026/poster/66206,https://www.alphaxiv.org/abs/2601.19791,,,,,,,,,,,,,,,,,,,,
61998,3,main_thesis_claims,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; award paper; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,oral; Outstanding Paper Award; votes=92; github_stars=212; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Diffusion / flow,language/llm,,,accuracy,C01::61998 | C08::61998,"LLM Reasoning, Post-Training, and RLVR::61998",https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165,https://github.com/LeapLabTHU/JustGRPO,,,,,,,,,,,,,,,,,,,
65901,4,main_thesis_claims,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,Systems and Efficient Foundation Models,"Large-scale training, optimizers, and model architecture",C02; C06,in claim-validation queue; supports priority claim(s) C02; in area-validation queue; priority report area; taxonomy boundary needs review; low-confidence evidence code; artifact-visible; high AlphaXiv attention; public attention without program signal,votes=365; github_stars=627; taxonomy_review; evidence=low,RL / policy optimization; LLM post-training,,,,,C02::65901 | C06::65901,Systems and Efficient Foundation Models::65901,https://icml.cc/virtual/2026/poster/65901,https://www.alphaxiv.org/abs/2603.12228,https://github.com/sunrainyg/RandOpt,,,,,,,,,,,,,,,,,,,
65332,5,main_thesis_claims,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; high AlphaXiv attention,oral; votes=259; github_stars=194; taxonomy_review; evidence=medium,RL / policy optimization; Diffusion / flow,language/llm,,,pass@k; reward,C01::65332 | C08::65332,"LLM Reasoning, Post-Training, and RLVR::65332",https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710,https://github.com/tajwarfahim/maxrl,,,,,,,,,,,,,,,,,,,
65206,6,main_thesis_claims,PaperBanana: Automating Academic Illustration for AI Scientists,"Agents, Code, and Tool Use","Agent evaluation, tool use, and agentic workflows",C02; C07,"in claim-validation queue; supports priority claim(s) C02, C07; in area-validation queue; priority report area; artifact-visible; high AlphaXiv attention; public attention without program signal",votes=420; github_stars=6765; evidence=medium,Agents / tool use,vision/video; language/llm,PaperBananaBench,,,C02::65206 | C07::65206,"Agents, Code, and Tool Use::65206",https://icml.cc/virtual/2026/poster/65206,https://www.alphaxiv.org/abs/2601.23265,https://github.com/dwzhu-pku/PaperBanana,,,,,,,,,,,,,,,,,,,
60766,7,main_thesis_claims,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Safety, Governance, Privacy, and Society","Adversarial safety, attacks, and security",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal; artifact-visible,oral; Outstanding Paper Honorable Mention; votes=14; github_stars=13; evidence=medium,RL / policy optimization; LLM post-training,language/llm,,,reward,C03::60766,"Safety, Governance, Privacy, and Society::60766",https://icml.cc/virtual/2026/poster/60766,https://www.alphaxiv.org/abs/2602.15515,https://github.com/AlignmentResearch/obfuscation-atlas,,,,,,,,,,,,,,,,,,,
67084,8,main_thesis_claims,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal,oral; Outstanding Position Paper Honorable Mention; votes=0; evidence=medium,Agents / tool use,vision/video; security/safety; theory/synthetic,,,,C03::67084,"Safety, Governance, Privacy, and Society::67084",https://icml.cc/virtual/2026/poster/67084,,,,,,,,,,,,,,,,,,,,,
67118,9,main_thesis_claims,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Safety, Governance, Privacy, and Society","Position papers, policy, and social impacts",C03,in claim-validation queue; supports priority claim(s) C03; in area-validation queue; priority report area; award paper; oral/program signal,oral; Outstanding Position Paper Award; votes=0; evidence=medium,LLM post-training; Agents / tool use,robotics/embodied; security/safety,,,,C03::67118,"Safety, Governance, Privacy, and Society::67118",https://icml.cc/virtual/2026/poster/67118,,,,,,,,,,,,,,,,,,,,,
65886,10,main_thesis_claims,Reinforcement Learning with Evolving Rubrics for Deep Research,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",C01; C08,in claim-validation queue; supports priority claim(s) C01; in area-validation queue; priority report area; oral/program signal; taxonomy boundary needs review; artifact-visible; moderate AlphaXiv attention,oral; votes=201; github_stars=682; taxonomy_review; evidence=medium,RL / policy optimization; Reasoning / test-time compute; Agents / tool use,math/code/verifiable; language/llm,,,,C01::65886 | C08::65886,"LLM Reasoning, Post-Training, and RLVR::65886",https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399,https://github.com/rlresearch/dr-tulu,,,,,,,,,,,,,,,,,,,
