claim_id,claim_theme,claim_strength,priority_claim,claim_review_rank,event_id,title,area,subarea,selection_reason,pre_review_bucket,pre_review_rationale,keyword_hits,is_oral,award,public_total_votes,github_url,github_stars,needs_manual_check_reason,taxonomy_review_status,evidence_confidence,abstract_excerpt,manual_claim_support,manual_taxonomy_judgment,manual_artifact_judgment,url,alphaxiv_url
C01,LLM reasoning center of gravity,strong_for_landscape,true,1,62989,How much can language models memorize?,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; memorization,true,Outstanding Paper Honorable Mention,271,https://github.com/SimonCao1207/LLM-Capacity,2,,needs_review,medium,"We propose a new method for estimating how much a model knows about a datapoint and use it to measure the capacity of modern language models. Prior studies of language model memorization have struggled to disentangle memorization from generalization. We formally separate memorization into two components: unintended memorization, the information a model contains about a specific dataset, and generalization, the information a model contains about the true data-generation process. When we completely eliminate...",,,,https://icml.cc/virtual/2026/poster/62989,https://www.alphaxiv.org/abs/2505.24832
C01,LLM reasoning center of gravity,strong_for_landscape,true,2,61998,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; reasoning; grpo; diffusion language,true,Outstanding Paper Award,92,https://github.com/LeapLabTHU/JustGRPO,212,,needs_review,medium,"Diffusion Large Language Models (dLLMs) break the rigid left-to-right constraint of traditional LLMs, enabling token generation in arbitrary orders. Intuitively, this flexibility implies a solution space that strictly supersets the fixed autoregressive trajectory, theoretically unlocking superior reasoning potential. Indeed, for specific constraint satisfaction tasks (e.g., sudoku puzzles), this capability has proven to be highly advantageous. However, in this paper, we reveal that for general reasoning tasks...",,,,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
C01,LLM reasoning center of gravity,strong_for_landscape,true,3,65332,Maximum Likelihood Reinforcement Learning,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",llm; reinforcement learning; reward; grpo,true,,259,https://github.com/tajwarfahim/maxrl,194,,needs_review,medium,"Maximum likelihood is fundamental to supervised learning but it cannot be directly applied in correctness-based problems with non-differentiable sampling. In these settings, reinforcement learning (RL) is typically used to maximize expected reward. We show that for binary correctness tasks, expected-reward RL is a first-order approximation of the maximum likelihood objective, yielding vanishing learning signal on low-success inputs. We introduce **Maximum Likelihood Reinforcement Learning (MaxRL)**, a...",,,,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710
C01,LLM reasoning center of gravity,strong_for_landscape,true,4,65886,Reinforcement Learning with Evolving Rubrics for Deep Research,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",llm; reasoning; reinforcement learning; reward,true,,201,https://github.com/rlresearch/dr-tulu,682,,needs_review,medium,"Deep research agents perform multi-step research to produce long-form, well-attributed answers. However, most open deep research agents are trained on easily verifiable short-form QA tasks via reinforcement learning with verifiable rewards, which does not extend to realistic long-form tasks. We address this with **Reinforcement Learning with Evolving Rubrics (RLER)**, where rubrics are constructed and maintained to *co-evolve* with the policy model during training. This allows the rubrics to incorporate newly...",,,,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399
C01,LLM reasoning center of gravity,strong_for_landscape,true,5,65446,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,"LLM Reasoning, Post-Training, and RLVR","General LLM training, evaluation, and alignment",llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; post-training,true,,75,,0,,needs_review,medium,"Large language model (LLM) activations are notoriously difficult to understand, with most existing techniques using complex, specialized methods for interpreting them. Recent work has proposed a simpler approach known as LatentQA: training LLMs to directly accept LLM activations as inputs and answer arbitrary questions about them in natural language. However, prior work has focused on narrow task settings for both training and evaluation. In this paper, we instead take a generalist perspective. We evaluate...",,,,https://icml.cc/virtual/2026/poster/65446,https://www.alphaxiv.org/abs/2512.15674
C01,LLM reasoning center of gravity,strong_for_landscape,true,6,64095,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; reasoning; diffusion language,true,,60,https://github.com/Tencent/WeDLM,644,,needs_review,medium,"Autoregressive (AR) generation is the standard decoding paradigm for Large Language Models (LLMs), but its token-by-token nature limits parallelism at inference time. Diffusion Language Models (DLLMs) offer parallel decoding by recovering multiple masked tokens per step; however, in practice they often fail to translate this parallelism into speed gains over optimized AR engines (e.g., vLLM). A key reason is that many DLLMs rely on bidirectional attention, which breaks standard prefix KV caching. We propose...",,,,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
C01,LLM reasoning center of gravity,strong_for_landscape,true,7,61926,OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration,"LLM Reasoning, Post-Training, and RLVR",Diffusion language models and decoding,llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; pre-training,true,,57,,0,,needs_review,medium,"As high-quality public text approaches exhaustion, a phenomenon known as the Data Wall—LLM pre-training is shifting from more tokens to better tokens. However, existing methods either rely on heuristic static filters that ignore training dynamics, or use dynamic yet optimizer-agnostic criteria based on raw gradients. We propose OPUS (Optimizer-induced Projected Utility Selection), a dynamic framework that defines utility in the optimizer-induced update space. OPUS scores candidates by projecting their effective...",,,,https://icml.cc/virtual/2026/poster/61926,https://www.alphaxiv.org/abs/2602.05400
C01,LLM reasoning center of gravity,strong_for_landscape,true,8,60765,Learning to Theorize the World from Observation,"LLM Reasoning, Post-Training, and RLVR",Reasoning models and chain-of-thought behavior,llm_boundary_cluster,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",llm,true,,56,,0,,needs_review,low,"What does it mean to understand the world? Is it simply to predict future video frames? Developmental cognitive science suggests that understanding the world is fundamentally the process of constructing internal theories of how it works rather than mere prediction, even before language is acquired. However, in machine learning, it remains unclear how to endow AI systems with such theory-building capability from raw, non-textual observation alone. In this paper, we introduce Learning-to-Theorize (L2T), a...",,,,https://icml.cc/virtual/2026/poster/60765,https://www.alphaxiv.org/abs/2605.03413
C01,LLM reasoning center of gravity,strong_for_landscape,true,9,68817,Process Reward Models That Think,"LLM Reasoning, Post-Training, and RLVR",RL for reasoning models and verifiable rewards,llm_high_attention_core,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",llm; reasoning; post-training; reward,false,,1815,https://github.com/mukhal/thinkprm,89,,stable_seed,medium,"Step-by-step verifiers—also known as process reward models (PRMs)—are a key ingredient for test-time scaling, but training them requires expensive step-level supervision. This work aims to build data-efficient PRMs as verbalized step-wise reward models that verify every step in the solution by generating a verification chain-of-thought (CoT). We propose ThinkPRM, a long CoT verifier fine-tuned on orders of magnitude fewer process labels than those required by discriminative PRMs. Our approach capitalizes on the...",,,,https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828
C01,LLM reasoning center of gravity,strong_for_landscape,true,10,64121,Reinforcement Learning via Self-Distillation,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",llm_high_attention_core,likely_supports,"Abstract/title centrally discuss LLMs, reasoning, memorization, diffusion language models, or RL/post-training.",language model; llm; reasoning; post-training; reinforcement learning; reward,false,,718,https://github.com/lasgroup/SDPO,1008,,needs_review,medium,"Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. Yet, current methods for reinforcement learning with verifiable rewards (RLVR) learn only from a scalar outcome reward per attempt, creating a severe credit-assignment bottleneck. Many verifiable environments actually provide rich textual feedback, such as runtime errors or judge evaluations, that explain *why* an attempt failed. We formalize this setting as reinforcement learning with...",,,,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
