target_type,target_file,overlay_key,target_present,event_id,sprint_rank,title,target_claims,claim_id,note_status,blocking_gap,source_fields_to_read,overlay_fields_to_update
claim,data/manual/claim_review_overrides.csv,C05::60542,true,60542,1,Motion Attribution for Video Generation,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Multimodal, Vision, and Perception::60542",true,60542,1,Motion Attribution for Video Generation,C05,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C05::65954,true,65954,2,Multimodal Nested Learning for Decoupled and Coordinated Optimization,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Multimodal, Vision, and Perception::65954",true,65954,2,Multimodal Nested Learning for Decoupled and Coordinated Optimization,C05,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C05::65729,true,65729,3,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
claim,data/manual/claim_review_overrides.csv,C06::65729,true,65729,3,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,C05,C06,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Multimodal, Vision, and Perception::65729",true,65729,3,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,C05,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C05::63195,true,63195,4,BabyVision: Visual Reasoning Beyond Language,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
claim,data/manual/claim_review_overrides.csv,C06::63195,true,63195,4,BabyVision: Visual Reasoning Beyond Language,C05,C06,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Multimodal, Vision, and Perception::63195",true,63195,4,BabyVision: Visual Reasoning Beyond Language,C05,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C05::63623,true,63623,5,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
claim,data/manual/claim_review_overrides.csv,C06::63623,true,63623,5,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,C05,C06,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Multimodal, Vision, and Perception::63623",true,63623,5,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,C05,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
claim,data/manual/claim_review_overrides.csv,C05::65709,true,65709,6,A Very Big Video Reasoning Suite,C05,C05,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
claim,data/manual/claim_review_overrides.csv,C06::65709,true,65709,6,A Very Big Video Reasoning Suite,C05,C06,pending_note,paper note not started,claim_implications; taxonomy_correction; artifact_status_checked; evidence_strength; limitations; final_report_use,manual_claim_support; manual_taxonomy_judgment; manual_artifact_judgment; manual_notes
area,data/manual/area_review_overrides.csv,"Multimodal, Vision, and Perception::65709",true,65709,6,A Very Big Video Reasoning Suite,C05,,pending_note,paper note not started,contribution_summary; novelty_judgment; method_summary; evidence_strength; taxonomy_correction; final_report_use,manual_validated; manual_primary_contribution_type; manual_method_family; manual_artifact_status; manual_fault_line_relevance; manual_notes
