area,event_id,global_review_rank,area_review_rank,title,subarea,selection_reason,reviewer,review_date,review_source,manual_validated,manual_primary_contribution_type,manual_method_family,manual_benchmarks,manual_datasets,manual_metrics,manual_artifact_status,manual_result_character,manual_fault_line_relevance,manual_notes
"LLM Reasoning, Post-Training, and RLVR",62989,1,1,How much can language models memorize?,Diffusion language models and decoding,fault_line_representative,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",66206,2,1,To Grok Grokking: Provable Grokking in Ridge Regression,Statistical learning theory and regression,fault_line_representative,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",61998,3,2,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Reasoning models and chain-of-thought behavior,fault_line_representative,,,,,,,,,,,,,
Systems and Efficient Foundation Models,65901,4,10,Neural Thickets: Diverse Task Experts Are Dense Around Pretrained Weights,"Large-scale training, optimizers, and model architecture",public_attention_not_program_signal,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",65332,5,3,Maximum Likelihood Reinforcement Learning,"Reward modeling, preference feedback, and RL post-training",fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",65206,6,8,PaperBanana: Automating Academic Illustration for AI Scientists,"Agent evaluation, tool use, and agentic workflows",public_attention_not_program_signal,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",60766,7,1,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,"Adversarial safety, attacks, and security",fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",67084,8,2,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),"Position papers, policy, and social impacts",fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",67118,9,3,Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit,"Position papers, policy, and social impacts",fault_line_representative,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",65886,10,4,Reinforcement Learning with Evolving Rubrics for Deep Research,"Reward modeling, preference feedback, and RL post-training",fault_line_representative,,,,,,,,,,,,,
Systems and Efficient Foundation Models,66212,11,1,Controlled LLM Training on Spectral Sphere,"Large-scale training, optimizers, and model architecture",fault_line_representative,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",64121,12,8,Reinforcement Learning via Self-Distillation,"Reward modeling, preference feedback, and RL post-training",public_attention_not_program_signal,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",65446,13,5,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,"General LLM training, evaluation, and alignment",fault_line_representative,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",63333,14,10,GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization,"Reward modeling, preference feedback, and RL post-training",public_attention_not_program_signal,,,,,,,,,,,,,
Systems and Efficient Foundation Models,61870,15,7,mHC: Manifold-Constrained Hyper-Connections,"Large-scale training, optimizers, and model architecture",public_attention_not_program_signal,,,,,,,,,,,,,
Systems and Efficient Foundation Models,62943,16,9,Evolution Strategies at the Hyperscale,"Large-scale training, optimizers, and model architecture",public_attention_not_program_signal,,,,,,,,,,,,,
"Agents, Code, and Tool Use",65888,17,7,Learning to Discover at Test Time,"Multi-agent search, planning, and coordination",public_attention_not_program_signal,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",64488,18,9,Agent Learning via Early Experience,"Reward modeling, preference feedback, and RL post-training",public_attention_not_program_signal,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",64095,19,6,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,Diffusion language models and decoding,fault_line_representative,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",66596,20,4,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,Vision-language-action models and robotic manipulation,fault_line_representative,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",61180,21,15,Latent Collaboration in Multi-Agent Systems,Reasoning models and chain-of-thought behavior,taxonomy_boundary_cluster,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",63048,22,2,Equivalence of Context and Parameter Updates in Modern Transformer Blocks,Transformer theory and attention expressivity,fault_line_representative,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",63638,23,5,Optimal Decision-Making Based on Prediction Sets,Statistical learning theory and regression,fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",64377,24,1,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,"Agent evaluation, tool use, and agentic workflows",fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",63095,25,2,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,"Agent evaluation, tool use, and agentic workflows",fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",67247,26,5,Position: Stop Automating Peer Review Without Rigorous Evaluation,"Position papers, policy, and social impacts",fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",62794,31,9,ToolOrchestra: Elevating Intelligence via Efficient Model and Tool Orchestration,"Agent evaluation, tool use, and agentic workflows",public_attention_not_program_signal,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",68817,32,7,Process Reward Models That Think,RL for reasoning models and verifiable rewards,public_attention_not_program_signal,,,,,,,,,,,,,
Systems and Efficient Foundation Models,63436,33,8,xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction,Long-context attention and KV-cache compression,public_attention_not_program_signal,,,,,,,,,,,,,
"Agents, Code, and Tool Use",62992,34,4,Monitoring Monitorability,"Agent evaluation, tool use, and agentic workflows",fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",65657,36,6,Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,"Adversarial safety, attacks, and security",fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",65622,37,6,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,"Agent evaluation, tool use, and agentic workflows",fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",63099,38,3,daVinci-Dev: Agent-native Mid-training for Software Engineering,"Agent evaluation, tool use, and agentic workflows",fault_line_representative,,,,,,,,,,,,,
"Agents, Code, and Tool Use",62732,39,5,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,"Agent evaluation, tool use, and agentic workflows",fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",67238,40,4,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,"Position papers, policy, and social impacts",fault_line_representative,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",62793,41,4,Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach,Bayesian and probabilistic methods,fault_line_representative,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",61486,42,3,Non-Euclidean Gradient Descent Operates at the Edge of Stability,"Convex, stochastic, and nonconvex optimization",fault_line_representative,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",60542,58,1,Motion Attribution for Video Generation,"3D, video, motion, and spatial understanding",fault_line_representative,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",65954,59,11,Multimodal Nested Learning for Decoupled and Coordinated Optimization,Multimodal representation and cross-modal alignment,program_signal_low_public_attention,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",64760,60,8,Dimensional Collapse in Transformer Attention Outputs: A Challenge for Sparse Dictionary Learning,Transformer theory and attention expressivity,public_attention_not_program_signal,,,,,,,,,,,,,
"Agents, Code, and Tool Use",66728,61,14,Unsupervised Partner Design Enables Robust Ad-hoc Teamwork,"Multi-agent search, planning, and coordination",program_signal_low_public_attention,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",63561,62,1,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning,"Continual learning, forgetting, and task adaptation",fault_line_representative,,,,,,,,,,,,,
"Data-Centric, Causal, and Federated ML",61434,63,7,Self-Distillation Enables Continual Learning,"Continual learning, forgetting, and task adaptation",public_attention_not_program_signal,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",64450,65,7,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful,"Position papers, policy, and social impacts",public_attention_not_program_signal,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",65316,66,8,Who Said Neural Networks Aren't Linear?,Equivariant graph and geometric networks,public_attention_not_program_signal,,,,,,,,,,,,,
"Graphs, Geometry, and Representation Learning",65556,67,7,Deep sequence models tend to memorize geometrically; it is unclear why.,Geometric representation learning and manifolds,public_attention_not_program_signal,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",63441,68,11,Diffract: Spectral View of LLM Domain Adaptation,"General LLM training, evaluation, and alignment",program_signal_low_public_attention,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",65064,69,12,FlatLand: Personalized Graph Federated Learning via Tailored Lorentz Space,"General LLM training, evaluation, and alignment",program_signal_low_public_attention,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",60884,70,13,Information Flow Reveals When to Trust Language Models,"General LLM training, evaluation, and alignment",program_signal_low_public_attention,,,,,,,,,,,,,
"LLM Reasoning, Post-Training, and RLVR",61615,71,14,On the Limits of LLM Adaptability: Impact of LLM Pre-Training on Annotation Task Performance,"General LLM training, evaluation, and alignment",program_signal_low_public_attention,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",60907,72,12,DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection,"Vision robustness, detection, and adversarial perception",program_signal_low_public_attention,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",62535,73,13,Privacy-Aware Video Anomaly Detection: Guided Orthogonal Projection and a Comprehensive Evaluation Framework,"Vision robustness, detection, and adversarial perception",program_signal_low_public_attention,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",65729,74,9,ExSkill: Continual Learning from Experience and Skills in Multimodal Agents,Multimodal representation and cross-modal alignment,public_attention_not_program_signal,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",63195,75,10,BabyVision: Visual Reasoning Beyond Language,Vision-language reasoning and video understanding,public_attention_not_program_signal,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",63623,76,8,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,Vision-language reasoning and video understanding,public_attention_not_program_signal,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",66446,77,9,Reasoning Models Struggle to Control their Chains of Thought,"Position papers, policy, and social impacts",public_attention_not_program_signal,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",65709,78,7,A Very Big Video Reasoning Suite,Vision-language reasoning and video understanding,public_attention_not_program_signal,,,,,,,,,,,,,
"Multimodal, Vision, and Perception",62726,79,3,Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning,Vision-language reasoning and video understanding,fault_line_representative,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",61446,80,8,The Assistant Axis: Situating and Stabilizing the Default Persona of Language Models,"Adversarial safety, attacks, and security",public_attention_not_program_signal,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",61757,81,10,World Guidance: World Modeling in Condition Space for Action Generation,Vision-language-action models and robotic manipulation,public_attention_not_program_signal,,,,,,,,,,,,,
"Robotics, Embodiment, and World Models",64904,82,7,Temporal Straightening for Latent Planning,Vision-language-action models and robotic manipulation,public_attention_not_program_signal,,,,,,,,,,,,,
"Safety, Governance, Privacy, and Society",67142,84,13,"Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics","Position papers, policy, and social impacts",program_signal_low_public_attention,,,,,,,,,,,,,
"Theory, Optimization, and Algorithms",63852,85,14,Equilibrium Pricing in Oligopolistic Data Markets,"Online learning, bandits, and regret",program_signal_low_public_attention,,,,,,,,,,,,,
