area,paper_count,share,oral_count,oral_rate,award_count,total_public_votes,votes_per_paper,github_url_count,github_url_share,subareas,semantic_clusters,top_topic_groups,representative_papers
"LLM Reasoning, Post-Training, and RLVR",1099,0.1658,36,0.0328,2,20383,18.55,349,0.3176,"General LLM training, evaluation, and alignment (290); Reasoning models and chain-of-thought behavior (211); Reward modeling, preference feedback, and RL post-training (164); RL for reasoning models and verifiable rewards (161); Diffusion language models and decoding (145); LLM preference tuning and alignment training (128)",24 (290); 11 (211); 2 (164); 35 (161); 14 (145); 21 (128),Deep Learning (668); Social Aspects (101); Unknown (98); Applications (78); Reinforcement Learning (77); General Machine Learning (45); Theory (19); Probabilistic Methods (9),How much can language models memorize? | The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models | Maximum Likelihood Reinforcement Learning | Reinforcement Learning with Evolving Rubrics for Deep Research | Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference | OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration | Learning to Theorize the World from Observation
"Multimodal, Vision, and Perception",889,0.1341,13,0.0146,1,6449,7.25,262,0.2947,"Vision-language reasoning and video understanding (272); Multimodal representation and cross-modal alignment (237); 3D, video, motion, and spatial understanding (203); Vision robustness, detection, and adversarial perception (177)",22 (272); 0 (237); 25 (203); 36 (177),Applications (430); Deep Learning (265); Unknown (81); General Machine Learning (52); Social Aspects (51); Reinforcement Learning (6); Optimization (2); Theory (2),Motion Attribution for Video Generation | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence | Bad Seeing or Bad Thinking? Rewarding Perception for Multimodal Reasoning | Are VLMs Seeing or Just Saying? Uncovering the Illusion of Visual Re-examination | 3ViewSense: Spatial and Mental Perspective Reasoning from Orthographic Views in Vision-Language Models | CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal | Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust? | DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection
"Theory, Optimization, and Algorithms",737,0.1112,27,0.0366,1,3103,4.21,87,0.118,"Statistical learning theory and regression (180); Online learning, bandits, and regret (172); Convex, stochastic, and nonconvex optimization (127); Bayesian and probabilistic methods (125); Transformer theory and attention expressivity (98); Quantum, matrix, and numerical optimization (35)",7 (180); 33 (172); 28 (127); 32 (125); 20 (98); 38 (35),Theory (233); Optimization (105); Probabilistic Methods (101); Deep Learning (100); General Machine Learning (92); Unknown (55); Social Aspects (23); Applications (18),To Grok Grokking: Provable Grokking in Ridge Regression | Equivalence of Context and Parameter Updates in Modern Transformer Blocks | Non-Euclidean Gradient Descent Operates at the Edge of Stability | Markov Chain Monte Carlo without Evaluating the Target: an Auxiliary Variable Approach | Optimal Decision-Making Based on Prediction Sets | Rational Transductors | On the Convergence Rate of LoRA Gradient Descent | Focus and Dilution: The Multi-stage Learning Process of Attention
"AI for Science, Health, and Neuro",587,0.0886,16,0.0273,0,1764,3.01,114,0.1942,"Time series and forecasting applications (160); Protein, molecule, and biological modeling (148); Physical sciences, chemistry, and climate (128); Latent dynamics, neuroscience, and dynamical systems (84); Spiking neural networks and neural signals (67)",39 (160); 27 (148); 9 (128); 13 (84); 1 (67),Applications (384); Deep Learning (103); General Machine Learning (37); Unknown (26); Probabilistic Methods (12); Theory (12); Social Aspects (9); Optimization (3),Protein Autoregressive Modeling via Multiscale Structure Generation | dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning | Orthogonal Concept Erasure for Diffusion Models | LASER: Learning Active Sensing for Continuum Field Reconstruction | From Text to Forecasts: Bridging Modality Gap with Temporal Evolution Semantic Space | Protein Fold Classification at Scale: Benchmarking and Pretraining | Training-Free Bayesian Filtering with Generative Emulators | Scalable Event Cloud Network for Event-based Classification
"Data-Centric, Causal, and Federated ML",526,0.0794,10,0.019,0,3060,5.82,86,0.1635,"Labels, datasets, and supervised data quality (192); Continual learning, forgetting, and task adaptation (138); Causal inference and causal discovery (111); Federated learning and distributed clients (85)",17 (192); 10 (138); 5 (111); 31 (85),General Machine Learning (227); Deep Learning (110); Social Aspects (53); Applications (52); Unknown (45); Theory (18); Optimization (11); Probabilistic Methods (7),Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning | Midtraining Bridges Pretraining and Posttraining Distributions | Expressivity-Efficiency Tradeoffs for Hybrid Sequence Models | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | Exact Functional ANOVA Decomposition for Categorical Inputs | A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Incentivizing Truthfulness and Collaborative Fairness in Bayesian Learning | Detecting the Semantic Fixed Point: A Geometric Framework for Efficient Inference
Systems and Efficient Foundation Models,515,0.0777,9,0.0175,0,6165,11.97,126,0.2447,"Large-scale training, optimizers, and model architecture (198); Serving, GPU memory, MoE, and throughput (116); Long-context attention and KV-cache compression (113); Quantization and low-precision training/inference (88)",26 (198); 29 (116); 3 (113); 19 (88),Deep Learning (314); General Machine Learning (53); Unknown (52); Optimization (40); Applications (29); Theory (16); Social Aspects (8); Reinforcement Learning (2),Controlled LLM Training on Spectral Sphere | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation | FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU | ECHO: Elastic Speculative Decoding with Sparse Gating for High-Concurrency Scenarios | FlashSketch: Sketch-Kernel Co-Design for Fast Sparse Sketching on GPUs | MuonSSM: Orthogonalizing State Space Models for Sequence Modeling | ReQAT: Achieving Full-Precision Reasoning Accuracy with 4-bit Floating-Point Quantization-Aware Training | Faster Activation Functions at the Edge for Post-Training Speedups
"Safety, Governance, Privacy, and Society",502,0.0757,18,0.0359,3,2328,4.64,100,0.1992,"Adversarial safety, attacks, and security (245); Position papers, policy, and social impacts (173); Privacy, differential privacy, and unlearning (84)",12 (245); 37 (173); 23 (84),Social Aspects (349); Deep Learning (48); Unknown (43); Applications (25); General Machine Learning (20); Theory (10); Reinforcement Learning (6); Probabilistic Methods (1),The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes | Position: The Alignment Community is Unintentionally Building a Censor’s Toolkit | Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII) | Position: Anthropomorphic Misalignment Research Needs Stronger Evidence | Position: Stop Automating Peer Review Without Rigorous Evaluation | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking | Quantifying Frontier LLM Capabilities for Container Sandbox Escape | When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models
"Agents, Code, and Tool Use",496,0.0748,15,0.0302,0,6878,13.87,163,0.3286,"Agent evaluation, tool use, and agentic workflows (207); Multi-agent search, planning, and coordination (150); Code LLMs, verification, and software tasks (139)",40 (207); 30 (150); 6 (139),Deep Learning (198); Applications (88); General Machine Learning (64); Unknown (60); Reinforcement Learning (32); Social Aspects (23); Optimization (22); Probabilistic Methods (5),$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning | daVinci-Dev: Agent-native Mid-training for Software Engineering | Monitoring Monitorability | Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections | CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability | SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients | OMAC: A Holistic Optimization Framework for LLM-Based Multi-Agent Collaboration
"Graphs, Geometry, and Representation Learning",391,0.059,6,0.0153,0,1371,3.51,76,0.1944,Graph neural networks and graph learning (166); Geometric representation learning and manifolds (160); Equivariant graph and geometric networks (65),15 (166); 18 (160); 41 (65),Deep Learning (210); General Machine Learning (66); Applications (46); Unknown (34); Optimization (13); Social Aspects (12); Theory (8); Probabilistic Methods (2),Which Algorithms Can Graph Neural Networks Learn? | MV-FGAD: Towards Efficient and Effective Federated Graph Anomaly Detection via Multi-view Learning | PhenoBrain: Phenotype-Conditioned Long-Range Communication for Multi-Modal Brain Network Analysis | Necessary Conditions for Compositional Generalization of Embedding Models | Towards Hierarchy–Uniformity Equilibrium: Recovering Semantic Depth in Hypergraph Contrastive Learning | Foundations of Equivariant Deep Learning: Unifying Graph and Sheaf Neural Networks | Deep sequence models tend to memorize geometrically; it is unclear why. | Who Said Neural Networks Aren't Linear?
Generative Modeling,379,0.0572,8,0.0211,2,3319,8.76,115,0.3034,"Image/video diffusion and flow generation (243); Diffusion sampling, transport, and inverse problems (136)",34 (243); 8 (136),Deep Learning (203); Applications (71); Unknown (33); Probabilistic Methods (27); Theory (16); General Machine Learning (11); Social Aspects (10); Optimization (8),A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy sampling for diffusion models and log-concave distributions | High-accuracy and dimension-free sampling with diffusions | Transforming Weather Data from Pixel to Latent Space | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | Error Propagation Mechanisms and Compensation Strategies for Quantized Diffusion Models | Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions
