group_type,group,paper_count,github_url_count,github_url_share,likely_code_count,likely_code_share,needs_manual_check_count,total_github_stars,top_artifact_papers
corpus,all,6628,1631,0.2461,1616,0.2438,15,220070,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (17294 stars) | Vision-aligned Latent Reasoning for Multi-Modal Large Language Model (6773 stars) | PaperBanana: Automating Academic Illustration for AI Scientists (6765 stars) | DFlash: Block Diffusion for Flash Speculative Decoding (5451 stars)
topic_group,Applications,1364,374,0.2742,365,0.2676,9,63082,"From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning (5069 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars) | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning (5063 stars) | AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing (5063 stars)"
topic_group,Deep Learning,2191,664,0.3031,663,0.3026,1,64486,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model (6773 stars) | PaperBanana: Automating Academic Illustration for AI Scientists (6765 stars) | DFlash: Block Diffusion for Flash Speculative Decoding (5451 stars) | Turbo4DGen: Ultra-Fast Acceleration for 4D Generation (4818 stars) | SimpleMem: Efficient Lifelong Memory for LLM Agents (3641 stars)
topic_group,General Machine Learning,662,103,0.1556,101,0.1526,2,22934,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (17294 stars) | $\tau$-Knowledge: Evaluating Conversational Agents over Unstructured Knowledge (1569 stars) | DITRON: Distributed Multi-level Tiling Compiler for Parallel Tensor Programs (1486 stars) | Doc-to-LoRA: Learning to Instantly Internalize Contexts (779 stars) | SWE-Bench Pro: Can AI Agents Solve Long-Horizon Software Engineering Tasks? (476 stars)
topic_group,Optimization,212,28,0.1321,28,0.1321,0,662,"Evolution Strategies at the Hyperscale (346 stars) | Controlled LLM Training on Spectral Sphere (130 stars) | scDataset: Scalable Data Loading for Deep Learning on Large-Scale Single-Cell Omics (51 stars) | A Fully First-Order Layer for Differentiable Optimization (36 stars) | GradientStabilizer: Fix the Norm, Not the Gradient (28 stars)"
topic_group,Other,672,169,0.2515,168,0.25,1,56353,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion (5063 stars) | DeepAnalyze: Agentic Large Language Models for Autonomous Data Science (4355 stars) | Monitoring Monitorability (2786 stars) | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation (2562 stars)
topic_group,Probabilistic Methods,163,30,0.184,30,0.184,0,191,Conditional Diffusion Sampling (49 stars) | Variational Learning of Disentangled Representations (29 stars) | Conditional Coverage Diagnostics for Conformal Prediction (22 stars) | Breaking the Factorization Barrier in Diffusion Language Models (17 stars) | Empirical Gaussian Processes (15 stars)
topic_group,Reinforcement Learning,368,82,0.2228,81,0.2201,1,9627,Autoregressive Direct Preference Optimization (5063 stars) | DADP: Domain Adaptive Diffusion Policy (1969 stars) | Distributional Inverse Reinforcement Learning (474 stars) | Chunk-Guided Q-Learning (435 stars) | Optimizing Return Distributions with Distributional Dynamic Programming (292 stars)
topic_group,Social Aspects,625,151,0.2416,150,0.24,1,1858,The Trojan Knowledge: Bypassing Commercial LLM Guardrails via Harmless Prompt Weaving and Adaptive Tree Search (208 stars) | Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking (158 stars) | AutoControl Arena: Synthesizing Executable Test Environments for Frontier AI Risk Evaluation (114 stars) | Learning a Generative Meta-Model of LLM Activations (90 stars) | The Personality Illusion: Revealing Dissociation Between Self-Reports & Behavior in LLMs (76 stars)
topic_group,Theory,371,30,0.0809,30,0.0809,0,877,Optimal Regularization for Performative Learning (297 stars) | Distributional Active Inference (292 stars) | The Cost of Learning under Multiple Change Points (148 stars) | Statistical Learning Theory in Lean 4: Empirical Processes from Scratch (100 stars) | KAGE-Bench: Fast Known-Axis Visual Generalization Evaluation for Reinforcement Learning (13 stars)
theme,"AI for science, health, and biology",973,243,0.2497,242,0.2487,1,27551,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (17294 stars) | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning (1228 stars) | OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data (1184 stars) | Reinforcement Learning via Self-Distillation (1008 stars) | Reinforcement Learning with Evolving Rubrics for Deep Research (682 stars)
theme,"Agents, tools, and computer use",2269,631,0.2781,622,0.2741,9,111367,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (17294 stars) | Vision-aligned Latent Reasoning for Multi-Modal Large Language Model (6773 stars) | PaperBanana: Automating Academic Illustration for AI Scientists (6765 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars) | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning (5063 stars)
theme,Causality and data-centric ML,710,174,0.2451,172,0.2423,2,18865,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | Monitoring Monitorability (2786 stars) | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation (2562 stars) | Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning (1228 stars) | VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics (1013 stars)
theme,Diffusion language models,344,112,0.3256,112,0.3256,0,14747,DFlash: Block Diffusion for Flash Speculative Decoding (5451 stars) | SAM Audio: Segment Anything in Audio (3567 stars) | Alterbute: Editing Intrinsic Attributes of Objects in Images (1969 stars) | WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference (644 stars) | Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence (356 stars)
theme,"Diffusion, flow, and generative modeling",1492,412,0.2761,409,0.2741,3,87988,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | PaperBanana: Automating Academic Illustration for AI Scientists (6765 stars) | DFlash: Block Diffusion for Flash Speculative Decoding (5451 stars) | Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning (5069 stars) | PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion (5063 stars)
theme,Interpretability and mechanistic analysis,1126,257,0.2282,257,0.2282,0,7719,SpecExit: Accelerating Large Reasoning Model via Speculative Exit (1399 stars) | Reinforcement Learning via Self-Distillation (1008 stars) | SINQ: Sinkhorn-Normalized Quantization for Calibration-Free Low-Precision LLM Weights (626 stars) | MUSE: Resolving Manifold Misalignment in Visual Tokenization via Topological Orthogonality (380 stars) | Spurious Rewards: Rethinking Training Signals in RLVR (352 stars)
theme,LLM reasoning and test-time compute,2438,756,0.3101,749,0.3072,7,125138,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | Vision-aligned Latent Reasoning for Multi-Modal Large Language Model (6773 stars) | PaperBanana: Automating Academic Illustration for AI Scientists (6765 stars) | DFlash: Block Diffusion for Flash Speculative Decoding (5451 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars)
theme,"Memorization, evaluation, and generalization",3214,899,0.2797,889,0.2766,10,112706,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (17294 stars) | Vision-aligned Latent Reasoning for Multi-Modal Large Language Model (6773 stars) | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars) | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning (5063 stars)
theme,"Multimodal, vision-language, and video",1961,600,0.306,590,0.3009,10,97984,Vision-aligned Latent Reasoning for Multi-Modal Large Language Model (6773 stars) | PaperBanana: Automating Academic Illustration for AI Scientists (6765 stars) | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning (5069 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars)
theme,Other / uncategorized,46,10,0.2174,10,0.2174,0,334,mmBERT: A Modern Multilingual Encoder with Annealed Language Learning (144 stars) | Adaptive Node Feature Selection for Graph Neural Networks (91 stars) | DAG: A Dual Correlation Network for Time Series Forecasting with Exogenous Variables (45 stars) | Orthogonal Model Merging (32 stars) | LUCID: Attention with Preconditioned Representations (12 stars)
theme,RL for LLMs and verifiable rewards,1899,535,0.2817,531,0.2796,4,87572,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning (5063 stars) | Autoregressive Direct Preference Optimization (5063 stars) | SimpleMem: Efficient Lifelong Memory for LLM Agents (3641 stars) | SAM Audio: Segment Anything in Audio (3567 stars)
theme,Robotics and world models,355,101,0.2845,96,0.2704,5,31232,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model (5063 stars) | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning (5063 stars) | Turbo4DGen: Ultra-Fast Acceleration for 4D Generation (4818 stars) | RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation (2562 stars)
theme,"Safety, alignment, governance, and risk",2600,583,0.2242,578,0.2223,5,49770,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints (17294 stars) | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning (5063 stars) | From Correspondence to Actions: Human-Like Multi-Image Spatial Reasoning in Multi-modal Large Language Models (5063 stars) | DADP: Domain Adaptive Diffusion Policy (1969 stars)
theme,"Systems, efficiency, and compression",2253,553,0.2455,546,0.2423,7,89314,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model (5069 stars) | Self-Prompting Diffusion Transformer for Open-Vocabulary Scene Text Edit via In-Context Learning (5069 stars) | Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning (5063 stars) | PanoWorld-X: Generating Explorable Panoramic Worlds via Sphere-Aware Video Diffusion (5063 stars)
theme,"Theory, optimization, and sampling",3106,669,0.2154,668,0.2151,1,62501,When RL Meets Adaptive Speculative Training:  A Unified Training-Serving System (30219 stars) | Autoregressive Direct Preference Optimization (5063 stars) | video-SALMONN S: Memory-Enhanced Streaming Audio-Visual LLM (1469 stars) | MN-Diff: Diffusion Parameterized  MoE-NCDE for Continuous Time Series Generation with Irregular Observations (1079 stars) | Reinforcement Learning via Self-Distillation (1008 stars)
