semantic_cluster_id,area,subarea,taxonomy_confidence,review_status,review_notes,semantic_cluster_label,paper_count,oral_count,award_count,votes_per_paper,oral_enrichment,top_terms,top_topic_groups,top_themes,top_lexical_clusters,central_papers,high_signal_papers
0,"Multimodal, Vision, and Perception",Multimodal representation and cross-modal alignment,high,stable_seed,,multimodal / visual / modal / modality,237,1,0,7.3,0.17,multimodal; visual; modal; modality; text; mllms; image; modalities; language; cross modal; semantic; vision; alignment; cross; understanding; audio,Deep Learning (98); Applications (75); Unknown (24); General Machine Learning (24); Social Aspects (14),"Multimodal, vision-language, and video (231); Memorization, evaluation, and generalization (153); Safety, alignment, governance, and risk (121); LLM reasoning and test-time compute (99); Agents, tools, and computer use (85)",4 (107); 25 (51); 0 (13); 29 (13); 3 (11),"Seeing is Understanding: Unlocking Causal Attention into Modality-Mutual Attention for Multimodal LLMs | Towards Unified Multimodal Pretraining | SEPS: Semantic-Enhanced Patch Slimming Framework for Fine-Grained Cross-Modal Alignment | Towards Understanding Modality Interaction in Multimodal Language Models via Partial Information Decomposition | UniPercept: Towards Unified Perceptual-Level Image Understanding across Aesthetics, Quality, Structure, and Texture | Do Vision and Text Cues Exhibit Evidential Coupling? UFO: A Benchmark for Compositional Multimodal Reasoning in Unified Models | SLQ: Bridging Modalities via Shared Latent Queries for Retrieval with Frozen MLLMs | Uncovering Grounding IDs: How External Cues Shape Multi-Modal Binding","Multimodal Nested Learning for Decoupled and Coordinated Optimization | SAM Audio: Segment Anything in Audio | AudioChat: Unified Audio Storytelling, Editing, and Understanding with Transfusion Forcing | ExSkill: Continual Learning from Experience and Skills in Multimodal Agents | FG-CLIP 2: A Bilingual Fine-grained Vision-Language Alignment Model | Unifying Heterogeneous Multi-Modal Remote Sensing Detection Via Language-Pivoted Pretraining | DiffThinker: Towards Generative Multimodal Reasoning with Diffusion Models | WISE: World Knowledge-Informed Semantic Evaluation for Text-to-Image Generation"
1,"AI for Science, Health, and Neuro",Spiking neural networks and neural signals,medium,needs_review,manual confidence not high; small cluster,spiking / snns / spiking neural / spike,67,0,0,1.28,0.0,spiking; snns; spiking neural; spike; neural; neuroscience; applications neuroscience; neuroscience cognitive; eeg; cognitive science; cognitive; neural networks; networks; snn; energy; brain,Applications (50); Deep Learning (13); General Machine Learning (2); Optimization (1); Unknown (1),"AI for science, health, and biology (61); Systems, efficiency, and compression (36); Memorization, evaluation, and generalization (28); Multimodal, vision-language, and video (25); Safety, alignment, governance, and risk (17)",27 (52); 10 (3); 25 (3); 17 (2); 18 (2),Efficiently Training Time-to-First-Spike Spiking Neural Networks from Scratch | SpikeCLR: Self-Supervised Contrastive Learning for Visual Representations with Spiking Neural Networks | TEFormer: Structured Bidirectional Temporal Enhancement Modeling in Spiking Transformers | SpikingLM: Towards Fully Spiking Language Model | AdaS: Adaptive Gradient Descent for Spiking Transformers | Narrowing the ANN–SNN Gap for 1D Signal Classification with Multi-Scale Temporal Encoding and Sparsity-Regularized Transform Encoding | Temporal Weighted Encoding: Towards Maximal-Capacity Spike Coding for ANN–SNN Conversion | Positional Encoding for Spiking Transformers,Scaling Vision Transformers for Functional MRI with Flat Maps | EEG-FM-Bench: A Comprehensive Benchmark for the Systematic Evaluation and Diagnostic Analyses of EEG Foundation Models | Omni-fMRI: A Universal Atlas-Free fMRI Foundation Model | DuFal: Dual-Frequency-Aware Learning for High-Fidelity Extremely Sparse-view CBCT Reconstruction | KAST-BAR: Knowledge-Anchored Semantically-Dynamic Topology Brain Autoregressive Modeling for Universal Neural Interpretation | Event2Vec: Processing neuromorphic events directly by representations in vector space | Kuramoto Oscillatory Phase Encoding: Neuro-inspired Synchronization for Improved Learning Efficiency | Bullet Trains: Parallelizing Training of Temporally Precise Spiking Neural Networks
2,"LLM Reasoning, Post-Training, and RLVR","Reward modeling, preference feedback, and RL post-training",high,needs_review,split across lexical clusters,reward / reinforcement learning / reinforcement / rewards,164,3,0,27.48,0.72,reward; reinforcement learning; reinforcement; rewards; policy; rl; preference; feedback; training; language; optimization; human; large language; language models; reward models; large,Deep Learning (71); Reinforcement Learning (51); Unknown (14); Social Aspects (12); Applications (10),"RL for LLMs and verifiable rewards (158); Theory, optimization, and sampling (103); LLM reasoning and test-time compute (90); Memorization, evaluation, and generalization (79); Safety, alignment, governance, and risk (74)",6 (59); 24 (49); 7 (25); 11 (7); 1 (7),REAL: Regression-Aware Reinforcement Learning for LLM-as-a-Judge | Implicit Actor Critic Coupling via a Supervised Learning Framework for RLVR | Real-Time Aligned Reward Model beyond Semantics | Alternating Reinforcement Learning for Rubric-Based Reward Modeling in Non-Verifiable LLM Post-Training | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Experience is the Best Teacher: Motivating Effective Exploration in Reinforcement Learning for LLMs | Harnessing Uncertainty: Entropy-Modulated Policy Gradients for Long-Horizon LLM Agents | From Absolute to Relative: Rethinking Reward Shaping in Group-Based Reinforcement Learning,"Reinforcement Learning with Evolving Rubrics for Deep Research | Maximum Likelihood Reinforcement Learning | Mitigating Reward Hacking in RLHF via Bayesian Non-negative Reward Modeling | Reinforcement Learning via Self-Distillation | GDPO: Group reward-Decoupled Normalization Policy Optimization for Multi-reward RL Optimization | Agent Learning via Early Experience | AuTAgent: A Reinforcement Learning Framework for Tool-Augmented Audio Reasoning | RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System"
3,Systems and Efficient Foundation Models,Long-context attention and KV-cache compression,high,stable_seed,,attention / kv / context / cache,113,0,0,20.77,0.0,attention; kv; context; cache; long context; memory; long; kv cache; token; retrieval; sparse attention; sparse; tokens; language; inference; compression,Deep Learning (87); Unknown (13); General Machine Learning (9); Applications (4),"Systems, efficiency, and compression (83); LLM reasoning and test-time compute (66); Memorization, evaluation, and generalization (53); Theory, optimization, and sampling (34); Agents, tools, and computer use (22)",21 (55); 14 (31); 1 (6); 17 (4); 12 (4),IndexMem: Learned KV-Cache Eviction with Latent Memory for Long-Context LLM Inference | LazyAttention: Efficient Retrieval-Augmented Generation with Deferred Positional Encoding | Fast KV Compaction via Attention Matching | RaBitQCache: Rotated Binary Quantization for KVCache in Long Context LLM Inference | Token Sparse Attention: Efficient Long-Context Inference with Interleaved Token Selection | Long-Context Modeling with Dynamic Hierarchical Sparse Attention for Memory-Constrained LLM Inference | Attention with Routed-Memory for Learnable Sparse Control | A Unified Sparse Attention via Multi-Granularity Compression,SimpleMem: Efficient Lifelong Memory for LLM Agents | TriAttention: Efficient Long Reasoning with Trigonometric KV Compression | Doc-to-LoRA: Learning to Instantly Internalize Contexts | xKV: Cross-Layer KV-Cache Compression via Aligned Singular Vector Extraction | Fast KV Compaction via Attention Matching | ACON: Optimizing Context Compression for Long-horizon LLM Agents | SHINE: A Scalable In-Context Hypernetwork for Mapping Context to LoRA in a Single Pass | UHR-BAT: Budget-Aware Token Compression Vision-Language model for Ultra-High-Resolution Remote Sensing
4,Reinforcement Learning and Control,"Core RL, offline RL, and policy optimization",high,stable_seed,,reinforcement learning / reinforcement / policy / rl,312,6,0,6.01,0.76,reinforcement learning; reinforcement; policy; rl; policies; offline; value; agent; control; action; based; learning rl; learning reinforcement; critic; reward; deep rl,Reinforcement Learning (222); Theory (34); Applications (18); Unknown (18); Deep Learning (7),"RL for LLMs and verifiable rewards (301); Theory, optimization, and sampling (188); Agents, tools, and computer use (176); Memorization, evaluation, and generalization (137); Systems, efficiency, and compression (134)",7 (232); 11 (21); 9 (13); 6 (11); 24 (8),Reparameterization Flow Policy Optimization | Generative Online Reinforcement Learning | Sample Efficient Full-Finetuning of Generative Control Policies | Prioritized Model Experience Replay | Q-Flow: Stable and Expressive Reinforcement Learning with Flow-based Policy | Uncertainty-Guided Exploration and Stable Planning for Sparse-Reward Manipulation from Limited Demonstrations | Langevin Rollout Optimization for Modelic Reinforcement Learning | Reparameterization Proximal Policy Optimization,Distributional Inverse Reinforcement Learning | On Computation and Reinforcement Learning | Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization | Chebyshev Policies and the Mountain Car Problem: Reinforcement Learning for Low-dimensional Control Tasks | Stabilizing the Q-Gradient Field for Policy Smoothness in Actor-Critic Methods | Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning | DADP: Domain Adaptive Diffusion Policy | Chunk-Guided Q-Learning
5,"Data-Centric, Causal, and Federated ML",Causal inference and causal discovery,high,stable_seed,,causal / causality / learning causality / treatment,111,4,0,2.31,1.42,causal; causality; learning causality; treatment; causal discovery; machine learning; machine; general machine; general; discovery; data; effects; estimation; observational; causal inference; effect,General Machine Learning (83); Unknown (10); Social Aspects (9); Applications (7); Probabilistic Methods (1),"Causality and data-centric ML (105); Safety, alignment, governance, and risk (51); Theory, optimization, and sampling (44); Memorization, evaluation, and generalization (37); Interpretability and mechanistic analysis (24)",8 (88); 23 (8); 17 (7); 25 (2); 18 (2),Unveiling Prior-data Fitted Networks on Causal Effect Estimation: Pre-training or Finetuning? | Local Covariate Selection for Average Causal Effect Estimation without Pretreatment and Causal Sufficiency Assumptions | CausalProfiler: Generating Synthetic Benchmarks for Rigorous and Transparent Evaluation of Causal Machine Learning | PACER: Acyclic Causal Discovery from Large-scale Interventional Data | SCOUT: Cyclic Causal Discovery Under Soft Interventions with Unknown Targets | Use What You Know: Causal Foundation Models with Partial Graphs | Anti-causal domain generalization: Leveraging unlabeled data | Feasible Fusion: Constrained Joint Estimation under Structural Non-Overlap,A Recursive Decomposition Framework for Causal Structure Learning in the Presence of Latent Variables | Exact Functional ANOVA Decomposition for Categorical Inputs | DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation | On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding | CauScale: Neural Causal Discovery at Scale | Causal Direct Preference Optimization for Distributionally Robust Generative Recommendation | What Makes a Good Representation for Single-Cell Perturbation Prediction? | Beyond Additive Decompositions: Interpretability Through Separability
6,"Agents, Code, and Tool Use","Code LLMs, verification, and software tasks",medium,needs_review,manual confidence not high; split across lexical clusters,code / language / llms / verification,139,1,0,6.04,0.28,code; language; llms; verification; large language; evaluation; llm; language models; large; program; formal; generation; benchmark; reasoning; automated; proof,Deep Learning (47); Applications (30); General Machine Learning (21); Unknown (19); Social Aspects (12),"LLM reasoning and test-time compute (95); Memorization, evaluation, and generalization (90); Agents, tools, and computer use (70); Theory, optimization, and sampling (51); Safety, alignment, governance, and risk (49)",20 (45); 1 (30); 11 (22); 28 (9); 23 (6),"How Powerful are LLMs in Generating Program Specifications? | UniCode: Augmenting Evaluation for Code Reasoning | EXVERUS: Verus Proof Repair via Counterexample Reasoning | Compile to Compress: Boosting Formal Theorem Provers by Compiler Outputs | Can LLMs Reason Like Automated Theorem Provers for Rust Verification? VCoT-Bench: Evaluating via Verification Chain of Thought | PGS: Effective LLM Code Refinement via Property-Oriented and Structurally Minimal Feedback | SorryDB: Can AI Provers Complete Real-World Lean Theorems? | LLMs Lean on Priors, Not Programming Language Semantics","SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients | SERA: Soft-Verified Efficient Repository Agents | Training Language Model Agents to Find Vulnerabilities with CTF-Dojo | SWE-Perf: Can Language Models Optimize Code Performance on Real-World Repositories? | A Minimal Agent for Automated Theorem Proving | APE-Bench: Evaluating Automated Proof Engineering for Formal Math Libraries | Beyond Theorem Proving: Formulation, Framework and Benchmark for Formal Problem-Solving | Reasoning over Boundaries: Enhancing Specification Alignment via Test-time Deliberation"
7,"Theory, Optimization, and Algorithms",Statistical learning theory and regression,high,needs_review,split across lexical clusters,theory / regression / bounds / risk,180,4,1,2.07,0.88,theory; regression; data; bounds; risk; sample; distribution; learning theory; machine; machine learning; error; theory learning; optimal; methods; bound; distributions,Theory (73); General Machine Learning (49); Unknown (17); Deep Learning (17); Probabilistic Methods (14),"Theory, optimization, and sampling (155); Safety, alignment, governance, and risk (88); Memorization, evaluation, and generalization (77); LLM reasoning and test-time compute (38); Systems, efficiency, and compression (31)",17 (75); 9 (67); 22 (9); 25 (5); 13 (4),Generalization Bounds for Out-of-distribution Generalization | General Quantification of Covariate and Concept Shifts | Learning Partial Concept Classes and Universal Rates Under Massart Noise | Characterization of Gaussian Universality Breakdown in High-Dimensional Empirical Risk Minimization | Alignment-Sensitive Minimax Rates for Spectral Algorithms with Learned Kernels | When Sample Selection Bias Precipitates Model Collapse | Positive Distribution Shift as a Framework for Understanding Tractable Learning | Positive-Unlabeled Learning with Extreme Scarcity of Labeled Positives,To Grok Grokking: Provable Grokking in Ridge Regression | Mixtures Closest To A Given Measure: A Semidefinite Programming Approach | Optimal Decision-Making Based on Prediction Sets | Joint Learning in the Gaussian Single Index Model | Optimal Regularization for Performative Learning | Conditional Coverage Diagnostics for Conformal Prediction | Multi-Distribution Robust Conformal Prediction | Performative Learning Theory
8,Generative Modeling,"Diffusion sampling, transport, and inverse problems",high,stable_seed,,diffusion / sampling / diffusion models / generative,136,6,2,5.43,1.74,diffusion; sampling; diffusion models; generative; inverse; generative models; transport; distribution; distributions; based; flow; data; inverse problems; time; dynamics; methods,Deep Learning (48); Probabilistic Methods (26); Applications (23); Unknown (14); Theory (13),"Diffusion, flow, and generative modeling (123); Theory, optimization, and sampling (108); Multimodal, vision-language, and video (54); Memorization, evaluation, and generalization (44); Systems, efficiency, and compression (33)",3 (86); 9 (12); 17 (11); 16 (10); 22 (5),Efficient Diffusion Models under Nonconvex Equality and Inequality constraints via Landing | Flow Sampling : Learning to Sample from Unnormalized Densities via Denoising Conditional Processes | The Accumulation of Score Estimation Error in Diffusion Models | Proximal-Based Generative Modeling for Bayesian Inverse Problems | Efficient Diffusion Models via Time Step Optimization with Consistent Training and Inference Constraints | Normalized Energy Models for Linear Inverse Problems | Conditional Diffusion Sampling | G2D2: Gradient-Guided Discrete Diffusion for Inverse Problem Solving,High-accuracy sampling for diffusion models and log-concave distributions | A Random Matrix Perspective on the Consistency of Diffusion Models | High-accuracy and dimension-free sampling with diffusions | Rex: A Family of Reversible Exponential (Stochastic) Runge-Kutta Solvers | Lottery Prior: Randomized Neural Compression for Zero-Shot Inverse Problems | Riemannian Metric Matching for Scalable Geometric Modeling of Distributions | Conditional Diffusion Sampling | PerturbDiff: Functional Diffusion for Single-Cell Perturbation Modeling
9,"AI for Science, Health, and Neuro","Physical sciences, chemistry, and climate",high,stable_seed,,physics / chemistry / earth / applications chemistry,128,4,0,3.99,1.23,physics; chemistry; earth; applications chemistry; chemistry physics; physics earth; earth sciences; sciences; neural; pde; physical; dynamics; pdes; equations; applications; differential,Applications (93); Deep Learning (17); Unknown (6); General Machine Learning (5); Probabilistic Methods (4),"AI for science, health, and biology (113); Theory, optimization, and sampling (68); Memorization, evaluation, and generalization (67); Diffusion, flow, and generative modeling (47); Systems, efficiency, and compression (45)",16 (62); 15 (48); 3 (8); 18 (3); 10 (2),Physics-Informed Residual Flows | Mesh Based Simulations with Spatial and Temporal awareness | Bias-Spectrum Neural Processes for Parametric PDEs: Architecture Priors Meet PDE Constraints | Physics-informed diffusion models in spectral space | Elign: Equivariant Diffusion Model Alignment from Foundational Machine Learned Force Fields | Learning to Think in Physics: Breaking Shortcut Learning in Scientific Diffusion via Representation Alignment | Unbiased and Second-Order-Free Training for High-Dimensional PDEs | Structure-Preserving Learning Improves Geometry Generalization in Neural PDEs,Training-Free Bayesian Filtering with Generative Emulators | LASER: Learning Active Sensing for Continuum Field Reconstruction | ReViT: Rotational-equivariant Vision Transformers for Neural PDE Solvers | Solving Time-Dependent Differential Equations with Physical Dynamical Systems | From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints | MN-Diff: Diffusion Parameterized MoE-NCDE for Continuous Time Series Generation with Irregular Observations | GeoPT: Scaling Physics Simulation via Lifted Geometric Pre-Training | Walrus: A Cross-domain Foundation Model for Continuum Dynamics
